#/log,DATACREATED,データ作成日,20170320,,,,,,,,,,,,
#/doc,DATACREATER,データ作成者,石田健,,,,,,,,,,,,
#,DATATITLE,データ名,TemporalChangeinTreeGirthatBreastHeightatAmami(AM-EB1).,,,,,,,,,,,,
#,SITENAME,サイト名,奄美,,,,,,,,,,,,
#,PLOTNAME,調査区名,-,,,,,,,,,,,,
#,PLOTCODE,調査区コード,AM-EB1,,,,,,,,,,,,
#,PLOTSIZE,面積,1ha,,,,,,,,,,,,
#,PRAMETERDEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,
#note,,noteの行数が多いため別シート(note)に移動,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh05","gbh10","gbh15","note05","note10","note15","s_date05","s_date10","s_date15","dl05","dl10","dl15","rec05","rec10","rec15","error05","error10","error15"
0,"0","D401","D401",0.8,1.1,"アデク",NA,NA,16.65,"","","新規",NA,NA,20150919,0,0,0,-1,-1,1,0,0,0
0,"0","A030","A030",2.4,6.4,"アデク",15.8,18.5,19.3,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A034","A034",0.7,9.5,"アデク",24.3,28.8,31,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A039","A039",7.5,7.3,"アマシバ",21.8,23.2,24.5,NA,NA,"ツル外し",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A028","A028",0.6,6.5,"イスノキ",30.1,31.5,33.3,NA,NA,"イスノキに誤判定(高)",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A035","A035",1.8,9.8,"イスノキ",103.3,104.5,112.3,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A031","A031",4.4,6.9,"イヌマキ",19.2,21.2,21.6,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A026","A026",5.5,4.5,"イヌマキ",25,26.3,26.8,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","D043","D043",4.3,9.9,"イヌマキ",NA,15.3,NA,"",NA,"",NA,"20100926",20150919,0,0,0,-1,-1,-1,0,0,1
0,"0","A019","A019",6.2,4,"コバンモチ",17.8,19.4,19.4,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A027","A027",4.7,3.9,"コバンモチ",34.9,NA,NA,"","gbh34","失",NA,"20100926",20150919,0,1,2,0,0,0,0,0,0
0,"0","A003","A003",3.6,1.9,"コバンモチ",41.4,NA,NA,"斜","枯れ,gbh38.5","失、1mで倒れる",20050925,"20100926",20150919,0,1,2,0,0,0,0,0,0
0,"0","A002","A002",2.3,2.7,"サカキ",25,25.6,27.1,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A046","A046",5.4,9.5,"サカキ",43.5,44.7,45.5,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A033","A033",3.6,7.8,"サカキ",40.4,43.5,46.8,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A020","A020",9.1,0.6,"シマミサオノキ",15.2,15.6,16.2,NA,NA,"",20050925,"20100926",20150919,0,0,0,-1,-1,1,0,0,0
0,"0","D041","D041",4.5,10,"シマミサオノキ",NA,15.3,NA,"",NA,"",NA,"20100926",20150919,0,0,0,-1,-1,-1,0,0,1
0,"0","A015","A015",5.5,1.5,"シラキ",47.9,48.8,48.9,NA,NA,"幹凸凹",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A016","A016",5.5,1.7,"シロミミズ",23.4,24.3,25,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","D402","D402",8.2,4.2,"スダジイ",NA,NA,17.2,"","","新規",NA,NA,20150919,0,0,0,-1,-1,1,0,0,0
0,"0","A013","A009",4.6,3.3,"スダジイ",20.4,20.8,20.6,"A9と株",NA,"ツル外し",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A023","A023",8.7,3.8,"スダジイ",18.7,20.2,20.8,NA,NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A008","A007",2.7,3,"スダジイ",26.6,26.7,25.6,"a7から出た枝、株",NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A004","A004",5,2.9,"スダジイ",19.5,25.1,27.6,"株分かれ","05gbhは19.5?","",NA,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A014","A009",5.2,3.2,"スダジイ",21.1,26.4,31.3,"A9と株",NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A018","A009",5.7,3.2,"スダジイ",20.6,26.9,33.4,"A9と株",NA,"A9と株",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A009","A009",3.7,3.2,"スダジイ",24.9,30.2,34.2,"株参考20.9",NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A025","A022",8.2,3.8,"スダジイ",25.9,33.8,40.7,"A22の株",NA,"瘤上測定",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A005","A007",5,3.1,"スダジイ",73.5,74.5,73.9,"枯木、株",NA,"",20050925,"20100926",20150919,0,0,0,0,0,0,0,0,0
0,"0","A007","A007",5,3.2,"スダジイ",88.8,NA,NA,"朽木、株","gbh87.2","生きている木の株で枯れている、倒木",20050925,"20100926",20150919,0,1,2,0,0,0,0,0,0
