#/log,DATACREATED,データ作成日,20180320,,,,,,,,,,,,
#/doc,DATACREATER,データ作成者,牧　雅之,,,,,,,,,,,,
#,DATATITLE,データ名,TemporalChangeinTreeGirthatBreastHeightatAobaYama(AO-BC1).,,,,,,,,,,,,
#,SITENAME,サイト名,青葉山,,,,,,,,,,,,
#,PLOTNAME,調査区名,-,,,,,,,,,,,,
#,PLOTCODE,調査区コード,AO-BC1,,,,,,,,,,,,
#,PLOTSIZE,面積,1ha,,,,,,,,,,,,
#,PRAMETERDEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6もしくは<-3は測定間違いとする,,,,,,,,,,,,,
#,20100107,2010年データと差し替え,,,,,,,,,,,,,
#,,"tag_no=156duplicated.-->treeatmesh=(60,20)waschangedtotag_no=156-2",,,,,,,,,,,,,
#,,tag_no=156-2はおそらく159を重複して測定->gbh06もndに,,,,,,,,,,,,,
#,,indv_nooftag_no=95waschangedfrom94to95becausespeciesandlocationofthestemweredifferentfromindv_no=94,,,,,,,,,,,,,
#,,tag_no=799のgbhは測定間違いの可能性あり->gbh10をnd,,,,,,,,,,,,,
#,,tag_no=905のgbhは測定間違いの可能性あり->gbh05をnd,,,,,,,,,,,,,
#,20161003,データ確認（日野貴文）,,,,,,,,,,,,,
#,,死亡年の次の調査年が「d」になっている→「dd」を入力,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh05","gbh10","gbh15","note05","note10","note15","s_date05","s_date10","s_date15","dl05","dl10","dl15","rec05","rec10","rec15","error05","error10","error15"
0,0,"12","12",6.2,0.4,"モミ",18,18.5,18.8,NA,NA,NA,"20060427","20101007",20150928,0,0,0,0,0,0,0,0,0
0,0,"20","20",4,9.9,"ハウチワカエデ",18.7,19.4,20,NA,NA,NA,"20060427","20101007",20150928,0,0,0,0,0,0,0,0,0
0,0,"6","6",3.1,3.6,"モミ",19.8,21.5,22.8,NA,NA,NA,"20060427","20101007",20150928,0,0,0,0,0,0,0,0,0
0,0,"19","19",3.9,8.5,"スギ",23.6,25.3,26.5,NA,NA,NA,"20060427","20101007",20150928,0,0,0,0,0,0,0,0,0
0,0,"17","17",9.5,3.3,"アラカシ",23.6,27.4,30.5,NA,NA,"ツル込み","20060427","20101007",20150928,0,0,0,0,0,0,0,0,2
0,0,"16","16",8.7,3,"スギ",29.7,31.4,31.5,"斜め",NA,NA,"20060427","20101007",20150928,0,0,0,0,0,0,0,0,0
0,0,"18","18",9.5,5.4,"モミ",37.5,42.5,47.1,NA,NA,"ツル込み","20060427","20101007",20150928,0,0,0,0,0,0,0,0,2
0,0,"7","7",1.7,3,"アカシデ",47,47.4,47.9,NA,NA,NA,"20060427","20101007",20150928,0,0,0,0,0,0,0,0,0
0,0,"15","14",9.7,0.3,"イイギリ",55.5,57.6,61.5,"14と同株",NA,NA,"20060427","20101007",20150928,0,0,0,0,0,0,0,0,0
0,0,"11","11",4.6,1,"アカガシ",72.8,80.5,88.4,NA,NA,"ツル込み","20060427","20101007",20150928,0,0,0,0,0,0,0,0,2
0,0,"14","14",9.7,0.3,"イイギリ",80.5,86,90.6,"14と同株",NA,"ツル込み","20060427","20101007",20150928,0,0,0,0,0,0,0,0,2
0,0,"13","13",7.5,1.3,"ミズキ",92.9,97.7,100.9,NA,NA,NA,"20060427","20101007",20150928,0,0,0,0,0,0,0,0,0
0,0,"1324","17",9.5,3.3,"アラカシ",NA,NA,16.5,NA,NA,"新規．17と同株","","",20150928,0,0,0,-1,-1,1,0,0,0
0,10,"202","202",2.5,2.7,"イヌツゲ",13.3,13.3,13.5,"斜めに生える",NA,NA,"20060427","20101014",20150928,0,0,0,-1,-1,-1,0,0,0
