#/log,DATA CREATED,データ作成日,20180306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,田代直明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Ashoro (AS-DB1).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,足寄(九州大学北海道演習林）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,足寄拓北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,AS-DB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_id,幹ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,indv_id,個体ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/note,20090323,データ成形（石原正恵）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"""tag_no= 212 のgbhは測定間違いの可能性あり""-->gbh06error",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"""tag_no= 282 のgbhは測定間違いの可能性あり""-->gbh06error",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"""tag_no= 631 のgbhは測定間違いの可能性あり""-->gbh06error",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"""tag_no= 696 のgbhは測定間違いの可能性あり""-->gbh06error",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20100320,データ成形（石原正恵）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,gbh（t+1）-gbh(t)>6.3　もしくは<−3.1は測定間違いとする,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20130126,データ成形（佐伯）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag_no 792 シナノキ？⇒データ整理の都合上、とりあえずnd（データなし）に変更する．,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20130306,tag_no 24 アオダモ　gbh12を22.9cmに修正（サイトからの訂正依頼による）。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20171101,公開データのためのエラーチェック（日野貴文）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=247 gbh13, 前年まで生存だが、当年はna→計測不可のためndを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20180108,2017年度データチェック（日野）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=374 , タグ番号の重複→同じ個体が2行にわたり入力されていたので片方を削除",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20180301,サイトからの情報により、No.562のオオバボダイジュは，2017年の調査で巻いていたツルが外せるようになったので，vnを入力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh06","gbh07","gbh08","gbh09","gbh10","gbh11","gbh12","gbh13","gbh14","gbh15","gbh16","gbh17","note06","note07","note08","note09","note10","note11","note12","note13","note14","note15","note16","note17","s_data06","s_data07","s_data08","s_data09","s_data10","s_data11","s_date12","s_data13","s_data14","s_data15","s_data16","s_data17","新タグ","stem_id","indv_id","現行タグ","dl06","dl07","dl08","dl09","dl10","dl11","dl12","dl13","dl14","dl15","dl16","dl17","rec06","rec07","rec08","rec09","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","error06","error07","error08","error09","error10","error11","error12","error13","error14","error15","error16","error17"
0,0,"1",1,4,3.2,"ハウチワカエデ",18.7,19.1,19,19.1,19,19.1,19.1,19.2,19.2,19.6,19.3,19.4,"1と同株 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","20061108","20071010","20081015","20091104","20101129","20111107","20121122","20131202","20141125","20150904","20161011","20170906",NA,"2011_1","2011_1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,"2",1,4,3.2,"ハウチワカエデ",15.7,15.8,15.8,16,15.9,15.9,16,16,16,16.1,16.2,16.3,"1と同株 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","20061108","20071010","20081015","20091104","20101129","20111107","20121122","20131202","20141125","20150904","20161011","20170906",NA,"2011_2","2011_1","2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,"361",1,4,3.2,"ハウチワカエデ",NA,NA,NA,NA,NA,NA,NA,15.2,15.2,15.6,15.6,15.8,NA,NA,NA,NA,NA,NA,NA,"1と同株",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"20131202","20141125","20150904","20161011","20170906",NA,"2011_361","2011_1","361",0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,"3",3,4,5.1,"エゾイタヤ",32.8,32.6,32.7,33,33,33.2,33.4,33.5,33.6,33.9,34.6,35.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","20061108","20071010","20081015","20091104","20101129","20111107","20121122","20131202","20141125","20150904","20161011","20170906",NA,"2011_3","2011_3","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,"4",4,1.7,5.5,"エゾイタヤ",31.6,31.6,31.7,31.9,32.3,32,32.4,32.4,32.6,32.8,33.3,33.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","20061108","20071010","20081015","20091104","20101129","20111107","20121122","20131202","20141125","20150904","20161011","20170906",NA,"2011_4","2011_4","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,"5",5,0.9,0.1,"ハウチワカエデ",28.2,28.4,28.6,28.6,28.6,28.7,28.7,28.7,28.9,28.9,29,29.4,"5と同株 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","20061108","20071010","20081015","20091104","20101129","20111107","20121122","20131202","20141125","20150904","20161011","20170906",NA,"2011_5","2011_5","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,"6",5,0.9,0.1,"ハウチワカエデ",17,17.4,17.7,18,18,18,18,18,18,18.3,18.3,18.9,"5と同株 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","20061108","20071010","20081015","20091104","20101129","20111107","20121122","20131202","20141125","20150904","20161011","20170906",NA,"2011_6","2011_5","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,"7",7,1.3,7.7,"ハウチワカエデ",15.5,16,16.5,16.9,17.1,16.7,16.6,16.6,16.8,16.7,16.8,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","20061108","20071010","20081015","20091104","20101129","20111107","20121122","20131202","20141125","20150904","20161011","20170906",NA,"2011_7","2011_7","7",0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,"8",8,7.2,0,"エゾイタヤ",32.4,32.4,32.3,32.5,32.8,32.1,32.3,32.5,32.6,32.7,32.9,32.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","20061108","20071010","20081015","20091104","20101129","20111107","20121122","20131202","20141125","20150904","20161011","20170906",NA,"2011_8","2011_8","8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,"9",9,8.5,8.8,"ノリウツギ",21.6,21.4,21.5,21.9,22,22.4,22,22.5,22.6,22.6,22.6,22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","20061108","20071010","20081015","20091104","20101129","20111107","20121122","20131202","20141125","20150904","20161011","20170906",NA,"2011_9","2011_9","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,"10",10,0.7,10.8,"ハウチワカエデ",16,16.2,16.5,16.7,16.9,16.8,16.9,16.8,16.9,17,17.2,17.5,"10と同株 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","20061108","20071010","20081015","20091104","20101129","20111107","20121122","20131202","20141125","20150904","20161011","20170906",NA,"2011_10","2011_10","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,"11",10,0.7,10.8,"ハウチワカエデ",17,17,17.3,17.7,17,17.1,17.1,17.2,17.2,17.4,17.5,17.7,"10と同株 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","20061108","20071010","20081015","20091104","20101129","20111107","20121122","20131202","20141125","20150904","20161011","20170906",NA,"2011_11","2011_10","11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
