#/log,DATA CREATED,データ作成日,20180306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,田代直明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Ashoro (AS-DB2).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,足寄(九州大学北海道演習林）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,足寄美盛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,AS-DB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,入力方法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,1.調査記録シートに記入してください,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,2.黄色のセルは必ず入力してください,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,3.死亡した場合は周囲長の欄にdと入力してください,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,4.死亡要因（幹折れ、根返り、立ち枯れなど）をできるだけ記入してください,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,note,備考,,,,5.調査日を入力する場合は、yyyymmdd形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20080712,データ成形（石原正恵）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20090521,調査記録追加,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20110131,2010年データチェック（鈴木）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag=C536は測定エラーの可能性が高い（ノリウツギなのにgbh=119cm）-->とりあえずndとした,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20121015,2011年度データチェック（佐伯）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag=C87　gbh05は測定エラーの可能性が高い-->とりあえずndとした,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_idとindv_idのコラムを追加（セル内は、2001_tag_no、および2001_indv_noとした）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20171101,"公開データのためのエラーチェック,サイトに問い合わせ（日野貴文）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=C117 gbh16, 基準値より小さい　gbh測定間違いの可能性あり→ツル込みとツル抜きのデータが混在しているので、gbh13からツル抜きに統一し、gbh13に「vn」を入力。ツル込みのデータは備考欄に記載。個体のバイオマス推定の際にツル抜きのgbhの方が精度が高いため。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=C139 gbh15, 基準値より小さい　gbh測定間違いの可能性あり→樹皮欠損のためgbhの前にndを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=C168 gbh16, 基準値より小さい→測定位置変更のためcdを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=C287 gbh11に枯死, 枯死の次の調査以降のgbhがnaになっていない→倒木に巻き込まれたあと生存していたので、gbh11にndを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=C502 gbh14に枯死, 枯死の次の調査以降のgbhがnaになっていない→次年は生存なのでgbh14にndを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=C87 gbh05=nd で gbh10=25.8, 前年が欠測(nd)扱いになっているが、当年gbhが22.0cmより小さい新規加入個体のため前年は測定ミスではない→gbh05にnaを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20180105,2017年度データ成形（日野）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=C373 gbh17, 前年まで生存だが、当年はnaの個体、枯死？→生存はしているのでndを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=C373 gbh15に枯死, 枯死の次の調査以降のgbhがnaになっていない→その後生存が確認されたのでndを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh05","gbh10","gbh11","gbh12","gbh13","gbh14","gbh15","gbh16","gbh17","note05","note10","note11","note12","note13","note14","note15","note16","note17","s_data05","s_data10","s_data11","s_data12","s_data13","s_data14","s_data15","s_data16","s_data17","新タグ","stem_id","indv_id","現行タグ","旧丸タグ.2014.9取外.","dl05","dl10","dl11","dl12","dl13","dl14","dl15","dl16","dl17","rec05","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","error05","error10","error11","error12","error13","error14","error15","error16","error17"
0,0,"C1","C1",0.1,4.3,"ミズナラ",32.7,33.2,33.4,33,33.2,33.1,33.1,33,32.9,NA,NA,NA,NA,NA,NA,NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C1","2011_C1","C1",49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,"C2","C2",0.8,3.7,"エゾヤマザクラ",16.2,22.8,24.3,25.9,26.7,28.1,29.5,31.2,32.1,NA,NA,NA,NA,NA,NA,NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C2","2011_C2","C2",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,"C3","C3",3.5,2.7,"ミズナラ",21,20.7,NA,NA,NA,NA,NA,NA,NA,"先枯",NA,"枯",NA,NA,NA,NA,"","","20051003","20101129","20111107",NA,NA,NA,NA,NA,NA,"","2011_C3","2011_C3","C3",48,0,0,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,"C4","C4",6.3,4.6,"ミズナラ",80.6,82.5,82.9,83.4,83.7,84.2,85.5,86,86.4,NA,NA,NA,NA,NA,NA,NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C4","2011_C4","C4",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,"C5","C5",8.5,5,"ミズナラ",92.9,94.3,95.4,95,95.1,95.9,96.5,96.6,96.9,NA,NA,NA,NA,NA,NA,NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C5","2011_C5","C5",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,"C6","C6",9.7,5,"ミズナラ",32.4,31.2,NA,NA,NA,NA,NA,NA,NA,"幹折",NA,"枯",NA,NA,NA,NA,"","","20051003","20101129","20111107",NA,NA,NA,NA,NA,NA,"","2011_C6","2011_C6","C6",NA,0,0,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,"C7","C7",9.5,9.9,"ミズナラ",85,86.5,86.5,86.7,87,87.2,87.6,87.4,87.5,NA,NA,NA,NA,NA,NA,NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C7","2011_C7","C7",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,"C10","C10",5.7,1.7,"ミズナラ",94.2,94.8,95.5,95.6,95.6,95.7,96,96.4,96.4,NA,NA,NA,NA,NA,NA,NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C10","2011_C10","C10",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,"C11","C11",9.8,8.7,"ミズナラ",122.2,125.5,125.8,126.1,126.8,127.6,129.5,130.2,130.8,NA,NA,NA,NA,NA,NA,NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C11","2011_C11","C11",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,"C12","C12",7.7,7.4,"ミズナラ",115.6,118.9,119.8,120.8,121.8,123.1,125,126.2,126.9,NA,NA,NA,NA,NA,NA,NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C12","2011_C12","C12",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,"C13","C13",1.4,5.6,"ミズナラ",47.4,47.7,47.8,NA,NA,NA,NA,NA,NA,"先枯",NA,NA,"47.2枯",NA,NA,NA,"","","20051003","20101129","20111107","20121122",NA,NA,NA,NA,NA,"","2011_C13","2011_C13","C13",38,0,0,0,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,"C532","C532",3.6,2.1,"ミヤマザクラ",NA,19.7,21.2,22.8,23.3,24.2,25.2,26.5,27.2,NA,NA,NA,NA,NA,NA,"ミヤマザクラの誤り？","","",NA,"20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C532","2011_C532","C532",NA,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,"C533","C533",8.4,7.6,"エゾイタヤ",NA,16.3,16.9,17.9,18.4,19.3,20.3,21.9,22.9,NA,NA,NA,NA,NA,NA,NA,"","",NA,"20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C533","2011_C533","C533",NA,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,"C8","C8",2.9,0.6,"ミズナラ",35.5,36.3,36.9,36.6,36.7,36.7,37.2,37.2,37.1,NA,NA,NA,NA,NA,NA,NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C8","2011_C8","C8",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,"C9","C9",2.4,2.5,"ミズナラ",89.4,91,91.8,92,92.4,92.8,93.8,94,94,NA,NA,NA,NA,NA,NA,NA,"","","20051003","20101129","20111107","20121122","20131113","20141106","20150903","20160902","20171006","","2011_C9","2011_C9","C9",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
