#/log,DATA CREATED,データ作成日,20180306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,田代直明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Ashoro (AS-DB3).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,足寄(九州大学北海道演習林）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,足寄花輪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,AS-DB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,0.6ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20121015,2011年度データチェック（佐伯）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_idとindv_idのコラムを追加（セル内は、2001_tag_no、および2001_indv_noとした）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,indv_noの空欄部分（単幹であった個体）をtag_noで埋める．,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20130131,2012年度データチェック（佐伯）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag_no=1232 ツルsp⇒データ整理の都合上、nd（不明）とする。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20130306,tag_no=171 ミズナラ　gbh12を24.7cmに修正する（サイトからの訂正依頼による。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag_no=541 のgbh 12を38.8cmに訂正し、gbh07、gbh11はndとする。（サイトからの訂正依頼による。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag_no=545 gbh11について測定ミスの可能性が高いため、ndとする。（サイトからの訂正依頼による。）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20161115,tag_no=1111 エゾヤマザクラは2015年に38.9cmと記載されたが誤入力の可能性が高く，28.9cmとした,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20161213,tag_no=1431 ノリウツギは2015年の紙野帳に記載あり，エクセル様式に記入されていなかったので書き加えた．,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20171101,公開データのためのエラーチェック（日野貴文）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=1312 gbh16, 前年まで生存だが、当年はnaの個体→gbh15のgbhの前にdを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=737 gbh15, 前年まで生存だが、当年はnaの個体→枯死のためdを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=81 gbh14=na で gbh15=22.7, →半枯れの後復活のためgbh13,14にndを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20171227,2017年度データ成形（日野）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=1312 gbh16, 前年まで生存だが、当年はnaの個体、枯死？→ｇｂｈの前にdを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=312 gbh17, 前年まで生存だが、当年はnaの個体、枯死？→ｇｂｈの前にdを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=497 gbh17, 前年まで生存だが、当年はnaの個体、枯死？→ｇｂｈの前にdを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=64 gbh17, 前年まで生存だが、当年はnaの個体、枯死？→ｇｂｈの前にdを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh07","gbh11","gbh12","gbh13","gbh14","gbh15","gbh16","gbh17","note07","note11","note12","note13","note14","note15","note16","note17","s_data07","s_data11","s_data12","s_data13","s_data14","s_data15","s_data16","s_data17","新タグ","旧丸タグNo.","stem_id","indv_id","現行タグ","dl07","dl11","dl12","dl13","dl14","dl15","dl16","dl17","rec07","rec11","rec12","rec13","rec14","rec15","rec16","rec17","error07","error11","error12","error13","error14","error15","error16","error17"
90,0,1,1,7.8,3.1,"シラカンバ",33.5,34.1,34.1,33.9,34.1,34.4,34.3,33.8,NA,"タグ無し",NA,"タグ付替",NA,NA,"2回計測","コブを避け計測","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,1370,"","2011_1","2011_1",1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,2,2,9.9,8.1,"ミズナラ",24.4,25.4,25.9,26.2,26.5,27.1,27.2,27.3,NA,NA,NA,NA,NA,NA,"","","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,NA,"","2011_2","2011_2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,3,3,8.5,9.2,"シラカンバ",35.6,37.5,38.3,39,39.4,40.3,40.9,41.2,NA,NA,NA,NA,NA,NA,"","","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,NA,"","2011_3","2011_3",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,4,4,8.5,9.5,"ヤエガワカンバ",15.1,15.2,15,NA,NA,NA,NA,NA,NA,"枯？","枯？","15.0枯",NA,NA,"","","20071113","20111017","20121128","20131121",NA,NA,NA,20171031,NA,"","2011_4","2011_4",4,0,0,0,1,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
90,0,5,5,6.7,9.8,"ミズナラ",38.5,39,39.2,39.6,39.7,40.3,40.5,41,NA,NA,NA,NA,NA,NA,"","","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,NA,"","2011_5","2011_5",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,6,5,6.7,9.8,"ミズナラ",29.2,NA,NA,NA,NA,NA,NA,NA,"先枯","枯死・gbh29.2",NA,NA,NA,NA,"","","20071113","20111017",NA,NA,NA,NA,NA,20171031,NA,"","2011_6","2011_5",6,0,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,7,5,6.7,9.8,"ミズナラ",46.5,47.6,48.3,49.1,49,50.6,50.6,51.5,NA,NA,NA,NA,NA,NA,"","","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,NA,"","2011_7","2011_5",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,8,5,6.7,9.8,"ミズナラ",43.2,45.2,45.5,45.8,46.2,47,47.3,47.8,NA,NA,NA,NA,NA,NA,"","","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,NA,"","2011_8","2011_5",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,9,5,6.7,9.8,"ミズナラ",27,27.4,27.5,27.5,27.6,27.6,27.8,27.8,NA,NA,NA,"タグ付替",NA,NA,"","","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,1373,"","2011_9","2011_5",1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,10,10,3.4,0.1,"ヤエガワカンバ",18.9,19.2,19.4,19.4,19.6,19.9,20.1,19.6,NA,NA,NA,NA,NA,NA,"","","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,NA,"","2011_10","2011_10",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,11,11,4.8,2.5,"ミズナラ",21.1,21.5,21.8,21.8,21.9,22.2,22.7,22.3,"先枯","先枯","先枯","先枯",NA,"半枯","半枯","半枯","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,NA,"","2011_11","2011_11",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,12,12,5.9,3.1,"ミズナラ",19.1,NA,NA,NA,NA,NA,NA,NA,NA,"枯死・gbh19.0",NA,NA,NA,NA,"","","20071113","20111017",NA,NA,NA,NA,NA,20171031,NA,"","2011_12","2011_12",12,0,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,13,13,5.5,4,"ミズナラ",34.8,37.3,38.5,36.7,37.1,38.8,38.8,38.6,"ツル込",NA,NA,"ツル枯",NA,"ツル枯","","","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,NA,"","2011_13","2011_13",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,14,14,4.4,4.8,"ミズナラ",42.2,43.8,44.4,44.8,45.5,47.1,47.6,47.3,NA,NA,NA,NA,NA,NA,"","","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,NA,"","2011_14","2011_14",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,15,15,3.9,7.8,"シラカンバ",39.7,40.4,40.5,40.8,40.8,40.9,40.8,40.8,NA,NA,NA,NA,NA,NA,"2回計測","","20071113","20111017","20121128","20131121","20141119","20150902","20161012",20171031,NA,"","2011_15","2011_15",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
