#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,
#/doc,DATA CREATER,データ作成者,金子　隆之,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Ashu (AU-DB1).,,,,,,,,,
#,SITE NAME,サイト名,芦生（京都大学芦生研究林）,,,,,,,,,
#,PLOT NAME,調査区名,芦生モンドリ谷,,,,,,,,,
#,PLOT CODE,調査区コード,AU-DB1,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,
#,,note,備考,,,,,,,,,
#,,s_data,調査日,,,,,,,,,
#/note,,tag_no.77、189、399、520 は欠番（チェック時に枯死が判明のため),,,,,,,,,,
#,20080702,データ成形・エラーチェック（石原正恵）,,,,,,,,,,
#,20080703,tag512は511の伏条のためtag511同株と訂正、tag617は616と同株と訂正,,,,,,,,,,
#,20090324,データ成形（石原正恵）2007年の欄から2008年の欄へ移動,,,,,,,,,,
#,20090521,調査記録追加,,,,,,,,,,
#,20170928,公開データのためのエラーチェック（日野貴文）,,,,,,,,,,
#,,"tag.no=344 gbh13, 基準値より小さい　→測定部枯れのためgbh13の前にndを入力",,,,,,,,,,
#,,"tag.no=436 gbh13, 基準値より大きい→測定値は正しい",,,,,,,,,,
#,,tag.no=640 種名「マルバアオダモ？」→ndとする。noteに「マルバアオダモ？」と記入,,,,,,,,,,
#,,tag.no=642 種名「ハウチワカエデ？」→ndとする。noteに「ハウチワカエデ？」と記入,,,,,,,,,,
#,,"tag.no=2013年新規加入個体 gbh08, セルが空欄→naを入力",,,,,,,,,,
#,,"tag.no=636 ghb08, 初めて記録された年のgbhが基準値より大きいがgbh08がNA（調査対象外）になっている。→ndを入力",,,,,,,,,,
#,,"tag.no=641 ghb08, 初めて記録された年のgbhが基準値より大きいがgbh08がNA（調査対象外）になっている。→ndを入力",,,,,,,,,,
#/data,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh13","note08","note13","s_date08","s_date13","dl08","dl13","rec08","rec13","error08","error13"
0,0,1,NA,5.1,3.8,"ブナ",81.5,85.8,"","","20080513",20130504,0,0,0,0,0,0
0,0,2,NA,9.4,6.7,"アオハダ",78.5,79.2,"","","20080513",20130504,0,0,0,0,0,0
0,0,3,NA,9.6,6,"アオハダ",25.5,25.5,"","","20080513",20130504,0,0,0,0,0,0
0,0,4,NA,3.2,8.3,"ブナ",164,168.8,"154.0→164.0修正、154では、10年前(162.4)より過小","前回値修正→","20080513",20130504,0,0,0,0,0,0
0,10,5,NA,4.6,0.8,"アオハダ",46.9,NA,"","根返り","20080513",20130504,0,1,0,0,0,0
0,10,6,NA,0.1,2.2,"アズキナシ",26.6,27.9,"","","20080513",20130504,0,0,0,0,0,0
0,10,7,NA,1.7,3.6,"コシアブラ",35,NA,"","倒れ、測定部幹割れ","20080513",20130504,0,1,0,0,0,0
0,10,8,NA,8.6,3,"ブナ",21.5,24.6,"","ナンバー無","20080513",20130504,0,0,0,0,0,0
0,10,9,9,9,6.3,"コハウチワカエデ",25.6,31.6,"9と同株","","20080513",20130504,0,0,0,0,0,0
0,10,10,9,9,6.4,"コハウチワカエデ",17.8,21.5,"9と同株","","20080513",20130504,0,0,0,0,0,0
0,10,11,NA,9,7.2,"スギ",227,229.1,"","","20080513",20130504,0,0,0,0,0,0
0,10,12,NA,7.7,6.1,"コシアブラ",46.5,NA,"","H2m幹折れ","20080513",20130504,0,1,0,0,0,0
0,10,13,NA,6.3,7.2,"エゴノキ",17.9,18.3,"樹皮剥ぎ","先枯れ","20080513",20130504,0,0,0,0,0,0
0,10,14,NA,5.5,6.7,"コハウチワカエデ",32.4,40.7,"","","20080513",20130504,0,0,0,0,0,0
0,10,15,NA,5.3,6.8,"ウワミズザクラ",17.2,NA,"","立ち枯れ","20080513",20130504,0,1,0,0,0,0
0,10,16,NA,0.9,4.8,"ハクウンボク",28.7,31.6,"樹皮剥ぎ","","20080513",20130504,0,0,0,0,0,0
0,10,17,NA,2,7.1,"ブナ",82.8,NA,"","根返り","20080513",20130504,0,1,0,0,0,0
0,10,18,18,2.2,7.2,"リョウブ",19.8,NA,"18と同株","立ち枯れ","20080513",20130504,0,1,0,0,0,0
0,10,19,18,2.2,7.3,"リョウブ",16.7,NA,"18と同株","幹折れ","20080513",20130504,0,1,0,0,0,0
0,10,20,NA,6.9,9.4,"ウリハダカエデ",61.8,68.7,"","","20080513",20130504,0,0,0,0,0,0
0,20,21,NA,5.8,1,"コハウチワカエデ",15.4,20,"樹皮剥ぎ","","20080513",20130504,0,0,-1,1,0,0
