#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,山田 利博,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Chichibu (CC-AT1).,,,,,,,,,,,,,
#,SITE NAME,サイト名,秩父,,,,,,,,,,,,,
#,PLOT NAME,調査区名,秩父矢竹沢（スギ密度試験地）,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,CC-AT1,,,,,,,,,,,,,
#,PLOT SIZE,面積,0.8826ha (in total),,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,
#/note,20070602,Data was arranged.,,,,,,,,,,,,,,
#,20090521,CC-AT1 is composed of three plots with different thinning treatment. Thinning was conducted in 1999.,,,,,,,,,,,,,,
#,,"A: No thinning (0.2387ha), B:intensive thinning (0.3393ha), C: moderate thinning (0.3046ha).",,,,,,,,,,,,,,
#,,元のメッシュコード（plot記号)はmesh_originalに、tag_noを(メッシュコード)-(タグNo)にした,,,,,,,,,,,,,,
#,20101116,2008年に間伐多数->死亡（d)とした,,,,,,,,,,,,,,
#,,note09およびnote14の＊はメジャーによる周囲長，それ以外は輪尺による2方向の平均胸高直径から算出．,,,,,,,,,,,,,,
#,20171101,公開データのためのエラーチェック（日野）,,,,,,,,,,,,,,
#,,"mesh_xcord, mesh_ycord, stem_xcor, stem_ycordがnaになっているのでサイトに問い合わせ→労力的に難しいとの返事を頂く",,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh04","gbh09","gbh14","note04","note09","note14","s_date04","s_date09","s_date14","mesh_original","dl04","dl09","dl14","rec04","rec09","rec14","error04","error09","error14"
NA,NA,"A-A-1","A-A-1",NA,NA,"スギ",126.29,NA,NA,"gbh1999=126.3.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-2","A-A-2",NA,NA,"スギ",164.93,172.94,187.24,"gbh1999=155.7.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-3","A-A-3",NA,NA,"スギ",105.09,NA,NA,"gbh1999=101.5.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-4","A-A-4",NA,NA,"スギ",161.79,169.17,176.56,"gbh1999=156.3.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-5","A-A-5",NA,NA,"スギ",NA,NA,NA,"枯損",NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-6","A-A-6",NA,NA,"スギ",NA,NA,NA,"枯損",NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-7","A-A-7",NA,NA,"スギ",154.25,NA,NA,"gbh1999=148.4.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-8","A-A-8",NA,NA,"スギ",156.29,NA,NA,"gbh1999=152.5.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-9","A-A-9",NA,NA,"スギ",133.05,NA,NA,"gbh1999=128.6.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-10","A-A-10",NA,NA,"スギ",121.27,123.78,131.16,"gbh1999=117.8.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-11","A-A-11",NA,NA,"スギ",107.44,NA,NA,"gbh1999=107.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-12","A-A-12",NA,NA,"スギ",NA,NA,NA,"枯損",NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-13","A-A-13",NA,NA,"スギ",123.94,NA,NA,"gbh1999=119.7.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-14","A-A-14",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-15","A-A-15",NA,NA,"スギ",125.35,NA,NA,"gbh1999=121.7.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-16","A-A-16",NA,NA,"スギ",112.47,114.98,117.81,"gbh1999=109.3.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-17","A-A-17",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-18","A-A-18",NA,NA,"スギ",154.41,159.91,165.56,"gbh1999=151.3.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-19","A-A-19",NA,NA,"スギ",89.06,NA,NA,"gbh1999=88.6.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-20","A-A-20",NA,NA,"スギ",174.04,184.25,190.07,"gbh1999=168.7.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-21","A-A-21",NA,NA,"スギ",107.29,NA,NA,"gbh1999=109.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-22","A-A-22",NA,NA,"スギ",105.4,NA,NA,"gbh1999=101.9.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-23","A-A-23",NA,NA,"スギ",150.01,154.41,158.96,"gbh1999=146.7.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-24","A-A-24",NA,NA,"スギ",137.44,142.31,147.5,"gbh1999=133.2.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-25","A-A-25",NA,NA,"スギ",NA,NA,NA,"間伐",NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-26","A-A-26",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-27","A-A-27",NA,NA,"スギ",156.14,162.42,168.7,"gbh1999=150.2.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-28","A-A-28",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-29","A-A-29",NA,NA,"スギ",152.37,160.22,166.03,"gbh1999=149.5；H=39.H04=37.5.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-30","A-A-30",NA,NA,"スギ",NA,NA,NA,"間伐",NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-31","A-A-31",NA,NA,"スギ",134.93,140.12,147.97,"gbh1999=129.9.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-32","A-A-32",NA,NA,"スギ",96.45,99.43,101.47,"gbh1999=96.4.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-33","A-A-33",NA,NA,"スギ",90.95,92.99,94.88,"gbh1999=90.2.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-34","A-A-34",NA,NA,"スギ",NA,NA,NA,"gbh1999=83.1.",NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-35","A-A-35",NA,NA,"スギ",88.91,90.32,94.4,"gbh1999=87.3.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-36","A-A-36",NA,NA,"スギ",NA,NA,NA,NA,NA,NA,20041027,20090308,20141127,"A",2,2,2,0,0,0,0,0,0
NA,NA,"A-A-37","A-A-37",NA,NA,"スギ",91.42,NA,NA,"gbh1999=89.5.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-38","A-A-38",NA,NA,"スギ",89.38,90.01,95.19,"gbh1999=89.4.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-39","A-A-39",NA,NA,"スギ",111.68,113.88,121.42,"gbh1999=106.7.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
NA,NA,"A-A-40","A-A-40",NA,NA,"スギ",103.99,NA,NA,"gbh1999=101.9.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-41","A-A-41",NA,NA,"スギ",111.53,NA,NA,"gbh1999=108.7.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-42","A-A-42",NA,NA,"スギ",70.21,NA,NA,"gbh1999=69.9.","間伐（2008年度）",NA,20041027,20090308,20141127,"A",0,1,2,0,0,0,0,0,0
NA,NA,"A-A-43","A-A-43",NA,NA,"スギ",110.27,117.5,124.56,"gbh1999=107.",NA,NA,20041027,20090308,20141127,"A",0,0,0,0,0,0,0,0,0
