#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,
#/doc,DATA CREATER,データ作成者,山田 利博,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Chichibu (CC-DB3）.,,,,,,,,,
#,SITE NAME,サイト名,秩父,,,,,,,,,
#,PLOT NAME,調査区名,秩父18は1二次林,,,,,,,,,
#,PLOT CODE,調査区コード,CC-DB3,,,,,,,,,
#,PLOT SIZE,面積,0.1ha,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,
#,,note,備考,,,,,,,,,
#,,s_data,調査日,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,
#,変更履歴,20080712,データ成形（石原正恵）,,,,,,,,,
#,,1982年から5年毎に計測、そのデータは元データにある。モニ1000提供分ではないので、使用にはサイト代表者の許可を得ること,,,,,,,,,,
#,,2007年以前に死亡個体も含み、元データにある個体はすべて含まれている。,,,,,,,,,,
#,,2方向の直径を計測-->その平均値を3.14倍した,,,,,,,,,,
#,20091019,樹木の位置は今後計測,,,,,,,,,,
#,20110215,調査区名を「秩父18は2二次林」->「秩父18は1二次林」に変更,,,,,,,,,,
#,20121109,直径測定を輪尺から直径巻尺に変更-->直径巻尺による測定値を3.14倍した,,,,,,,,,,
#,20130107,データチェック（佐伯）,,,,,,,,,,
#,,tag_no 353 & 354 「癒着のため№253と№254をまとめて測定」とあるが、「癒着のため№353と№354をまとめて測定」の誤りと思われる。そのように修正し、データはndとする。,,,,,,,,,,
#,,tag_no 332 gbh07がd（枯死）であったが、gbh12に値が入っていたため、07は欠測値（nd）として扱う。,,,,,,,,,,
#,20171101,データチェック（日野）,,,,,,,,,,
#,,"tag.no=216 gbh12, 前年まで生存だが、当年はna→枯れのためdを入力",,,,,,,,,,
#,,,,,,,,,,,,
#/data,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh07","gbh12","note07","note12","s_date07","s_date12","dl07","dl12","rec07","rec12","error07","error12"
NA,NA,140,137,NA,NA,"イヌブナ",12.089,13.188,"/137-139同株",NA,"20070928",20120905,0,0,-1,-1,0,0
NA,NA,431,431,NA,NA,"オオモミジ",12.56,13.188,"NO319の横/",NA,"20070928",20120905,0,0,-1,-1,0,0
NA,NA,466,466,NA,NA,"コミネカエデ",12.717,14.13,"/No.170の上",NA,"20070928",20120905,0,0,-1,-1,0,0
NA,NA,470,470,NA,NA,"コハウチワカエデ",12.874,15.386,"/No.395の上","剥皮","20070928",20120905,0,0,-1,-1,0,0
NA,NA,280,279,NA,NA,"カツラ",13.031,NA,"/先オレ","カレ","20070928",20120905,0,1,-1,-1,0,0
NA,NA,435,435,NA,NA,"アワブキ",13.031,13.502,"NO376の下/",NA,"20070928",20120905,0,0,-1,-1,0,0
NA,NA,418,243,NA,NA,"リョウブ",13.188,NA,"NO243と株/","カレ","20070928",20120905,0,1,-1,-1,0,0
NA,NA,437,437,NA,NA,"テツカエデ",13.188,NA,"NO381付近/","カレ","20070928",20120905,0,1,-1,-1,0,0
NA,NA,463,463,NA,NA,"リョウブ",13.188,13.816,NA,NA,"20070928",20120905,0,0,-1,-1,0,0
NA,NA,468,468,NA,NA,"コハウチワカエデ",13.188,15.386,"/No.309の下","剥皮","20070928",20120905,0,0,-1,-1,0,0
NA,NA,201,201,NA,NA,"アオハダ",13.345,14.13,NA,NA,"20070928",20120905,0,0,-1,-1,0,0
NA,NA,341,341,NA,NA,"アワブキ",13.345,13.816,"新NO432/",NA,"20070928",20120905,0,0,-1,-1,0,0
NA,NA,429,429,NA,NA,"ミズメ",13.345,13.188,"NO312の横/",NA,"20070928",20120905,0,0,-1,-1,0,0
NA,NA,430,430,NA,NA,"ハクウンボク",13.345,NA,"NO317付近/","カレ","20070928",20120905,0,1,-1,-1,0,0
NA,NA,436,436,NA,NA,"ヤマシバカエデ",13.502,14.444,"NO377付近/",NA,"20070928",20120905,0,0,-1,-1,0,0
NA,NA,467,467,NA,NA,"ホソエカエデ",13.502,14.758,"/No.294の左",NA,"20070928",20120905,0,0,-1,-1,0,0
NA,NA,446,444,NA,NA,"コハウチワカエデ",13.659,16.956,"NO441の株の横/",NA,"20070928",20120905,0,0,-1,1,0,0
NA,NA,137,137,NA,NA,"イヌブナ",13.816,14.13,"新NO416/138-140同株",NA,"20070928",20120905,0,0,-1,-1,0,0
NA,NA,444,444,NA,NA,"コハウチワカエデ",13.816,13.816,"NO441の株の横/","先枯れ","20070928",20120905,0,0,-1,-1,0,0
