#/log,DATA CREATED,データ作成日,,20180320,,,,,,,,,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,,西村尚之,,,,,,,,,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Daisen-monjyugoe　(DI-DB1）.,,,,,,,,,,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,大山文殊越,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,DI-DB1,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕 d: その年に枯死; dd: 前年以前に枯死; na: 調査対象外; nd: 欠損またはエラー; vi: ツル込み; vn; ツル抜き; cd: 測定位置の変更,,,,,,,,,,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_id,幹ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,,,,,,,,,,
#,,indv_id,個体ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,,,,,,,,,,,,
#,20120208,2006年と2011年分を合わせてデータ作成(西村尚之),,,,,,,,,,,,,,,,,,,,,,,,,
#,20120208,データ成形（鈴木智之）,,,,,,,,,,,,,,,,,,,,,,,,,
#,,旧タグ番号の色（半角カタカナ）を英略に変換（ミドリ->GN ピンク->PK アオ->BL アカ->RD シロ->WT キ->YL）,,,,,,,,,,,,,,,,,,,,,,,,,
#,,A807が重複->おそらく同一個体と思われるので（60-40）で新規扱いになっている方を削除,,,,,,,,,,OK,,,,,,,,,,,,,,,
#,,A524の個体タグがA254になっている->A524の間違い,,,,,,,,,,修正済,,,,,,,,,,,,,,,
#,,異種同株多数→片方に合わせた（次回要確認）(20120301),,,,,,,,,,,,,,,,,,,,,,,,,
#,," ""B15,コミネカエデ""   ""B15,ハウチワカエデ""",,,,,,,,,,ハウチワカエデ,,,,,,,,,,,,,,,
#,," ""B48,オオカメノキ"" ""B48,リョウブ""    ",,,,,,,,,,オオカメノキ,,,,,,,,,,,,,,,
#,," ""B5,ハウチワカエデ"" ""B5,コミネカエデ""  ",,,,,,,,,,ハウチワカエデ,,,,,,,,,,,,,,,
#,," ""B51,ハウチワカエデ"" ""B51,コミネカエデ""  ",,,,,,,,,,ハウチワカエデ,,,,,,,,,,,,,,,
#,," ""YL7,ブナ""         ""YL7,オオカメノキ""",,,,,,,,,,オオカメノキ,,,,,,,,,,,,,,,
#,,tag_no= A2 A261 A270 A62のgbhは測定間違いの可能性あり -> 大きく成長した可能性あり,,,,,,,,,,備考に記載,,,,,,,,,,,,,,,
#,20120301,stem_idに重複のあるものは、片方を2011年のタグをIDとした,,,,,,,,,,,,,,,,,,,変更後,変更後,,,,,
#,20170203,2016年データ成形（日野）,,,,,,,,,,,,,,,,,,,,,,,,,
#,,新規個体の前年までが空白→naを入力,,,,,,,,,,,,,,,,,,,,,,,,,
#,,死亡年の次の調査のgbhの欄が「d」→「dd」を入力,,,,,,,,,,,,,,,,,,,,,,,,,
#,,生存だが測定不能の個体のｇｂｈの欄が「na」→「nd」を入力,,,,,,,,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,,,,幹No,個体No,以前のデータの,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","spc_japan","stem_xcord","stem_ycord","gbh06","gbh11","gbh16","note06","note11","note16","s_date06","s_date11","s_date16","stem_id","indv_id","tag_no_original","indv_no_original","tag_no06","tag_no.1","indv_no.1","修正済みの項目","X","X.1","X.2","X.3","dl06","dl11","dl16","rec06","rec11","rec16","error06","error11","error16"
0,0,"A3","A3","ブナ",0.8,3.1,NA,19.8,17,NA,NA,NA,NA,20111024,"20160822","2011_A3","2011_A3","A3","A3",NA,"nWA3","nWA3","",NA,NA,NA,NA,0,0,0,-1,1,0,0,0,0
0,0,"A10","A10","コミネカエデ",2.2,8.8,22.4,27.3,NA,NA,NA,"消失","20061018",20111024,"20160822","2011_A10","2011_A10","A10","A10","アオ2","nWA10","nWA10","",NA,NA,NA,NA,0,0,1,0,0,0,0,0,0
0,0,"A7","A7","イタヤカエデ",2.2,6.9,100,102.1,106.5,NA,NA,NA,"20061018",20111024,"20160822","2011_A7","2011_A7","A7","A7","アオ1","nWA7","nWA7","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,0,"A1","A2","サワグルミ",9,7.8,15.1,17.6,18.1,NA,NA,NA,"20061018",20111024,"20160822","2006_GN52","2006_GN51","A1","A2","ミ52","nWA1","nWA2","",NA,NA,NA,NA,0,0,0,-1,1,0,0,0,0
0,0,"A2","A2","サワグルミ",9,7.8,20.5,37.5,54.8,NA,"大きく成長（野帳確認済み）","たぶん，前回誤りでは無く成長良い,階層進級","20061018",20111024,"20160822","2006_GN51","2006_GN51","A2","A2","ミ51","nWA2","nWA2","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,10,"A14","A14","ハウチワカエデ",0.6,4.3,22,29.4,34.3,NA,NA,NA,"20061018",20111024,"20160822","2006_GN4","2006_GN4","A14","A14","ミ4","nWA14","nWA14","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,10,"A13","A13","ブナ",1.1,1.4,17.4,19.8,22.6,NA,NA,NA,"20061018",20111024,"20160822","2006_GN3","2006_GN3","A13","A13","ミ3","nWA13","nWA13","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,10,"A12","A12","ブナ",1.4,1.1,157.2,160.2,163.8,NA,NA,NA,"20061018",20111024,"20160822","2011_A12","2011_A12","A12","A12","アオ3","nWA12","nWA12","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,10,"A24","A24","ウワミズザクラ",1.4,1.9,32.5,42,50.3,NA,NA,"階層進級","20061018",20111024,"20160822","2006_BL4","2006_BL4","A24","A24","アオ4","nWA24","nWA24","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,10,"A11","A11","コシアブラ",2.5,0.9,20.6,26.5,32.8,NA,NA,NA,"20061018",20111024,"20160822","2006_GN2","2006_GN2","A11","A11","ミ2","nWA11","nWA11","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,10,"A15","A15","ブナ",2.6,4.8,16.1,21.9,28.2,NA,NA,NA,"20061018",20111024,"20160822","2006_BL8","2006_BL8","A15","A15","アオ8","nWA15","nWA15","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,10,"A19","A19","コミネカエデ",3.6,6.3,19.5,18.8,19.4,NA,"測定位置変更",NA,"20061018",20111024,"20160822","2006_BL9","2006_BL9","A19","A19","アオ9","nWA19","nWA19","",NA,NA,NA,NA,0,0,0,0,0,0,0,2,0
0,10,"A16","A16","ブナ",3.9,7.4,136.8,138.5,139.4,NA,NA,NA,"20061018",20111024,"20160822","2011_A16","2011_A16","A16","A16","アオ11","nWA16","nWA16","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,10,"A25","A25","ハウチワカエデ",5.1,5,18,22.4,26,NA,NA,NA,"20061018",20111024,"20160822","2006_BL7","2006_BL7","A25","A25","アオ7","nWA25","nWA25","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,10,"A17","A17","ブナ",6.3,9.1,19.1,20.5,22,NA,NA,NA,"20061018",20111024,"20160822","2011_A17","2011_A17","A17","A17","アオ12","nWA17","nWA17","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,10,"A18","A18","サワグルミ",7,4.4,NA,19.9,21.8,NA,NA,NA,NA,20111024,"20160822","2011_A18","2011_A18","A18","A18",NA,"nWA18","nWA18","",NA,NA,NA,NA,0,0,0,-1,1,0,0,0,0
0,10,"A4","A4","サワグルミ",9.1,1.3,28.7,40.9,45.9,NA,NA,"ギャップ下","20061019",20111024,"20160822","2006_WT3","2006_WT3","A4","A4","シロ3","nWA4","nWA4","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,10,"A8","A8","サワグルミ",9.1,1.9,23.1,29.6,30,NA,NA,NA,"20061019",20111024,"20160822","2006_WT2","2006_WT2","A8","A8","シロ2","nWA8","nWA8","",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
