#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,西村尚之,,,,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Handa Yama (HD-DB1）.,,,,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,半田山（岡山）,,,,,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,HD-DB1,,,,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,プロット形状（0.7×1.2）＋（0.4×0.4）ha,,,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,,,,
#,,stem_id,幹ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,,,,
#,,indv_id,個体ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,,,,,,
#,,林縁を避けたためプロットの形状が特殊である。,,,,,,,,,,,,,,,,,,,
#,20120221,2007年分も含めて新たにデータ成形（鈴木智之）,,,,,,,,,,,,,,,,,,,
#,,A16 gbh11をnd,,,,,,,,,,,,,,,,,,,
#,,D657 gbh11をvi,,,,,,,,,,,,,,,,,,,
#,,C56は成長が大きいが先駆種なのでありうる,,,,,,,,,,,,,,,,,,,
#,,A211 B104 B96 B68 B69 D675 D693 D518は大きい新規だが、先駆種なのでありうる,,,,,,,,,,,,,,,,,,,
#,,D658はデータの重複の可能性あり（片方の行頭に#をつけた）->重複だった（20120305削除）,,,,,,,,,,,,,,,,,,,
#,,"A86、D641-D653、D825タグの重複→片方に""_2""をつけた->A86、D825はA76、D852の間違いだった（20120305修正）",,,,,,,,,,,,,,,,,,,
#,20121016,tag_no B272のstem_idとindv_idおよびtan_no07（2007_P295）が重複していたため、ハイフンをつけた番号（2007_P295-2など）に修正（佐伯）．,,,,,,,,,,,,,,,,,,,
#,20171203,データチェック（日野）,,,,,,,,,,,,,,,,,,,
#,,死亡年の次の調査のgbhの欄が「d」→「dd」を入力,,,,,,,,,,,,,,,,,,,
#,,生存だが測定不能の個体のｇｂｈの欄が「na」→「nd」を入力,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,,2016,2016,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh07","gbh11","gbh16","note07","note11","note16","s_date07","s_date11","s_date16","stem_id","indv_id","tag_no07","新tag_na","新indv_na","修正ありコメント","dl07","dl11","dl16","rec07","rec11","rec16","error07","error11","error16"
0,0,"A140","A140",1.4,7.8,"ヒサカキ",15.4,15.6,15.7,NA,NA,NA,"20071227","20111128","20161107","2007_PE118","2007_PE118","PE118","aS_1363","aS_1363","",0,0,0,-1,-1,1,0,0,0
0,0,"A141","A141",2,7.2,"アラカシ",19.9,25.2,28,NA,NA,NA,"20071227","20111128","20161107","2007_PE117","2007_PE117","PE117","aS_1362","aS_1362","",0,0,0,0,0,0,0,0,0
0,0,"A306","A306",5.2,5.5,"ネズミモチ",16.2,17.2,19.6,NA,NA,NA,"20071227","20111128","20161107","2007_PE116","2007_PE116","PE116","aS_1359","aS_1359","",0,0,0,0,0,0,0,0,0
0,0,"A307","A307",6.8,2.4,"アラカシ",17.4,21.2,27.8,NA,NA,NA,"20071227","20111128","20161107","2007_PE112","2007_PE112","PE112","aS_1364","aS_1364","",0,0,0,0,0,0,0,0,0
0,0,"A302","A302",6.8,9.6,"ヒサカキ",23.6,25,26.9,"つる込",NA,NA,"20071227","20111128","20161107","2007_PE119","2007_PE119","PE119","aS_1356","aS_1356","",0,0,0,0,0,0,0,0,0
0,0,"A303","A303",6.9,7,"コナラ",78,77.8,NA,NA,NA,"幹折","20071227","20111128","20161107","2007_PE115","2007_PE115","PE115",NA,NA,"",0,0,1,0,0,0,0,0,0
0,0,"PE111","PE111",7.2,0.4,"ヤブニッケイ",17.4,NA,NA,NA,NA,NA,"20071227","20111128",NA,"2007_PE111","2007_PE111","PE111",NA,NA,"",0,1,2,0,0,0,0,0,0
0,0,"A304","A304",7.7,6.8,"コナラ",87.4,91.3,94.6,"つる込",NA,NA,"20071227","20111128","20161107","2007_PE114","2007_PE114","PE114","aS_1358","aS_1358","",0,0,0,0,0,0,0,0,0
0,0,"A301","A301",7.8,9.8,"コナラ",83.8,86.4,87.2,NA,NA,NA,"20071227","20111128","20161107","2007_PE120","2007_PE120","PE120","aS_1357","aS_1357","",0,0,0,0,0,0,0,0,0
0,0,"A305","A305",7.9,5.9,"ネズミモチ",25.5,27.2,31.1,NA,"つるなし","つる込","20071227","20111128","20161107","2007_PE113","2007_PE113","PE113","aS_1360","aS_1360","",0,0,0,0,0,0,0,0,0
0,0,"A308","A308",9.9,0.7,"ネズミモチ",NA,16.1,20.4,NA,NA,NA,NA,"20111128","20161107","2011_A308","2011_A308",NA,"aS_1365","aS_1365","",0,0,0,-1,1,0,0,0,0
0,10,"A138","A138",1.1,3.1,"ヒサカキ",15.8,16,NA,NA,NA,"幹折","20071227","20111128","20161107","2007_PE123","2007_PE123","PE123",NA,NA,"",0,0,1,0,0,0,0,0,0
0,10,"A139","A139",1.2,1.8,"ナナミノキ",42.8,51.3,59.1,"つるなし",NA,NA,"20071227","20111128","20161107","2007_PE122","2007_PE122","PE122","aS_1355","aS_1355","",0,0,0,0,0,0,0,0,0
0,10,"A137","A137",6.8,1.8,"コナラ",93.2,97.2,99.7,"つるなし",NA,NA,"20071227","20111128","20161107","2007_PE121","2007_PE121","PE121","aS_1354","aS_1354","",0,0,0,0,0,0,0,0,0
0,10,"A129","A129",7.4,9.8,"ネズミモチ",24.2,26.1,29.6,NA,NA,NA,"20071227","20111128","20161107","2007_PE129","2007_PE129","PE129","aS_1344","aS_1344","",0,0,0,0,0,0,0,0,0
0,10,"A132","A132",8,6.9,"ヤマザクラ",24.2,29.2,33.4,NA,NA,NA,"20071227","20111128","20161107","2007_PE126","2007_PE126","PE126","aS_1347","aS_1347","",0,0,0,0,0,0,0,0,0
