#/log,DATA CREATED,データ作成日,20170105,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,伊東明,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Mt. Kasuga (KA-EB1).,,,,,,,,,,,,,,
#,SITE NAME,サイト名,春日山,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,KA-EB1,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕 d: その年に枯死; dd: 前年以前に枯死; na: 調査対象外; nd: 欠損またはエラー; vi: ツル込み; vn; ツル抜き; cd: 測定位置の変更,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,
#,,stem_id,幹ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,
#,,indv_id,個体ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,,
#/log,20070525,Data of 2006 was arranged.,,,,,,,,,,,,,,,
#,20091020,"mesh_xcord, mesh_ycord of tag_no=723030 has been collected to (0, 20) from (2,22) because this tree is the same individual as tag_no=723028.",,,,,,,,,,,,,,,
#,,"mesh_xcord, mesh_ycord of tag_no=723029 has been collected to (0, 20) from (1,21) because this tree is the same individual as tag_no=723028.",,,,,,,,,,,,,,,
#,,"stem_xcord, stem_ycord of tag_no=723029 has been collected to (7.6, 5.4) from (8.6, 6.4) because this tree is the same individual as tag_no=723028.",,,,,,,,,,,,,,,
#,,"stem_xcord, stem_ycord of tag_no=723030 has been collected to (7.6, 5.4) from (9.6, 7.4) because this tree is the same individual as tag_no=723028.",,,,,,,,,,,,,,,
#,20120302,2011年データを追加、異常値はサイトに確認,,,,,,,,,,,,,,,
#,,1127047が重複->イヌガシの方が1127052だった,,,,,,,,,,,,,,,
#,,tag_no= 728041 929011 1028026 1224036 1330034 1521012 1521013 1529016のgbhは測定間違いの可能性あり->728041 929011 1224036 1330034は入力ミスのため修正、他は野帳通り,,,,,,,,,,,,,,,
#,,tag_no= 824015 1023017 1224038 1430005のgbhは測定間違いの可能性あり->gbh11をnd,,,,,,,,,,,,,,,
#,,tag_no= 825014a 921049 930009 1224034 1329039 1424057a 1625019aのgbhは測定間違いの可能性あり->gbh06をnd,,,,,,,,,,,,,,,
#,,tag_no= 1224034 のgbhは測定間違いの可能性あり->gbh11をvn,,,,,,,,,,,,,,,
#,20160105,tag no = 925040　1027007 1028006 1028010 1028012a 1028012b 1028034 1121013 1121015 1223025 1224046 1224054 1227030 1230030 1321011a 1321011b　1526012 1526019 1622005はnote11の記載漏れ-> note11に「枯死」「枯れ」「立ち枯れ」と追記、gbh11をnd->dに変更,,,,,,,,,,,,,,,
#,,tag no = 1126029は前回2011に枯としていたが、今回生存が確認されたので、前回野帳に記録していたgbh11を記入した,,,,,,,,,,,,,,,
#,,tag no = 1230034 1230042は、前回別の個体の値を計測していたと思われる->gbh11をnd,,,,,,,,,,,,,,,
#,20171005,データ確認（日野）,,,,,,,,,,,,,,,
#,,備考欄に、立ち枯れ、枯れ等の記載があるが、gbhが「na」の個体→「ｄ」を入力,,,,,,,,,,,,,,,
#,,死亡年の次の調査のgbhの欄が「d」→「dd」を入力,,,,,,,,,,,,,,,
#,,枯死だとされ「d」が入力、その後の調査で生存が確認された個体→「nd」を入力,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh06","gbh11","gbh16","note06","note11","note16","s_date06","s_date11","s_date16","stem_id","indv_id","dl06","dl11","dl16","rec06","rec11","rec16","error06","error11","error16"
0,0,"721001",721001,"1.8","8.6","モミ",37.1,39.3,42,NA,NA,NA,"20070306","20111129",20161107,"2006_721001","2006_721001",0,0,0,0,0,0,0,0,0
0,0,"721002",721002,"1.9","9","サカキ",22.4,23.7,25,NA,NA,NA,"20070306","20111129",20161107,"2006_721002","2006_721002",0,0,0,0,0,0,0,0,0
0,0,"721003",721003,"1","7","アカシデ",57.5,59.5,61.2,NA,NA,NA,"20070306","20111129",20161107,"2006_721003","2006_721003",0,0,0,0,0,0,0,0,0
0,0,"721004",721004,"0.6","7.1","アカシデ",77.1,81.8,86.5,NA,NA,NA,"20070306","20111129",20161107,"2006_721004","2006_721004",0,0,0,0,0,0,0,0,0
0,0,"721005",721005,"0.8","6.8","サカキ",19.9,21.4,22,NA,NA,NA,"20070306","20111129",20161107,"2006_721005","2006_721005",0,0,0,0,0,0,0,0,0
0,0,"721006",721006,"0.1","6.1","モミ",73,77.4,83.4,NA,NA,NA,"20070306","20111129",20161107,"2006_721006","2006_721006",0,0,0,0,0,0,0,0,0
0,0,"721007",721007,"1.9","6","アセビ",23.7,23.7,NA,"721007と同株",NA,"枯れ、幹折れ","20070306","20111129",20161107,"2006_721007","2006_721007",0,0,1,0,0,0,0,0,0
0,0,"721008",721007,"1.9","6","アセビ",16.2,NA,NA,"721007と同株","枯れ、幹折れ",NA,"20070306","20111129",20161107,"2006_721008","2006_721007",0,1,2,0,0,0,0,0,0
0,0,"721009",721009,"1.5","0.2","イヌガシ",20,20,19.9,NA,NA,NA,"20070306","20111129",20161107,"2006_721009","2006_721009",0,0,0,0,0,0,0,0,0
0,0,"721010",721010,"2.2","1.6","アセビ",18.8,18.5,NA,NA,NA,"立ち枯れ","20070306","20111129",20161107,"2006_721010","2006_721010",0,0,1,0,0,0,0,0,0
0,0,"721011",721011,"3.5","1.8","モミ",16.9,16.7,NA,NA,"種名訂正（ツガ→モミ）","立ち枯れ","20070306","20111129",20161107,"2006_721011","2006_721011",0,0,1,0,0,0,0,0,0
0,0,"721012",721012,"3.9","3.9","アセビ",24.5,24.5,24.8,NA,"種名訂正（スギ→アセビ）",NA,"20070306","20111129",20161107,"2006_721012","2006_721012",0,0,0,0,0,0,0,0,0
0,0,"721013",721013,"5.8","3.7","モミ",54.2,57.4,59.8,NA,"種名訂正（イヌガシ→モミ）",NA,"20070306","20111129",20161107,"2006_721013","2006_721013",0,0,0,0,0,0,0,0,0
0,0,"721014",721014,"6.2","0.8","スギ",40,40.1,39.8,NA,NA,NA,"20070306","20111129",20161107,"2006_721014","2006_721014",0,0,0,0,0,0,0,0,0
0,0,"721015",721015,"8.2","0.2","ウラジロガシ",30.3,32.7,34.5,NA,NA,"種名訂正（イヌガシ→ウラジロガシ）","20070306","20111129",20161107,"2006_721015","2006_721015",0,0,0,0,0,0,0,0,0
0,0,"721016",721016,"8.6","2.8","スギ",69.2,69.4,69.6,NA,NA,NA,"20070306","20111129",20161107,"2006_721016","2006_721016",0,0,0,0,0,0,0,0,0
0,0,"721017",721017,"9.8","4.6","クロバイ",54.9,57.1,58.3,NA,NA,NA,"20070306","20111129",20161107,"2006_721017","2006_721017",0,0,0,0,0,0,0,0,0
0,0,"721018",721018,"6.9","5.3","サカキ",17.3,19.3,21.9,NA,NA,NA,"20070306","20111129",20161107,"2006_721018","2006_721018",0,0,0,0,0,0,0,0,0
0,0,"721019",721019,"5.7","5.8","アラカシ",33.7,33.7,33.6,NA,NA,NA,"20070306","20111129",20161107,"2006_721019","2006_721019",0,0,0,0,0,0,0,0,0
0,0,"721020",721020,"5.9","6.2","アセビ",24.6,24.6,24.4,NA,NA,NA,"20070306","20111129",20161107,"2006_721020","2006_721020",0,0,0,0,0,0,0,0,0
0,0,"721021",721021,"7.3","6.8","スギ",41.7,42.9,44.4,NA,NA,NA,"20070306","20111129",20161107,"2006_721021","2006_721021",0,0,0,0,0,0,0,0,0
0,0,"721022",721022,"5.1","7","アカシデ",72.6,74.8,77.4,NA,NA,"721022と同株","20070306","20111129",20161107,"2006_721022","2006_721022",0,0,0,0,0,0,0,0,0
0,0,"721023",721022,"5.1","7","アカシデ",105.7,108.9,111.2,NA,NA,"721023と同株","20070306","20111129",20161107,"2006_721023","2006_721023",0,0,0,0,0,0,0,0,0
0,0,"721024",721024,"4.3","6.2","サカキ",17.4,18.1,18.6,NA,NA,NA,"20070306","20111129",20161107,"2006_721024","2006_721024",0,0,0,0,0,0,0,0,0
