#/log,DATA CREATED,データ作成日,20183006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,嵜元道徳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Kamigamo (KG-EC1).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,京都大学・上賀茂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,ヒノキ天然林,,,,,入力方法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,KG-EC1,,,,,1.調査記録シートに記入してください,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT SIZE,調査区コード,0.64ha,,,,,2.黄色のセルは必ず入力してください,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,3.死亡した場合は周囲長の欄にdと入力してください,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,4.死亡要因（幹折れ、根返り、立ち枯れなど）をできるだけ記入してください,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,5.調査日を入力する場合は、yyyymmd形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕 d: その年に枯死; dd: 前年以前に枯死; na: 調査対象外; nd: 欠損またはエラー; vi: ツル込み; vn; ツル抜き; cd: 測定位置の変更,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_id,幹ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,indv_id,個体ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/note,20080626,個体389、390（ともにヒノキ）で備考に401と同株とありますが、401はリョウブ-->「４０１と同株」が間 違いで、３８９と３９０はともにヒノキでした。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20090324,データ成形（石原正恵）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20100219,2009年データ追加（大橋健太、奥田賢）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20100322,データ成形（石原正恵）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20110131,2010年データ成形,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20120203,2011年データチェック（鈴木）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20121128,No.29、No.874が枯死となっていたが、2012年度の調査で生きていたため、今後調査対象とします。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20151204,"1101のmesh位置がX50,Y60になっていたが、X60,Y50だったので修正。Stemは問題なし(木本）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20161128,07-14年をひとまとめにした備考データを07-15年でひとまとめに(木本),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20161206,"1158のmesh位置がX0,Y50になっていたが、X0,Y40だったので修正。Stemは問題なし(木本）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20161206,"1164のstem位置がX1.8,Y3.8になっていたが、X6.8,Y8.8だったので修正。Meshは問題なし(木本）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20161206,231が枯死となっていたが、2012年度の調査で生きていたため、今後調査対象とする。(木本),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20171114,"noteにおける「枯死」の記載が""d""の表記と重複するので""na""と変更",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20171208,2017年データ追加,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20171208,1165のstem_xcordを入力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20171208,"誤って枯死（dおよびdd）とされたものに""nd""を付加",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20171208,1127のstem_xcordを4.4から7.6に修正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20171220,2017年データ成形（日野）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,サイトからの情報によりタグ番号910(gbh16) : 100.1 ? を 108.1 ?へ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh07","gbh08","gbh09","gbh10","gbh11","gbh12","gbh13","gbh14","gbh15","gbh16","gbh17","note07","note08","note09","note10","note11","note12","note13","note14","note15","note16","note07.16","note17","s.date07","s.date08","s_date09","s_date10","s_date11","s_date12","s_date13","s_date14","s_date15","s_date16","s_date17","stem_id","indv_id","dl07","dl08","dl09","dl10","dl11","dl12","dl13","dl14","dl15","dl16","dl17","rec07","rec08","rec09","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","error07","error08","error09","error10","error11","error12","error13","error14","error15","error16","error17"
0,0,1,1,4.2,4.4,"ソヨゴ",28.9,28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","20071204","20081215","20091214","20101207","20111205","20121128","20131202","20141202","20151202","20161205",20171205,"2010_1","2010_1",0,0,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,2,1.5,0.5,"ヒノキ",15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","20071204","20081215","20091214","20101207","20111205","20121128","20131202","20141202","20151202","20161205",20171205,"2010_2","2010_2",0,1,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0
0,0,3,3,5.8,1,"ソヨゴ",20.4,20.4,20.4,20.4,20.4,20.4,20.6,20.6,20.6,20.5,20.5,NA,NA,NA,NA,NA,NA,NA,NA,"被圧",NA,"被圧","","20071204","20081215","20091214","20101207","20111205","20121128","20131202","20141202","20151202","20161205",20171205,"2010_3","2010_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,4,5.6,2,"ヒノキ",50.8,51.6,52.3,52.8,53.3,53.9,54.7,55.6,56,56.3,56.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","20071204","20081215","20091214","20101207","20111205","20121128","20131202","20141202","20151202","20161205",20171205,"2010_4","2010_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,5,5.5,2.5,"ソヨゴ",28.5,28.8,28.8,28.8,28.8,28.3,28.4,28.4,28.4,28.8,28.3,NA,NA,NA,NA,NA,"高さ140cmで計測",NA,NA,NA,NA,"高さ140cmで計測","","20071204","20081215","20091214","20101207","20111205","20121128","20131202","20141202","20151202","20161205",20171205,"2010_5","2010_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,6,8.4,4.5,"ヒノキ",24.4,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"幹折れ",NA,NA,NA,"幹折れ","","20071204","20081215","20091214","20101207","20111205","20121128","20131202","20141202","20151202","20161205",20171205,"2010_6","2010_6",0,0,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7,7,8.4,5,"ソヨゴ",37.4,37.4,37.5,37.5,37.5,37.6,38.1,38.1,38.1,38,38.1,"8と同株",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8と同株","","20071204","20081215","20091214","20101207","20111205","20121128","20131202","20141202","20151202","20161205",20171205,"2010_7","2010_7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8,7,8.4,5,"ソヨゴ",22.5,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7と同株",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7と同株","","20071204","20081215","20091214","20101207","20111205","20121128","20131202","20141202","20151202","20161205",20171205,"2010_8","2010_7",0,0,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9,9,8.7,2.6,"コシアブラ",35.4,35.4,35.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","20071204","20081215","20091214","20101207","20111205","20121128","20131202","20141202","20151202","20161205",20171205,"2010_9","2010_9",0,0,0,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,10,10,9.2,1.6,"リョウブ",21.1,21.1,21.1,21.2,21.2,21.5,21.5,21.5,21.5,21.4,21.5,"12と同株",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12と同株","","20071204","20081215","20091214","20101207","20111205","20121128","20131202","20141202","20151202","20161205",20171205,"2010_10","2010_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,11,11,9.9,2.3,"ヒノキ",39.8,40.1,40.6,40.9,41.4,42.5,42,42.3,42.4,42.7,42.7,NA,NA,NA,NA,NA,NA,"12年測定ミス",NA,NA,NA,"12年測定ミス","幹折","20071204","20081215","20091214","20101207","20111205","20121128","20131202","20141202","20151202","20161205",20171205,"2010_11","2010_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,12,10,9.2,1.6,"リョウブ",33.2,33.2,33.2,33.2,33.2,33.5,33.5,33.5,33.5,33.4,33.3,"10と同株",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10と同株","","20071204","20081215","20091214","20101207","20111205","20121128","20131202","20141202","20151202","20161205",20171205,"2010_12","2010_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,13,13,8.2,1.4,"ヒノキ",49.2,50,50.9,51.5,52.2,53.3,54.1,55,55.6,56.5,57.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","20071204","20081215","20091214","20101207","20111205","20121128","20131202","20141202","20151202","20161205",20171205,"2010_13","2010_13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,14,14,8.9,1.5,"ヒノキ",38.8,39.2,39.7,39.7,40.3,40.4,40.8,40.8,41,41.3,41.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","20071204","20081215","20091214","20101207","20111205","20121128","20131202","20141202","20151202","20161205",20171205,"2010_14","2010_14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,15,15,3,3,"ヒノキ",34.1,34.3,34.5,34.8,35,35.6,35.6,35.8,36.2,36,36.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","20071204","20081215","20091214","20101207","20111205","20121128","20131202","20141202","20151202","20161205",20171205,"2010_15","2010_15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,16,16,3.3,1.9,"ヒノキ",68.4,69.6,70.7,71.8,73,74.7,76,77.1,77.9,79.2,80.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","20071204","20081215","20091214","20101207","20111205","20121128","20131202","20141202","20151202","20161205",20171205,"2010_16","2010_16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,17,17,0.5,2.8,"ヒノキ",26.5,26.5,26.5,26.6,26.6,26.7,26.7,26.7,26.7,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","立枯","20071204","20081215","20091214","20101207","20111205","20121128","20131202","20141202","20151202","20161205",20171205,"2010_17","2010_17",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
