#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,西村尚之,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Kiso-akasawa (KI-EC1).,,,,,,,,,,
#,SITE NAME,サイト名,木曽,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,
#,PLOT CODE,調査区コード,KI-EC1,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,
#,,note,備考,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,
#/note,20090421,データ成形（石原）,,,,,,,,,,,
#,,タグNoの重複多数だったので、セルx座標_セルy座標_タグ番号に書き換えた。,,,,,,,,,,,
#,,異なるセルで同株の幹はなかったので、セルx座標_セルy座標_個体番号に書き換えた。,,,,,,,,,,,
#,,100_30_593が２個体あったので、ホオノキを100_30_592に変更,,,,,,,,,,,
#,20091020,"mesh_xcord(Moni1000)=mesh_xcord(origina)-10, mesh_ycord(Moni1000)=mesh_ycord(original)-10",,,,,,,,,,,
#,20171006,公開データのためのエラーチェック（日野）,,,,,,,,,,,
#,,note_13に「G08測定ミス」「G08過大」と書かれている幹個体のgbh08の計測値の前にndを入力,,,,,,,,,,,
#,,,,,,,,,,,,,
#,,,,,,,,,,,,,
#,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh13","note08","note13","s_date08","s_date13","新ID","dl08","dl13","rec08","rec13","error08","error13"
0,0,"145","145",4.6,0.7,"ホオノキ",21.5,21.7,NA,NA,39685,41508,"nWA5",0,0,0,0,0,0
0,0,"146","146",5.5,2,"サワラ",145.4,147.4,NA,NA,39685,41508,"nWA6",0,0,0,0,0,0
0,0,"147","147",5.4,2.5,"アスナロ",20.3,21.1,NA,"傾く",39685,41508,"nWA7",0,0,0,0,0,0
0,0,"1","1",1.6,3.5,"アスナロ",20.6,21.1,NA,NA,39685,41508,"nWA1",0,0,0,0,0,0
0,0,"3","3",4.6,4,"アスナロ",22.4,22.1,NA,"G08測定ミス",39685,41508,"nWA3",0,0,0,0,1,0
0,0,"2","2",1.1,4.2,"アスナロ",31,32.3,NA,NA,39685,41508,"nWA2",0,0,0,0,0,0
0,0,"4","4",1.5,5.4,"ヒノキ",241.2,244.1,NA,NA,39685,41508,"nWA4",0,0,0,0,0,0
0,0,"149","149",6,6.2,"アスナロ",27.4,28.9,NA,NA,39685,41508,"nWA8",0,0,0,0,0,0
0,0,"6","6",2.5,7.6,"シロモジ",20,20,NA,NA,39685,41508,"nWA9",0,0,0,0,0,0
0,0,"7","7",3.3,8.2,"アスナロ",41.6,42.5,NA,NA,39685,41508,"nWA10",0,0,0,0,0,0
0,10,"10","10",3.2,1.8,"アスナロ",23.2,23.7,NA,NA,39685,41508,"nWA12",0,0,0,0,0,0
0,10,"150","150",7.8,1.9,"アスナロ",77.6,79,NA,NA,39685,41508,"nWA14",0,0,0,0,0,0
0,10,"J276","YJ276",4.7,2.9,"アスナロ",17.5,17.6,NA,NA,39685,41508,"nWA13",0,0,0,0,0,0
0,10,"154","154",5.5,4.5,"ヒノキ",231.1,232,NA,NA,39685,41508,"nWA15",0,0,0,0,0,0
0,10,"14","14",4.5,7.3,"シロモジ",21,21,NA,NA,39685,41508,"nWA16",0,0,0,0,0,0
0,10,"15","15",2.3,9.9,"アスナロ",29.6,30,NA,NA,39685,41508,"nWA17",0,0,0,0,0,0
0,20,"J289","YJ289",5.4,0,"アスナロ",21.5,21.7,NA,NA,39685,41508,"nWA18",0,0,0,0,0,0
0,20,"162","162",7.9,1.7,"アスナロ",24,23.4,NA,"縮む",39685,41508,"nWA23",0,0,0,0,0,0
