#/log,DATA CREATED,データ作成日,20180320 ,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,榎木　勉,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Kasuya (KJ-EB1).,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,糟屋(糟屋陣場),,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,KJ-EB1,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕 d: その年に枯死; dd: 前年以前に枯死; na: 調査対象外; nd: 欠損またはエラー; vi: ツル込み; vn; ツル抜き; cd: 測定位置の変更,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,
#,,stem_id,幹ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,
#,,indv_id,個体ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,,,
#,20070501,Data of 2006 was arranged.,,,,,,,,,,,,,,,,
#,,A896 gbh測定間違いの可能性あり -> gbh11をndに,,,,,,,,,,,,,,,,
#,20120111,2011年データの追加,,,,,,,,,,,,,,,,
#,,A384 A529 B52 gbh測定間違いの可能性あり -> gbh06をndに,,,,,,,,,,,,,,,,
#,,A896 gbh測定間違いの可能性あり -> gbh11をndに,,,,,,,,,,,,,,,,
#,,2006年データのコマユミは全てツリバナに修正,,,,,,,,,,,,,,,,
#,,2008年にも測定を行なっており、新規個体のうち基準以下のサイズでも2008年の記録をもとにエラー扱いとしたものもある,,,,,,,,,,,,,,,,
#,20170803,データ確認（日野）,,,,,,,,,,,,,,,,
#,,枯死だとされ「d」が入力、その後の調査で生存が確認された個体→「nd」を入力,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh06","gbh11","gbh16","note06","note11","note16","s_date06","s_date11","s_date16","stem_id","indv_id","新規タグ","dl06","dl11","dl16","rec06","rec11","rec16","error06","error11","error16"
0,0,"A1","A1",2,0.5,"ヤブニッケイ",25.1,NA,NA,"","立ち枯れ","",20060425,20111110,20161111,"2006_A1","2006_A1","",0,1,2,0,0,0,0,0,0
0,0,"A2","A1",1.6,0.5,"ヤブニッケイ",15.5,16.1,16.8,"","","",20060425,20111110,20161111,"2006_A2","2006_A1","",0,0,0,-1,1,0,0,0,0
0,0,"C124","C124",3.8,2.8,"ヤブニッケイ",38.8,41.1,43.3,"","","タグ付替(元A3)",20060425,20111110,20161111,"2006_A3","2006_A3","C124",0,0,0,0,0,0,0,0,0
0,0,"A4","A4",8,1.3,"タブノキ",111.9,114.2,114.8,"","","",20060425,20111110,20161111,"2006_A4","2006_A4","",0,0,0,0,0,0,0,0,0
0,0,"C123","C123",5.5,5.4,"ヤブツバキ",69.3,71.1,71.6,"","","タグ付替(元A6)",20060425,20111110,20161111,"2006_A6","2006_A6","C123",0,0,0,0,0,0,0,0,0
0,0,"C125","C125",2.3,5,"ヤブツバキ",34,34.3,34,"","A7と同株","タグ付替(元A7)",20060425,20111110,20161111,"2006_A7","2006_A7","C125",0,0,0,0,0,0,0,0,0
0,0,"C126","C125",2.3,5,"ヤブツバキ",28.6,28.4,28.3,"","A7と同株","タグ付替(元A8)",20060425,20111110,20161111,"2006_A8","2006_A7","C126",0,0,0,0,0,0,0,0,0
0,0,"C127","C125",2.3,5,"ヤブツバキ",24.9,25.1,24.9,"","A7と同株","タグ付替(元A9)",20060425,20111110,20161111,"2006_A9","2006_A7","C127",0,0,0,0,0,0,0,0,0
0,0,"B582","C125",2.3,5,"ヤブツバキ",40.9,41,41.1,"ラベル落ち","A7と同株，ラベル付け替え（元A10)","",20060425,20111110,20161111,"2006_A10","2006_A7","",0,0,0,0,0,0,0,0,0
0,0,"A11","A11",2,7.7,"ヤブニッケイ",31.3,34.5,36.4,"","A11と同株","",20060425,20111110,20161111,"2006_A11","2006_A11","",0,0,0,0,0,0,0,0,0
0,0,"A12","A11",2,7.7,"ヤブニッケイ",53.2,54.3,NA,"","A11と同株","折・枯",20060425,20111110,20161111,"2006_A12","2006_A11","",0,0,1,0,0,0,0,0,0
0,0,"A13","A13",2,8.2,"ヤブツバキ",15.4,15.2,NA,"","","枯",20060425,20111110,20161111,"2006_A13","2006_A13","",0,0,1,-1,-1,-1,0,0,0
0,0,"A14","A14",4.6,8.8,"ヤブツバキ",23.6,24,24.3,"","","",20060425,20111110,20161111,"2006_A14","2006_A14","",0,0,0,0,0,0,0,0,0
0,0,"A15","A15",4.7,9.2,"アカガシ",127.8,130,130.9,"","","",20060425,20111110,20161111,"2006_A15","2006_A15","",0,0,0,0,0,0,0,0,0
0,0,"A16","A16",6.8,7.6,"ヤブニッケイ",35.1,NA,NA,"","立ち枯れ","",20060425,20111110,20161111,"2006_A16","2006_A16","",0,1,2,0,0,0,0,0,0
