#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,大久保達弘,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Kaname Gawa (KK-DB1).,,,,,,,,,,,
#,SITE NAME,サイト名,金目川（小国町金目川在所平ブナ林）,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,
#,PLOT CODE,調査区コード,KK-DB1,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,
#/note,,,,,,,,,,,,,,
#/log,20070501,Data of 2006 was arranged.,,,,,,,,,,,,
#,20171030,データ確認（日野貴文）,,,,,,,,,,,,
#,,セルが空白でnote15に倒木、立ち枯れとうの枯死が予測される記述がある個体→「d」を入力,,,,,,,,,,,,
#,,新規個体の前年までのセルが空白→「na」を入力,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh10","gbh15","note10","note15","s_date10","s_date15","tag_no10","indv_no10","dl10","dl15","rec10","rec15","error10","error15"
0,10,15101,15101,6.8,0.2,"コシアブラ",NA,16,"","",NA,20150901,NA,NA,0,0,-1,1,0,0
0,10,15102,15102,7.6,2.2,"コシアブラ",NA,18.4,"","",NA,20150901,NA,NA,0,0,-1,1,0,0
0,10,15103,15103,6,4.8,"コシアブラ",NA,15.2,"","",NA,20150901,NA,NA,0,0,-1,-1,0,0
0,10,15104,15104,1.4,7.2,"コシアブラ",NA,17.5,"","",NA,20150901,NA,NA,0,0,-1,1,0,0
0,10,15105,15105,2.2,4.2,"コシアブラ",NA,19.7,"","",NA,20150901,NA,NA,0,0,-1,1,0,0
0,0,10253,10253,9.3,7,"ハウチワカエデ",18.5,20.3,"","",20100818,20150901,10253,10253,0,0,0,0,0,0
0,0,50001,50001,3.2,2,"ブナ",395.1,395.7,"大害","葉量少",20100817,20150901,50001,50001,0,0,0,0,0,0
0,0,50002,50002,7.4,2.4,"ブナ",183.3,188.4,"微害","",20100817,20150901,50002,50002,0,0,0,0,0,0
0,10,50003,50003,8.5,3.5,"ブナ",317.9,318.6,"つるこみ・中害","",20100817,20150901,50003,50003,0,0,0,0,0,0
0,10,50004,50004,4.5,9,"ブナ",328.5,328.5,"中害","",20100817,20150901,50004,50004,0,0,0,0,0,0
0,10,50005,50005,2,8.5,"ブナ",122,127.5,"微害","",20100817,20150901,50005,50005,0,0,0,0,0,0
0,10,50006,50006,2,9,"ブナ",82.8,82.8,"微害","",20100817,20150901,50006,50006,0,0,0,0,0,0
0,10,50007,50007,1,9.4,"ハウチワカエデ",32.4,34,"","",20100817,20150901,50007,50007,0,0,0,0,0,0
0,20,10255,10255,5,10,"リョウブ",18.4,21.4,"","10225→10255記入ミス",20100818,20150901,10225,10225,0,0,0,0,0,0
0,30,15106,15106,4.3,2.2,"リョウブ",NA,16.4,"","",NA,20150901,NA,NA,0,0,-1,1,0,0
0,30,15107,15106,3.2,3.7,"リョウブ",NA,19.1,"","",NA,20150901,NA,NA,0,0,-1,1,0,0
0,30,15108,15108,9,3.2,"ブナ",NA,15.3,"","Old Tag No. 02019",NA,20150901,NA,NA,0,0,-1,-1,0,0
0,30,10256,10256,1,4.2,"ハウチワカエデ",15.7,21.9,"","",20100818,20150901,10256,10256,0,0,0,0,0,0
0,30,10257,10257,1.5,4.3,"ハウチワカエデ",19.7,25.1,"","",20100818,20150901,10257,10257,0,0,0,0,0,0
0,30,50014,50014,1,4,"ハウチワカエデ",72.3,76.4,"","",20100818,20150901,50014,50014,0,0,0,0,0,0
0,30,50015,50015,1,4,"ハウチワカエデ",55.6,63.2,"","",20100818,20150901,50015,50015,0,0,0,0,0,0
0,30,50016,50016,1,4,"ハウチワカエデ",23.5,25,"","",20100818,20150901,50016,50016,0,0,0,0,0,0
0,30,50017,50017,1,4,"ハウチワカエデ",54.8,61.3,"","",20100818,20150901,50017,50017,0,0,0,0,0,0
0,30,50018,50018,1,4,"ハウチワカエデ",26,28.5,"","",20100818,20150901,50018,50018,0,0,0,0,0,0
0,30,50019,50019,6,6.1,"ウワミズザクラ",17,18.9,"","",20100818,20150901,50019,50019,0,0,0,0,0,0
0,30,50020,50020,6.1,9.6,"ブナ",75.3,78,"微害","",20100818,20150901,50020,50020,0,0,0,0,0,0
0,40,15109,15109,9.4,0.8,"ハウチワカエデ",NA,16.6,"","",NA,20150901,NA,NA,0,0,-1,1,0,0
0,40,15110,15110,9.4,7.2,"コシアブラ",NA,15,"","Old Tag No. C6015",NA,20150901,NA,NA,0,0,-1,-1,0,0
0,40,15111,15111,9,7.7,"コシアブラ",NA,15.6,"","",NA,20150901,NA,NA,0,0,-1,-1,0,0
0,40,15112,50022,1,4,"ハウチワカエデ",NA,21.8,"","萌芽",NA,20150901,NA,NA,0,0,-1,1,0,0
0,40,10258,10258,1,4.3,"コシアブラ",18.4,20,"","",20100818,20150901,10258,10258,0,0,0,0,0,0
0,40,10259,10259,1,5.7,"ブナ",20.5,23.7,"無害","",20100818,20150901,10259,10259,0,0,0,0,0,0
0,40,50021,50021,5.4,0.7,"ブナ",241.2,245.6,"微害","",20100818,20150901,50021,50021,0,0,0,0,0,0
