#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,武生　雅明,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Kannami (KN-EB1).,,,,,,,,,,,,,,
#,SITE NAME,サイト名,函南・600,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,KN-EB1,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,
#/note,,,,,,,,,,,,,,,,,
#,20070501,Data of 2006 was arranged.,,,,,,,,,,,,,,,
#,20091020,"mesh_xcord, mesh_ycord were reformatted.",,,,,,,,,,,,,,,
#,20110307,2010年データの追加,,,,,,,,,,,,,,,
#,20110328,データチェック（鈴木智之）,,,,,,,,,,,,,,,
#,,tag_no=E588、E589はE551とは別種、別区画->indv_noをE588に変更,,,,,,,,,,,,,,,
#,,tag_no=F287はF89とは別種->F86と同株の間違い？とりあえずindv_tag=F287とした（要確認）,,,,,,,,,,,,,,,
#,,tag_no=C586はE116とは別種->種名間違い？F121と同株の間違い？とりあえずindv_tag=C586とした（要確認）,,,,,,,,,,,,,,,
#,,tag_no=F107はgbh09をnd,,,,,,,,,,,,,,,
#,,tag_no=E906はgbh10をcd,,,,,,,,,,,,,,,
#,,tag_no=E233はgbh10をnd,,,,,,,,,,,,,,,
#,,すでに枯死していた個体を「dd」に,,,,,,,,,,,,,,,
#,20170621,データ確認（日野）,,,,,,,,,,,,,,,
#,,枯死だとされ「d」が入力、その後の調査で生存が確認された個体→「nd」を入力,,,,,,,,,,,,,,,
#,,死亡年の次の調査のgbhの欄が「d」→「dd」を入力,,,,,,,,,,,,,,,
#,,セルが空白でnote15に倒木、立ち枯れ等の枯死が予測される記述がある個体→「d」を入力,,,,,,,,,,,,,,,
#,,セルが空白でnote15からは状態が予測できない個体→「nd」を入力,,,,,,,,,,,,,,,
#,,新規個体の前年までのセルが空白→「na」を入力,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh05","gbh10","gbh15","note05","note10","note15","s_date05","s_date10","s_date15","tag_no_2010","indv_no_2010","dl05","dl10","dl15","rec05","rec10","rec15","error05","error10","error15"
0,0,"Ｆ42","Ｆ42",NA,NA,"ヒサカキ",23.5,23.9,25.7,NA,"","",20050916,20100919,20150915,"Ｆ42","Ｆ42",0,0,0,0,0,0,0,0,0
0,0,"Ｆ40","Ｆ40",NA,NA,"イヌガシ",32,33.8,34.9,NA,"","",20050916,20100919,20150915,"Ｆ40","Ｆ40",0,0,0,0,0,0,0,0,0
0,0,"Ｆ34","Ｆ34",NA,NA,"カゴノキ",34.3,34.6,35.1,NA,"","",20050916,20100919,20150915,"Ｆ34","Ｆ34",0,0,0,0,0,0,0,0,0
0,0,"Ｆ39","Ｆ39",NA,NA,"イヌガシ",37.9,38.5,38.7,NA,"","",20050916,20100919,20150915,"Ｆ39","Ｆ39",0,0,0,0,0,0,0,0,0
0,0,"Ｆ38","Ｆ38",NA,NA,"イヌガシ",42.5,43.3,43.5,NA,"","主幹折れ",20050916,20100919,20150915,"Ｆ38","Ｆ38",0,0,0,0,0,0,0,0,0
0,0,"Ｆ36","Ｆ36",NA,NA,"イヌガシ",47.1,47.1,47.5,NA,"","",20050916,20100919,20150915,"Ｆ36","Ｆ36",0,0,0,0,0,0,0,0,0
0,0,"Ｆ41","Ｆ41",NA,NA,"イヌガシ",56.6,59.6,62.8,NA,"","",20050916,20100919,20150915,"Ｆ41","Ｆ41",0,0,0,0,0,0,0,0,0
0,0,"Ｆ35","Ｆ35",NA,NA,"イヌガシ",63.7,66.2,68.2,NA,"","",20050916,20100919,20150915,"Ｆ35","Ｆ35",0,0,0,0,0,0,0,0,0
0,0,"Ｆ37","Ｆ37",NA,NA,"ブナ",229.9,232.7,237.5,NA,"","",20050916,20100919,20150915,"Ｆ37","Ｆ37",0,0,0,0,0,0,0,0,0
0,0,"Ｆ43","Ｆ43",NA,NA,"アカガシ",259.7,263.3,266.4,NA,"","",20050916,20100919,20150915,"Ｆ43","Ｆ43",0,0,0,0,0,0,0,0,0
10,0,"Ｆ47","F48",NA,NA,"イヌガシ",21.3,21.5,21.5,NA,"","",20050916,20100919,20150915,"Ｆ47","F48",0,0,0,0,0,0,0,0,0
10,0,"Ｆ44","Ｆ44",NA,NA,"イヌガシ",30.9,32.3,33.9,NA,"","",20050916,20100919,20150915,"Ｆ44","Ｆ44",0,0,0,0,0,0,0,0,0
10,0,"F72","F72",NA,NA,"ヒメシャラ",33.7,33.8,34.1,NA,"","",20050916,20100919,20150915,"F72","F72",0,0,0,0,0,0,0,0,0
10,0,"Ｆ45","F46",NA,NA,"イヌガシ",33.9,35.5,38.6,NA,"","",20050916,20100919,20150915,"Ｆ45","F46",0,0,0,0,0,0,0,0,0
10,0,"Ｆ46","F46",NA,NA,"イヌガシ",38,38.8,41.3,NA,"","",20050916,20100919,20150915,"Ｆ46","F46",0,0,0,0,0,0,0,0,0
10,0,"Ｆ49","Ｆ49",NA,NA,"イヌガシ",57.8,59.3,61.7,NA,"","",20050916,20100919,20150915,"Ｆ49","Ｆ49",0,0,0,0,0,0,0,0,0
