#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,山田俊弘,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Miyajima (MY-EB1).,,,,,,,,,,
#,SITE NAME,サイト名,宮島,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,
#,PLOT CODE,調査区コード,MY-EB1,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,
#,,note,備考,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,
#/note,20100409,データ成形（鈴木智之）,,,,,,,,,,,
#,,"tag_no=1588,1722,1777,2193","spc_japanが""枯れ""","spc_japan,gbh09をndに修正",,,,,,,,,
#,,tag_no=1633,"spc_japanが""しき「""->シキミ(20100430)",,,,,,,,,,
#,,"tag_no=1086,1087,1088,1089,1090,1163,1164,1165",spc_japanがワタゲワタゲカマツカ→ワタゲカマツカ,,,,,,,,,,
#,,tag_no=347,spc_japan=?,ndに修正、備考に種不明,,,,,,,,,
#,,"tag_no=2095,2171,2269,2270,2274,2275",spc_japan=落葉樹?,ndに修正、備考に落葉樹?,,,,,,,,,
#,,tag_no=1827,種名記入もれ？->入力(20100430),,,,,,,,,,
#,,tag_no=138,stem_ycord記入もれ->入力(20100430),,,,,,,,,,
#,,"tag_no=709,2378,2379,2392",xy_cord記入もれ->入力(20100430),,,,,,,,,,
#,,同株異種,,,,,,,,,,,
#,,,"[1] ""768,ミミズバイ"" ""768,サカキ -> 同定間違い？サカキをミミズバイに",,,,,,,,,,
#,,,"[1] ""1261,ネジキ""     ""1261,ミミズバイ""->1252は1251と同株",,,,,,,,,,
#,,,"[1] ""1632,シキミ"" ""1632,nd""->1632はシキミ    ",,,,,,,,,,
#,,,"[1] ""1952,ネジキ""   ""1952,ヒサカキ""->1948-1950のネジキは1951のネジキと同株",,,,,,,,,,
#,,,"[1] ""2061,ネジキ"" ""2061,シキ->2379はネジキ",,,,,,,,,,
#,20100430,"tag_no=2374,2375,2376,2377 (アラカシ）",tag2378 (シリブカガシ）と同株になっている→おそらく2376の間違い,,,,,,,,,,
#,20171210,公開データのためのデータチェック(日野),,,,,,,,,,,
#,,サイトから提出されたdbh14データをgbhに換算,,,,,,,,,,,
#,,2014年にタグ交換されたと思われる個体は旧タグ番号をtag_no2009に入力,,,,,,,,,,,
#,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh09","gbh14","note09","note14","s_date09","s_date14","tag_no2009","dl09","dl14","rec09","rec14","error09","error14"
"0",0,"1","2","2","0","ネジキ",19.7,19.79203372,"2と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"2","2","1.7","0.1","ネジキ",34.9,37.07079331,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"3","2","2.1","0.4","ネジキ",14.8,15.70796327,"2と同株",NA,"20070809",20140424,NA,0,0,-1,1,0,0
"0",0,"4","4","1.3","0.7","ネジキ",15.8,16.3362818,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"5","4","1.4","1.3","ネジキ",15.6,16.96460033,"4と同株",NA,"20070809",20140424,NA,0,0,-1,1,0,0
"0",0,"6","8","0.5","1.7","ネジキ",14.7,15.07964474,"8と同株",NA,"20070809",20140424,NA,0,0,-1,-1,0,0
"0",0,"7","8","0","1.8","ネジキ",20.4,20.42035225,"8と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"8","8","0","1.9","ネジキ",25.1,25.44690049,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"9","9","0.9","2.9","ヤブツバキ",27.8,28.90265241,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"10","13","2.8","4.7","ネジキ",17.2,17.90707813,"13と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"11","13","2.3","4.3","ネジキ",17.2,18.53539666,"13と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"12","13","2.2","4.8","ネジキ",22.9,23.24778564,"13と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"13","13","2.2","5","ネジキ",26.9,27.48893572,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"14","14","4.7","2.6","ネジキ",24.4,26.70353756,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"15","14","4.7","2.3","ネジキ",17.45,17.27875959,"14と同株，斜め",NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"16","16","7.7","2","イヌガシ",26.4,26.70353756,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"17","17","7.4","2.3","シキミ",21,23.5619449,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"18","18","8.5","1.3","シキミ",16.9,17.90707813,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"19","18","8.2","1.2","シキミ",15.8,NA,"18と同株","枯死","20070809",20140424,NA,0,1,0,0,0,0
"0",0,"20","21","8.8","2","ネジキ",14.7,15.70796327,"21と同株",NA,"20070809",20140424,NA,0,0,-1,1,0,0
"0",0,"21","21","8.7","2.6","ネジキ",23.8,25.13274123,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"22","22","8.6","2.9","ネジキ",19.6,20.73451151,NA,NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"23","27","9.3","3.6","ヒサカキ",23,24.5044227,"27と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
"0",0,"24","27","9.2","3.1","ヒサカキ",19.4,20.42035225,"27と同株",NA,"20070809",20140424,NA,0,0,0,0,0,0
