#/log,DATA CREATED,データ作成日,20070801,,,,,,,
#/doc,DATA CREATER,データ作成者,蒔田明史,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Nibuna-mizusawa （NB-EC1).,,,,,,,
#,SITE NAME,サイト名,仁鮒水沢(スギ保護林),,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,
#,PLOT CODE,調査区コード,NB-EC1,,,,,,,
#,PLOT SIZE,面積,1ha,50x200ｍ,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,
#,,spc_japan,種名,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,
#,,note,備考,,,,,,,
#,,s_data,調査日,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,
#/log,20071126,Data of 2006 was arranged.,,,,,,,,
#,,,,,,,,,,
#,20090916,tag_no=288が二個体あったため、サワグルミを288.1し、個体番号も変更,,,,,,,,
#,,indv_no=Y35が樹種、場所が異なるため、tag_no=B35のindv_no=Y35.1とした,,,,,,,,
#,,note06.1にref-IDを入力、樹種同定不確かなものはnaにした,,,,,,,,
#,20091020,"mesh_xcord,mesh_ycord has been changed to Moni1000 format.",,,,,,,,
#,20101116,"tag=R147,148,149,R110重複。同一幹の可能性あり。-> 片方の行頭に#をつけた",,,,,,,,
#,,tag=B229は同一株内で重複-> -1 -2をつけた,,,,,,,,
#,20110107,イタヤカエデ->アカイタヤ,,,,,,,,
#/data,,,,,,,,,,
#70,0,R110,Y101,0,9,ハクウンボク,25.9 ,xはＮＳ方向,02_P549,20061003
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh06","note06","note06.1","s_date06","dl06","rec06","error06"
0,0,"R232","P145","9.0 ","7.0 ","スギ",376,"233と同株","02_P145",20061003,0,0,0
0,0,"R233","P145","9.0 ","6.0 ","スギ",227.2,"P145と同株","06_R233",20061003,0,0,0
0,0,"R235","P56","5.0 ","9.0 ","トチノキ",79.1,NA,"02_P560",20061003,0,0,0
0,0,"R234","R234","7.0 ","9.5 ","キブシ",15.5,"新規","06_R234",20061003,0,-1,0
10,0,"R231","P558","0.0 ","6.0 ","コシアブラ",33.3,"ペンキなし","02_P558",20061003,0,0,0
10,0,"R225","P559","0.0 ","4.0 ","トチノキ",22.1,NA,"02_P559",20061003,0,0,0
10,0,"R223","R223","9.0 ","6.0 ",NA,16.5,"新規　斜め 落葉種不明","06_R223",20061003,0,0,0
10,0,"R224","R224","9.0 ","6.0 ",NA,17.8,"新規　斜め 落葉種不明","06_R224",20061003,0,0,0
20,0,"R222","P141","1.0 ","3.0 ","スギ",462,NA,"02_P141",20061003,0,0,0
20,0,"R221","P142","1.0 ","7.0 ","スギ",299.2,NA,"02_P142",20061003,0,0,0
30,0,"R217","P139","9.0 ","8.0 ","スギ",395.3,NA,"02_P139",20061003,0,0,0
30,0,"R218","P554","6.0 ","4.0 ","トチノキ",23,"219と同株","02_P554",20061003,0,0,0
30,0,"R219","P554","6.0 ","4.0 ","トチノキ",21.4,"新規　P554の1本　R218と同株　前回はラベル１コのみ　1mで２分岐","06_R219",20061003,0,0,0
30,0,"R220","P555","0.0 ","2.0 ","トチノキ",34.4,NA,"02_P555",20061003,0,0,0
40,0,"R213","P134","5.0 ","2.0 ","スギ",222.5,NA,"02_P134",20061003,0,0,0
40,0,"R211","P135","9.0 ","2.0 ","スギ",265.3,NA,"02_P135",20061003,0,0,0
40,0,"R214","P136","6.0 ","7.0 ","スギ",400.4,NA,"02_P136",20061003,0,0,0
40,0,"R215","P138","4.0 ","9.5 ","スギ",226.3,"前回データ間違い→修正済","02_P138",20061003,0,0,0
50,0,"R209","P128","7.0 ","4.0 ","スギ",162.1,"南側","02_P128",20061003,0,0,0
50,0,"R210","P129","5.0 ","2.0 ","スギ",268.9,"南側","02_P129",20061003,0,0,0
60,0,"R109","P133","9.0 ","10.0 ","スギ",305,"南側","02_P133",20061003,0,0,0
60,0,"R177","P548","2.0 ","9.0 ","エゴノキ",29.2,"南側","02_P548",20061003,0,0,0
60,0,"R110","P549","9.5 ","9.5 ","ハクウンボク",25.9,"南側","02_P549",20061003,0,0,0
60,0,"R178","R178","2.0 ","5.0 ",NA,18.3,"新規ミズナラ？","06_R178",20061003,0,0,0
70,0,"P546-1","Y01","8","8","トチノキ",65.8,"Ｎ側　1.3Ｍで2分岐","00_Y01-1",20061003,0,0,0
70,0,"P546-2","Y01","8","8","トチノキ",66.4,"Ｓ側　1.3Ｍで2分岐","00_Y01-2",20061003,0,0,0
80,0,NA,"49 ","9.7","6.2","トチノキ",NA,NA,"80_49",20061003,1,-1,0
80,0,NA,"52 ","4.4","6.1","トチノキ",NA,NA,"80_52",20061003,1,-1,0
80,0,"P120","Y02","7","1","スギ",327.1,NA,"00_Y02",20061003,0,0,0
90,0,NA,"50 ","0.5","6.2","トチノキ",NA,NA,"80_50",20061003,1,-1,0
90,0,"P117","Y04","8","2","スギ",321.9,NA,"00_Y04",20061003,0,0,0
90,0,"P540","Y08","6","8","ホオノキ",27.3,NA,"00_Y08",20061003,0,0,0
90,0,"P872","Y102","6","3","オオバクロモジ",15,"1.2Ｍで分岐太い方のみ測定","04_Y102",20061003,0,-1,0
100,0,NA,"42 ","4.1","9.7","スギ",NA,NA,"80_42",20061003,1,-1,0
100,0,NA,"43 ","7.8","4.6","トチノキ",NA,NA,"80_43",20061003,1,-1,0
100,0,"P539-1","Y06","1","9","クサギ",NA,"枯21.4","00_Y06-1",20061003,1,-1,0
