#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,西村尚之,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Ontake-nigorigo (NG-EC1).,,,,,,,,,,,,,
#,SITE NAME,サイト名,御岳濁河(亜高山帯常緑針葉樹林),,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,NG-EC1,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,
#,2006,データ作成(西村尚之)2ha分,,,,,,,,,,,,,,
#,20080429,1ha分,,,,,,,,,,,,,,
#,20080702,データ成形（石原正恵）,,,,,,,,,,,,,,
#,20101116,tag重複多数,,,,,,,,,,,,,,
#,20101116,tag重複多数->セルx座標-セルy座標-tagNoにした,,,,,,,,,,,,,,
#,20110126,2010年度分データの差し替え（2005年分も）,,,,,,,,,,,,,,
#,,note05はデータなし（2005年データと対応させるのが困難なため、元データ参照）,,,,,,,,,,,,,,
#,,"tag_no=nYA795 重複　-1,-2をつけた（-2の方が番号の並びからすると怪しい）-->(50,20)の方がnYA695の間違い",,,,,,,,,,,,,,
#,20110217,西村さんより追加修正（タグNo、座標など）,,,,,,,,,,,,,,
#,20170608,データ確認（日野）,,,,,,,,,,,,,,
#,,枯死だとされ「d」が入力、その後の調査で生存が確認された個体→「nd」を入力,,,,,,,,,,,,,,
#,,死亡年の次の調査のgbhの欄が「d」→「dd」を入力,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh05","gbh10","gbh15","note05","note10","note15","s_date05","s_date10","s_date15","tag_no_2010","dl05","dl10","dl15","rec05","rec10","rec15","error05","error10","error15"
0,0,"aS_2","nYA1",9.1,2.7,"オオシラビソ",35.8,38,38.8,NA,NA,NA,"20050914","20100831","20150930","nYA1",0,0,0,0,0,0,0,0,0
0,0,"aS_4","nYA651",9.4,4.9,"オオシラビソ",NA,16.5,17.4,NA,"新規加入",NA,NA,"20100831","20150930","nYA651",0,0,0,-1,1,0,0,0,0
0,0,"aS_3","nYA2",8.2,5,"シラビソ",49.1,51.4,53.3,NA,NA,NA,"20050914","20100831","20150930","nYA2",0,0,0,0,0,0,0,0,0
0,0,"aS_1","nYA3",0.6,5.2,"シラビソ",61.9,63,64.9,NA,NA,NA,"20050913","20100831","20150930","nYA3",0,0,0,0,0,0,0,0,0
0,0,"aS_5","aS_5",9.4,5.9,"オオシラビソ",NA,NA,16,NA,NA,"新規",NA,NA,"20150930",NA,0,0,0,-1,-1,1,0,0,0
0,10,"aS_54","nYA631",3.3,0.2,"コメツガ",112.6,115.1,118.5,NA,NA,NA,"20050913","20100831","20150930","nYA631",0,0,0,0,0,0,0,0,0
0,10,"aS_61","nYA126",7.8,1.1,"オオシラビソ",16.8,18,19.5,NA,NA,NA,"20050914","20100831","20150930","nYA126",0,0,0,0,0,0,0,0,0
0,10,"aS_55","nYA632",1.9,1.7,"コメツガ",NA,16.1,17,NA,"新規加入",NA,NA,"20100831","20150930","nYA632",0,0,0,-1,1,0,0,0,0
0,10,"aS_60","nYA5",0.8,2.3,"トウヒ",258.2,261.9,266,NA,NA,NA,"20050913","20100831","20150930","nYA5",0,0,0,0,0,0,0,0,0
0,10,"aS_62","nYA7",6.1,3.4,"オオシラビソ",46.4,50.3,52.1,NA,NA,NA,"20050914","20100831","20150930","nYA7",0,0,0,0,0,0,0,0,0
0,10,"aS_64","nYA635",2,4.5,"オオシラビソ",NA,16,18.6,NA,"新規加入",NA,NA,"20100831","20150930","nYA635",0,0,0,-1,1,0,0,0,0
0,10,"aS_57","nYA6",0,5.5,"ウラジロカンバ",83.5,84.5,85,NA,NA,NA,"20050913","20100831","20150930","nYA6",0,0,0,0,0,0,0,0,0
0,10,"aS_59","nYA633",3.2,6.8,"シラビソ",19.4,21.8,24.1,NA,NA,NA,"20050913","20100831","20150930","nYA633",0,0,0,0,0,0,0,0,0
0,10,"aS_58","nYA634",1.7,6.8,"オオシラビソ",NA,16,17.4,NA,"新規加入",NA,NA,"20100831","20150930","nYA634",0,0,0,-1,1,0,0,0,0
0,10,"aS_65","nYA8",9.7,9.4,"ウラジロカンバ",113.7,116.4,120.8,NA,NA,NA,"20050914","20100831","20150930","nYA8",0,0,0,0,0,0,0,0,0
