#/log,DATA CREATED,データ作成日,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,並川寛司,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Nopporo (NP-DB1).,,,,,,,,,,,,
#,SITE NAME,サイト名,野幌(自然休養林),,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,
#,PLOT CODE,調査区コード,NP-DB1,,,,,,,,,,,,
#,PLOT SIZE,面積,1.04ha,80×130m,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,
#/note,,,,,,,,,,,,,,,
#,20070501,Data of 2006 was arranged.,,,,,,,,,,,,,
#,20101105,データ成形（鈴木智之）,,,,,,,,,,,,,
#,,2010年調査時に2005年次データを一部修正（並川さん）（元データ参照）,,,,,,,,,,,,,
#,,tag_no=246 測定間違いの可能性あり->05をnd,,,,,,,,,,,,,
#,,tag_no=432 測定間違いの可能性あり->10をviに,,,,,,,,,,,,,
#,,tag_no=793 測定間違いの可能性あり->10をvnに,,,,,,,,,,,,,
#,20171115,データチェック（日野貴文）,,,,,,,,,,,,,
#,,死亡年の翌年以降も「ｄ」が入力されている→「dd」を入力,,,,,,,,,,,,,
#,,欠測データが空白セルになっている→「nd」を入力,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh05","gbh10","gbh15","note05","note10","note15","s_date05","s_date10","s_date15","dl05","dl10","dl15","rec05","rec10","rec15","error05","error10","error15"
0,0,1,1,1.5,2.1,"シナノキ",86.8,94,101.3,"852",NA,NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
0,0,2,2,2.5,6,"ハルニレ",80.3,NA,NA,NA,"根返り",NA,20051115,20101016,20151005,0,1,2,0,0,0,0,0,0
0,0,3,3,4.7,5.2,"キハダ",74.2,NA,NA,NA,"根返り",NA,20051115,20101016,20151005,0,1,2,0,0,0,0,0,0
0,0,4,4,3.9,1.6,"シナノキ",41,41.2,41.9,NA,NA,NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
0,0,5,5,4,9.3,"カツラ",59,65.5,70.6,NA,NA,NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
0,0,6,6,5.9,5.2,"トドマツ",16.8,19,19,NA,"傾斜",NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
0,0,7,7,6.6,3.5,"ヤチダモ",87.9,NA,NA,NA,"根返り",NA,20051115,20101016,20151005,0,1,2,0,0,0,0,0,0
0,0,8,8,7.7,5.1,"ヤチダモ",82,92,95.6,NA,NA,NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
0,0,9,9,9.9,6.8,"トドマツ",22.5,23.7,26.1,NA,NA,NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
10,0,10,10,3.5,5.9,"ヤチダモ",100.9,106.6,114.3,NA,NA,NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
10,0,11,11,0.5,4.7,"シナノキ",63.9,67.6,68.3,NA,NA,NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
10,0,12,12,2.8,1.5,"トドマツ",27.6,29.5,31.7,"ツル込み","05年ツル込みとしていたが，実際にはツルなし",NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
10,0,13,13,3.7,0.3,"ハルニレ",90.8,91.2,93.6,NA,NA,NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
10,0,14,14,5.4,2.4,"ウダイカンバ",92.5,91.1,NA,NA,"枯死しつつある","立枯れ",20051115,20101016,20151005,0,0,1,0,0,0,0,0,0
10,0,15,14,5.4,2.4,"ウダイカンバ",46.5,NA,NA,"14と同株","幹折れ","立枯れ",20051115,20101016,20151005,0,1,2,0,0,0,0,0,0
10,0,16,16,3.4,5.1,"トドマツ",16.5,18.1,19.8,NA,NA,NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
10,0,17,17,7.4,9.1,"トドマツ",21.1,NA,NA,NA,"根返り",NA,20051115,20101016,20151005,0,1,2,0,0,0,0,0,0
10,0,18,18,8.5,8.4,"シナノキ",57.3,58.8,60.5,NA,NA,NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
10,0,19,19,8.8,9,"トドマツ",19.1,19.2,22.5,NA,NA,"ツル込み",20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
10,0,20,20,6.8,5,"ヤチダモ",70.2,72.6,75.7,"ツル込み","以前のデータではツルなしとしていたが，「ツル込み」",NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
20,0,21,21,0.5,1.6,"シナノキ",36.6,NA,NA,NA,"根元折れ",NA,20051115,20101016,20151005,0,1,2,0,0,0,0,0,0
20,0,22,22,3.2,2.1,"ヤチダモ",95,101.4,106.8,NA,NA,NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
20,0,23,23,2.6,3.2,"シナノキ",54.2,54.5,54.5,NA,NA,NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
20,0,24,24,1.2,4.7,"トドマツ",20.3,22.3,25,NA,NA,NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
20,0,25,25,0.3,5.2,"ハルニレ",47.6,47.9,48.4,NA,NA,NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
20,0,26,26,1.4,8.6,"トドマツ",34.1,36.6,40.5,NA,NA,NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
20,0,27,27,2.5,7.9,"トドマツ",20.3,21.2,22.3,NA,NA,NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
20,0,28,28,2.8,7.6,"ミズナラ",139.4,139.4,140,NA,NA,NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
20,0,29,29,3.3,5.9,"シナノキ",33.8,NA,NA,NA,"根元折れ",NA,20051115,20101016,20151005,0,1,2,0,0,0,0,0,0
20,0,30,30,6,4.7,"トドマツ",18.5,NA,NA,NA,"立枯れ",NA,20051115,20101016,20151005,0,1,2,0,0,0,0,0,0
20,0,31,31,7.7,0.4,"シナノキ",80.1,83.7,86.7,NA,NA,NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
20,0,32,32,9.5,1.5,"イタヤカエデ",24,24.1,24.1,NA,NA,NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
30,0,33,33,1.3,2.9,"ハルニレ",59.6,59.3,59.9,NA,NA,NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
30,0,34,34,2.3,4,"シナノキ",87.8,89.3,90.7,"（35のアルミタグを一緒に貼り付け）と同じ株",NA,NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
30,0,36,34,1.7,3.3,"シナノキ",96.3,102,105.4,"34と同株",NA,NA,20051115,20101016,20151005,0,0,0,0,0,0,0,0,0
