#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,安部哲人,,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Ogasawara (OW-EB1).,,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,小笠原石門(母島・上の段）,,,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,OW-EB1,,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,(100m×100ｍ）,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,(西→東）,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,(南→北）,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,,
#/note,,,,,,,,,,,,,,,,,,,
#,20090512,データ成形（石原正恵）,,,,,,,,,,,,,,,,,
#,,幹タグ番号がないのは、タグを調査時はつけなかったためです。可能な時に、付ける予定です。,,,,,,,,,,,,,,,,,
#,,調査期間は1年以上にわたる。,,,,,,,,,,,,,,,,,
#,,株の評価はできない,,,,,,,,,,,,,,,,,
#,20090516,死亡個体を除く,,,,,,,,,,,,,,,,,
#,,100×100mのデータのみにする,,,,,,,,,,,,,,,,,
#,20100806,列名 mesh_xcord(m)->mesh_xcord,,,,,,,,,,,,,,,,,
#,,列名 mesh_ycord(m)->mesh_ycord,,,,,,,,,,,,,,,,,
#,20101021,幹タグ無しに仮のtag_no（tempxxx)をつけた(もとのtag_noはtag_no_originalとして残す）,,,,,,,,,,,,,,,,,
#,,備考をもとにindv_noをつけた,,,,,,,,,,,,,,,,,
#,,"tag_no=temp319,temp717がどれと同株かわからない",,,,,,,,,,,,,,,,,
#,20101116,"[1] ""EE6880,モクタチバナ"" ""EE6880,ヤロード"" ->EE6880のヤロードを別個体に   ",,,,,,,,,,,,,,,,,
#,,"[1] ""EE6890,モクタチバナ"" ""EE6890,イヌグス""   ->temp810のイヌグスを別個体に",,,,,,,,,,,,,,,,,
#,,"[1] ""EE6960,オオバシロテツ"" ""EE6960,モクタチ->temp1100のモクタチバナを別個体に",,,,,,,,,,,,,,,,,
#,,tag重複　EE8195 EE5815 EE1    EE6612　-> -1 -2　をつけた,,,,,,,,,,,,,,,,,
#,,EE6612はデータ重複の可能性,,,,,,,,,,,,,,,,,
#,,EE5815-2はおそらくEE8515の間違い,,,,,,,,,,,,,,,,,
#,20130303,2011年調査データを追加した表を作成した（下記）。,,,,,,,,,,,,,,,,,
#,,2011年の調査者は、田中信行・星善男である。,,,,,,,,,,,,,,,,,
#,,tag_no 2006：2006年の初回調査の幹タグ番号（針金の耐久性がなくほとんど落下）、tag_no 2008：安部哲人が付け直した時のタグ番号、tag_no 2011：2011年調査時の追加したタグ番号。,,,,,,,,,,,,,,,,,
#,,gbh15〜30ｃｍの幹について、2006年の調査時にはタグを付けなかったが、2011年の調査ではタグを新規に付けた。すなわち、2011年調査ではほぼすべての幹にタグがついた。,,,,,,,,,,,,,,,,,
#,,しかしながら、本表にはタグ番号がない幹が多い。これは、ｇｂｈ15〜30cmの幹を2006年調査でタグ番号を付けなかったため、2011年の調査時に幹識別できず、新規にタグを付けたこと原因している。,,,,,,,,,,,,,,,,,
#,,したがって、2011年に新規にタグを付けた幹は、2006年調査のタグなし幹である可能性が高いが、幹の識別は位置やｇｂｈを参考に推定するほかない。,,,,,,,,,,,,,,,,,
#,,indv_no：個体識別の番号で主要な幹のタグ番号をつけた。タグ番号のない幹で同株の場合、A1-1など仮の番号を10mプロットごとに入力した。,,,,,,,,,,,,,,,,,
#,20120317,2011年調査におけるアカギの枯死は林野庁による外来樹駆除作業（2011年4月〜9月）として行われた薬剤（グリホサート）注入が原因である。,,,,,,,,,,,,,,,,,
#,20130402,"環境省（担当：佐伯さん）に提出後、ｇｂｈ2011にdbhデータが入っていることに気が付いた。（80,0）〜（80,50）と(90,0)〜(90,90)にｄｂｈが入っていた。本表では、dbhはｇｂｈに変換して、修正した。",,,,,,,,,,,,,,,,,
#,20171224,2016年調査者は安部哲人，阿部真，八木貴信，飯田佳子，星善男，小林佳子，梅野ひろみ,,,,,,,,,,,,,,,,,
#,,和名を日本維管束植物目録（邑田仁・米倉浩司，2016，北隆館）に準拠した,,,,,,,,,,,,,,,,,
#,20180124,2006年のDBH10㎝未満のデータを座標とDBHをもとに既出個体と照合し，併合したが，信頼性が高くない．2006年データを解析に使うにはDBH10㎝以上を対象にしたほうがよい．,,,,,,,,,,,,,,,,,
#,20180210,2016年データ成形（日野）,,,,,,,,,,,,,,,,,
#,,モニ1000フォーマットに準拠するため、現行タグ番号tag_no 2016をそのままコピーしてtag_no列を作成,,,,,,,,,,,,,,,,,
#,,"タグ番号, indv_noがない個体はデータの整理のために便宜的にタグ番号をtemp1〜537で与えた",,,,,,,,,,,,,,,,,
#,,サイトデータでは、枯死もしくは不明の個体のgbhが空欄のため、モニ1000入力規則にしたがい修正,,,,,,,,,,,,,,,,,
#,,"→枯れor枯死or倒れor折れ→「d」,　所在不明or不明枯死？→「nd（エラー値・データなし）」を入力。ndを入力した個体は次回調査で生死の確認必要",,,,,,,,,,,,,,,,,
#,,アカギのnote11に「薬殺」とありかつ、gbh16が空欄の個体はgbhに「d」を入力,,,,,,,,,,,,,,,,,
#,,"gbh06に計測値があるが、gbh11,1gh16がともに空欄で,note06に「死にそう」、「幹折れ」、「根がえり」と書かれている個体はgbh11にｄを入力",,,,,,,,,,,,,,,,,
#,,"gbh06に計測値があるが、gbh11,1gh16がともに空欄で,note11に「不明」と書かれている個体はgbh11にｄを入力",,,,,,,,,,,,,,,,,
#,,s_date06~16の表記をモニ1000仕様に変換,,,,,,,,,,,,,,,,,
#,,gbh06とgbh16に計測値はあるが、gbh11が空欄の個体はgbh11に「nd」を入力,,,,,,,,,,,,,,,,,
#,,tag_no=aは4幹個体が重複のため便宜的にタグ番号をa_1〜4に,,,,,,,,,,,,,,,,,
#,,タグ番号が重複している下記の幹個体は個体識別のため便宜的に、○○_1、○○_2と枝番をつけた,,,,,,,,,,,,,,,,,
#,,"1, 1101, 1103, 1104, 1105, 1106, 1107, 1108, 1109, 1110, 1111, 1112, 1113, 1114, 1115, 1116, 1117, 1118, 1119, 1120, 1121, 1122, 1123, 1125, 1126, 1127, 1128, 1129, 1130, 1130, 1131, 1132, 1133, 1135, 1136, 1137, 1138, 1139, 1140, 1141, 1142, 1143, 1144, 1145, 1146, 1147, 1148, 1149, 1150, 1888, 1896, 1896, 1896, 3332, 7004, 7301, 7302, 7303, 7305, 7306, 7307, 7308, 7309, 7310, 7311, 7312, 7313, 7314, 7315, 7316, 7317, 7319, 7320, 7321, 7322, 7323, 7324, 7325, 7325, 7326, 7327, 7328, 7329, 7330, 7331, 7332, 7333, 7334, 7335, 7336, 7337, 7338, 7339, 7340, 7342, 7343, 7344, 7345, 7346, 7347, 7348, 7349, 7350, 7495, 7501, 7502, 7503, 7504, 7505, 7506, 7507, 7508, 7509, 7510, 7511, 7512, 7513, 7514, 7515, 7516, 7517, 7517, 7518, 7518, 7519, 7520, 7520, 7521, 7521, 7522, 7522, 7523, 7524, 7525, 7526, 7527, 7528, 7529, 7530, 7531, 7532, 7533, 7534, 7535, 7536, 7537, 7538, 7539, 7540, 7541, 7542, 7543, 7544, 7545, 7546, 7547, 7548, 7549, 7550, 7908, 7935, 8220, 8615, 8663, 8950, a,EE, EG3404, EG3466, EG4629, EG4631, EG4756",,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_ｘcord","stem_ｙcord","spc_japan","gbh06","gbh11","gbh16","note06","note11","note16","s_date06","s_date11","s_date16","tag_no.2006","tag_no.2008","tag_no.2011","tag_no.2016","dl06","dl11","dl16","rec06","rec11","rec16","error06","error11","error16"
0,0,"EG3479","EG3479","0.5","0","マルハチ",84.1,93.2,93.3,NA,NA,NA,"20060908","20120703","20161111","EE6530","EG3479","EG3479","EG3479",0,0,0,0,0,0,0,0,0
0,0,"EG3482","EG3482","2","0.5","モクタチバナ",32,31.8,31.9,NA,NA,NA,"20060908","20120703","20161111","EE6531","EG3482","EG3482","EG3482",0,0,0,0,0,0,0,0,0
0,0,"EG3484","EG3484","1","3","モクタチバナ",37.8,39.2,42,NA,NA,NA,"20060908","20120703","20161111","EE6532","EG3484","EG3484","EG3484",0,0,0,0,0,0,0,0,0
0,0,"EG3480","EG3480","1","5","モクタチバナ",55,59.3,60.5,NA,NA,NA,"20060908","20120703","20161111","EE6533","EG3480","EG3480","EG3480",0,0,0,0,0,0,0,0,0
0,0,"EG3491","EG3491","3.5","4.5","モクタチバナ",60.6,61,NA,"3491同株",NA,"所在不明","20060908","20120703","20161111","EE6534","EG3491","EG3491","EG3491",0,0,0,0,0,0,0,0,1
0,0,"EG3494","EG3491","3.5","5","モクタチバナ",45,46,NA,"3491同株",NA,"死亡　タグ回収","20060908","20120703","20161111","EE6535","EG3494","EG3494","EG3494",0,0,1,0,0,0,0,0,0
0,0,"EG3500","EG3500","4.5","3.5","トキワイヌビワ",46.6,47,47.3,NA,NA,NA,"20060908","20120703","20161111","EE6536","EG3500","EG3500","EG3500",0,0,0,0,0,0,0,0,0
0,0,"EG3492","EG3492","5","3","トキワイヌビワ",36.4,38,38.5,NA,NA,NA,"20060908","20120703","20161111","EE6537","EG3492","EG3492","EG3492",0,0,0,0,0,0,0,0,0
0,0,"EG3493","EG3493","4","1","モクタチバナ",62.5,64.5,65.2,"釘下測定",NA,"釘下測定","20060908","20120703","20161111","EE6538","EG3493","EG3493","EG3493",0,0,0,0,0,0,0,0,0
0,0,"EG3495","EG3495","9","1.5","モンテンボク",117.3,130.5,140,"3495同株，つるこみ",NA,NA,"20060908","20120703","20161111","EE6539","EG3495","EG3495","EG3495",0,0,0,0,0,0,0,0,0
0,0,"EG3497","EG3495","9.5","1.5","モンテンボク",188.6,190.9,184.5,"3495同株，つるこみ",NA,"つるなし","20060908","20120703","20161111","EE6540","EG3497","EG3497","EG3497",0,0,0,0,0,0,0,0,0
0,0,"EG3499","EG3499","9.5","2.5","モクタチバナ",49.4,49.4,NA,NA,NA,NA,"20060908","20120703","20161111","EE6541","EG3499","EG3499","EG3499",0,0,0,0,0,0,0,0,0
0,0,"EG3496","EG3496","9.5","4","モクタチバナ",73,NA,NA,NA,NA,NA,"20060908","20120703","20161111","EE6542","EG3496","EG3496","EG3496",0,0,0,0,0,0,0,0,0
0,0,"EE6543","EE6543","8.5","5.5","モクタチバナ",46.8,NA,NA,NA,NA,NA,"20060908","20120703","20161111","EE6543","EE6543","EE6543","EE6543",0,0,0,0,0,0,0,0,0
0,0,"EG3498","EG3498","7.5","7","トキワイヌビワ",34.6,35.7,36.1,"しにそう",NA,NA,"20060908","20120703","20161111","EE6544","EG3498","EG3498","EG3498",0,0,0,0,0,0,0,0,0
0,0,"EG3601","EG3601","6","6","モクタチバナ",67.7,70.9,73.1,NA,NA,NA,"20060908","20120703","20161111","EE6545","EG3601","EG3601","EG3601",0,0,0,0,0,0,0,0,0
0,0,"EG3603","EG3603","7","9","モクタチバナ",43,46.7,47.8,NA,NA,NA,"20060908","20120703","20161111","EE6546","EG3603","EG3603","EG3603",0,0,0,0,0,0,0,0,0
0,0,"EG3604","EG3604","5","7.5","オガサワラボチョウジ",42.1,41.5,NA,NA,NA,"死亡　タグ回収","20060908","20120703","20161111","EE6547","EG3604","EG3604","EG3604",0,0,1,0,0,0,0,0,0
0,0,"EG3610","EG3610","4","8","モクタチバナ",42.2,45,46,NA,NA,NA,"20060908","20120703","20161111","EE6548","EG3610","EG3610","EG3610",0,0,0,0,0,0,0,0,0
0,0,"EG3607","EG3607","3.5","10","オガサワラボチョウジ",50.8,54.7,57.2,NA,NA,NA,"20060908","20120703","20161111","EE6549","EG3607","EG3607","EG3607",0,0,0,0,0,0,0,0,0
0,0,"L166","L166","1","10","モクタチバナ",37.2,37.3,NA,NA,NA,"所在不明","20060908","20120703","20161111","EE6550","L166","L166","L166",0,0,0,0,0,0,0,0,1
0,0,"7004_1","7004","0","2.2","モクタチバナ",25.6,NA,NA,NA,"死亡",NA,"20070100",NA,NA,NA,NA,NA,"7004",0,1,2,0,0,0,0,0,0
0,0,"7003","7003","1.8","1.2","トキワイヌビワ",28.5,28.5,NA,"傾斜木",NA,"死亡　タグ確認できず","20070100","20120703","20161111",NA,NA,"7003","7003",0,0,1,0,0,0,0,0,0
0,0,"7002","EG3493","4","1","モクタチバナ",21.7,24.6,28.2,"EG3493同株",NA,NA,"20070100","20120703","20161111",NA,NA,"7002","7002",0,0,0,0,0,0,0,0,0
0,0,"7008","7008","4.8","2.2","モクタチバナ",18.7,20.4,26.3,NA,NA,NA,"20070100","20120703","20161111",NA,NA,"7008","7008",0,0,0,0,0,0,0,0,0
0,0,"7007","7007","4.2","2.7","モクタチバナ",16.4,18,20,NA,NA,NA,"20070100","20120703","20161111",NA,NA,"7007","7007",0,0,0,0,0,0,0,0,0
0,0,"7005","EG3480","1","5","モクタチバナ",28.1,30.6,33,"EG3480同株",NA,NA,"20070100","20120703","20161111",NA,NA,"7005","7005",0,0,0,0,0,0,0,0,0
0,0,"7016","7016","4.2","6","モクタチバナ",24.5,26.2,27,NA,NA,NA,"20070100","20120703","20161111",NA,NA,"7016","7016",0,0,0,0,0,0,0,0,0
0,0,"7017","7017","1.3","8.5","モクタチバナ",22.9,24.8,25.1,NA,NA,NA,"20070100","20120703","20161111",NA,NA,"7017","7017",0,0,0,0,0,0,0,0,0
0,0,"7018","7018","5.6","9.5","モクタチバナ",27,28.8,29.5,NA,NA,NA,"20070100","20120703","20161111",NA,NA,"7018","7018",0,0,0,0,0,0,0,0,0
0,0,"7020","EG3603","7","9","モクタチバナ",19.7,20.4,20.6,"EG3603同株",NA,NA,"20070100","20120703","20161111",NA,NA,"7020","7020",0,0,0,0,0,0,0,0,0
0,0,"7014","EG3601","6","6","モクタチバナ",22.3,23.8,25.4,"EG3601同株",NA,NA,"20070100","20120703","20161111",NA,NA,"7014","7014",0,0,0,0,0,0,0,0,0
0,0,"7013","7013","9.8","8","モクタチバナ",29.4,30,38.7,NA,NA,NA,"20070100","20120703","20161111",NA,NA,"7013","7013",0,0,0,0,0,0,0,0,0
0,0,"7015","7015","5.5","5.8","モクタチバナ",26.5,29,28.3,NA,NA,"ナナメ","20070100","20120703","20161111",NA,NA,"7015","7015",0,0,0,0,0,0,0,0,0
0,0,"7012","EG3496","9.5","4","モクタチバナ",15.9,19.8,NA,"EG3496同株 斜め",NA,"死亡　タグ回収","20070100","20120703","20161111",NA,NA,"7012","7012",0,0,1,0,0,0,0,0,0
0,0,"7011","EG3496","9.5","4","モクタチバナ",20.6,22.5,24.9,"EG3496同株",NA,NA,"20070100","20120703","20161111",NA,NA,"7011","7011",0,0,0,0,0,0,0,0,0
0,0,"7009","7009","7.5","0.5","モクタチバナ",18.8,21.5,NA,NA,NA,"所在不明","20070100","20120703","20161111",NA,NA,"7009","7009",0,0,0,0,0,0,0,0,1
0,0,"temp1_1",NA,"3.7","4.4","モクタチバナ",24,NA,NA,NA,NA,NA,"20070100",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
0,0,"7001","EG3493","1","4","モクタチバナ",NA,16.3,16,"3493と同株",NA,NA,NA,"20120703","20161111",NA,NA,"7001","7001",0,0,0,-1,1,0,0,0,0
0,0,"7023","EG3610","8","4","モクタチバナ",NA,17,17,"3610と同株",NA,NA,NA,"20120703","20161111",NA,NA,"7023","7023",0,0,0,-1,1,0,0,0,0
0,0,"7006","7006","1","5","モクタチバナ",NA,21,24.5,"1.0ｘ5.0",NA,NA,NA,"20120703","20161111",NA,NA,"7006","7006",0,0,0,-1,1,0,0,0,0
0,0,"7024","7024","4","9.5","モクタチバナ",16.3,17,17,NA,NA,NA,"20070100","20120703","20161111",NA,NA,"7024","7024",0,0,0,0,0,0,0,0,0
0,0,"7025","7025","2.8","9.5","モクタチバナ",NA,15.2,15.5,NA,NA,NA,NA,"20120703","20161111",NA,NA,"7025","7025",0,0,0,-1,-1,-1,0,0,0
