#/log,DATA CREATED,データ作成日,20140220,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,杉田久志,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at 御明神大滝沢,,,,,,,,,,,,,,,
#,PLOT NAME,調査地名,御明神大滝沢,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,
#,,,別番号,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,
#/note,20090325,データ成形（石原正恵）,,,,,,,,,,,,,,,,
#,,"1991,1998,2003年のデータあり",,,,,,,,,,,,,,,,
#,,1991年台風被害をnote91.1として入力,,,,,,,,,,,,,,,,
#,,"gbh1991,1998,2003--> note.gbh91, note.gbh98, note.gbh03",,,,,,,,,,,,,,,,
#,20091224,"Data censused in 1991, 1998, 2003 were excluded because Monitoring Sites 1000 started from 2004.",,,,,,,,,,,,,,,,
#,20101220,イタヤカエデは全てアカイタヤ（杉田さんより）。イタヤカエデ->アカイタヤ,,,,,,,,,,,,,,,,
#,20171211,公開用にデータの体裁整え（日野）,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh13","note08","note13","s_date08","s_date13","memo1","memo2","memo3","新No.","X","X.1","dl08","dl13","rec08","rec13","error08","error13"
10,10,138.2,"RG474",1.5,9.8,"トチノキ",10.2,13.6,"","",20081112,20130926,"RG","F","RD385　青167",474,NA,NA,0,0,-1,-1,0,0
10,10,138.1,"F138.1",0.8,7,"サワグルミ",10,NA,"","→不明",20081112,20130926,"","F","青168",NA,NA,NA,0,1,-1,-1,0,0
20,10,123,"RG475",2.5,1.8,"サワグルミ",134.6,139.4,"","",20081112,20130926,"RG","F","",475,NA,NA,0,0,0,0,0,0
20,10,123.1,"RG475",2.2,1.8,"サワグルミ",9.7,NA,"","→立枯れ",20081112,20130926,"","F","青530",NA,NA,NA,0,1,-1,-1,0,0
20,10,120,"RG477",9.2,7.2,"アカイタヤ",155.8,156.6,"","",20081112,20130926,"RG","F","",477,NA,NA,0,0,0,0,0,0
20,10,121,"RG478",9.8,9.4,"トチノキ",201.8,203.8,"","",20081112,20130926,"RG","F","",478,NA,NA,0,0,0,0,0,0
20,10,122,"RG478",9.8,9.4,"トチノキ",144.2,146,"","",20081112,20130926,"RG","F","",479,NA,NA,0,0,0,0,0,0
30,10,120.1,"RG476",0.6,1.4,"ハウチワカエデ",11.9,12.1,"","",20081112,20130926,"RG","F","青536　RA747",476,NA,NA,0,0,-1,-1,0,0
30,10,108,"RG480",5.9,5.9,"トチノキ",192,199.1,"","",20081112,20130926,"RG","F","",480,NA,NA,0,0,0,0,0,0
40,10,105,"RG483",1.6,4.8,"トチノキ",135.1,138.9,"","",20081112,20130926,"RG","F","",483,NA,NA,0,0,0,0,0,0
40,10,107.1,"RG484",4.9,0.2,"ツリバナ",12.7,13,"","",20081112,20130926,"RG","F","青541",484,NA,NA,0,0,-1,-1,0,0
40,10,104,"RG485",6.3,3,"ホオノキ",132.9,135,"","",20081112,20130926,"RG","F","",485,NA,NA,0,0,0,0,0,0
40,10,104.2,"RG485",5.8,2.9,"ホオノキ",9.1,10.4,"","",20081112,20130926,"RG","F","青542",486,NA,NA,0,0,-1,-1,0,0
40,10,NA,"RG485",NA,NA,"ホオノキ",NA,11.2,"","",20081112,20130926,"RG","","",487,NA,NA,0,0,-1,-1,0,0
40,10,103,"RG485",6.7,2.9,"ホオノキ",NA,20.7,"立ち枯れ","生きてた",20081112,20130926,"RG","F","",488,NA,NA,0,0,0,0,1,0
40,10,104.1,"RG485",5.8,3.1,"ホオノキ",NA,NA,"立ち枯れ","",20081112,20130926,"","F","RD458　WG533",NA,NA,NA,1,2,-1,-1,0,0
40,10,102,"RG489",9.4,3.4,"トチノキ",121,125,"","",20081112,20130926,"RG","F","",489,NA,NA,0,0,0,0,0,0
40,10,101,"RG489",9.7,3.1,"アカイタヤ",84.4,84.3,"","",20081112,20130926,"RG","F","",490,NA,NA,0,0,0,0,0,0
50,10,NA,"RG491",4.7,2.7,"アオダモ",NA,18.5,"","",20081112,20130926,"RG","","",491,NA,NA,0,0,-1,1,0,0
60,10,95.6,"RG494",8.8,0.6,"トチノキ",10.8,NA,"","→土石流不明",20081112,20130926,"RG","F","青554",494,NA,NA,0,1,-1,-1,0,0
70,10,NA,"RG495",NA,NA,"サワグルミ",NA,9.6,"","",20081112,20130926,"RG","","",495,NA,NA,0,0,-1,-1,0,0
70,10,88.1,"RG495",9.8,3.8,"サワグルミ",9.9,NA,"水平","細い",20081112,20130926,"","F","青592　RA751",NA,NA,NA,0,0,-1,-1,0,1
80,10,74,"RG496",7.1,2.9,"ブナ",180.1,182.6,"","",20081112,20130926,"RG","F","",496,NA,NA,0,0,0,0,0,0
