#/log,DATA CREATED,データ作成日,20170320,,,,,,,,,
#/doc,DATA CREATER,データ作成者,榎木　勉,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height atSI-DB1,,,,,,,,,
#,SITE NAME,サイト名,椎葉（合戦原）,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,
#,PLOT CODE,調査区コード,SI-DB1,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,
#,,note,備考,,,,,,,,,
#,,s_data,調査日,,,,,,,,,
#,20100312,データ成型（石原正恵）,,,,,,,,,,
#,,エンコウカエデは鋸歯が細長く延びるもの、イタヤカデはそうでないものとして分類。ただし連続的である。（榎木さんに確認）,,,,,,,,,,
#,20171027,データ確認（日野貴文）,,,,,,,,,,
#,,新規個体の前年までのセルが空白→「na」を入力,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#/data,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh09","gbh14","note09","note14","s_date09","s_date14","dl09","dl14","rec09","rec14","error09","error14"
90,0,"C201","C201",9.5,2.3,"クマシデ",43.6,43.2,NA,"",20091208,20150108,0,0,0,0,0,0
90,0,"C202","C202",9.6,6,"クマシデ",30.8,31.5,NA,"",20091208,20150108,0,0,0,0,0,0
90,0,"C203","C203",9,6.5,"アカシデ",51,52.7,NA,"",20091208,20150108,0,0,0,0,0,0
90,0,"C204","C204",8.3,7,"クマシデ",44,45.9,NA,"",20091208,20150108,0,0,0,0,0,0
90,0,"C205","C205",5.1,7.2,"イタヤカエデ",36.8,37.4,NA,"",20091208,20150108,0,0,0,0,0,0
90,0,"C206","C206",3.9,5.1,"コハウチワカエデ",16.3,16.3,"株","",20091208,20150108,0,0,0,0,0,0
90,0,"C207","C206",3.9,5.1,"コハウチワカエデ",18.5,18.5,"株","",20091208,20150108,0,0,0,0,0,0
90,0,"C208","C208",3.8,4.7,"ハリギリ",102.1,107.8,NA,"",20091208,20150108,0,0,0,0,0,0
90,0,"C209","C209",4.7,4.3,"コハウチワカエデ",32,32.3,NA,"",20091208,20150108,0,0,0,0,0,0
90,0,"C210","C210",5.5,2.6,"アカシデ",54.5,54.7,NA,"",20091208,20150108,0,0,0,0,0,0
90,0,"C211","C211",0,3.2,"コハウチワカエデ",19.7,19.7,NA,"",20091208,20150108,0,0,0,0,0,0
90,0,"C212","C212",1,0,"コハウチワカエデ",32,NA,NA,"枯死",20091208,20150108,0,1,0,0,0,0
90,0,"C213","C213",6.1,2.4,"クマシデ",37.3,NA,NA,"枯死",20091208,20150108,0,1,0,0,0,0
90,10,"C214","C214",8.5,0.9,"コハウチワカエデ",41.9,43.7,"株","",20091208,20150108,0,0,0,0,0,0
90,10,"C215","C214",8.5,0.9,"コハウチワカエデ",22,21.9,"株","",20091208,20150108,0,0,0,0,0,0
90,10,"C216","C216",7.4,0.7,"コハウチワカエデ",20.8,20.7,NA,"",20091208,20150108,0,0,0,0,0,0
90,10,"C217","C217",0.6,6.2,"クマシデ",48.5,48.5,NA,"",20091208,20150108,0,0,0,0,0,0
90,10,"C218","C218",0.9,6,"クマシデ",35.8,36.3,NA,"",20091208,20150108,0,0,0,0,0,0
90,10,"C219","C219",0.1,2.5,"コハウチワカエデ",24.5,25.8,NA,"",20091208,20150108,0,0,0,0,0,0
