#/log,DATA CREATED,データ作成日,180320,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,(西村尚之,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Sannoko (SN-EC1）.,,,,,,,,,,,
#,SITE NAME,サイト名,三之公（奈良県川上村三之公温帯針葉樹林）,,,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,,,
#,PLOT CODE,調査区コード,SN-EC1,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,
#,20080702,データ成形（石原正恵）,,,,,,,,,,,,
#,20101116,tag=YE623重複。同一幹の可能性あり。-> -1 -2をつけた,,,,,,,,,,,,
#,20150216,tag=YE623重複の一方を削除,,,,,,,,,,,,
#,,番号形式変更（BをB_に変更）,,,,,,,,,,,,
#,,区画境界数値変更（10を9.99に変更）,,,,,,,,,,,,
#,,note07_14は、2003年からの備考を2014年に追記したもの,,,,,,,,,,,,
#,,note14_1は2014年のタグ変更に関する記録,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh07","gbh14","note07","note07_14","note14","note14_1","s_date07","s_date14","dl07","dl14","rec07","rec14","error07","error14"
0,0,"WA1","WA1",0.8,0.3,"ウラジロガシ",30.8,NA,NA,NA,"立枯",NA,"20080225",20141122,0,1,0,0,0,0
0,0,"WA4","WA4",5.1,0.8,"アラカシ",72.2,71.8,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,0,"WA5","WA5",6.4,1.7,"サカキ",43.2,44.6,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,0,"WA12","WA12",9.2,4.2,"ウラジロガシ",29.4,31.4,NA,"03:落枝で曲",NA,NA,"20080225",20141122,0,0,0,0,0,0
0,0,"WA11","WA11",8.9,5.6,"ヤブツバキ",20.4,21.2,NA,"03:落枝で曲",NA,NA,"20080225",20141122,0,0,0,0,0,0
0,0,"WA6","WA6",5.1,5.8,"ヤブツバキ",33.4,35.3,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,0,"WA2","WA2",0.5,6,"サカキ",58,60.1,NA,NA,"No08のB_222がないため，No03のWA2に変更済",NA,"20080225",20141122,0,0,0,0,0,0
0,0,"WA3","WA3",4.7,6,"モミ",306.4,NA,NA,NA,"立枯",NA,"20080225",20141122,0,1,0,0,0,0
0,0,"WA8","WA8",7.5,6.3,"イヌガシ",24.2,NA,NA,"03:H=120","立枯",NA,"20080225",20141122,0,1,0,0,0,0
0,0,"WA10","WA10",9,6.7,"モミ",286,294.5,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,0,"WA7","WA7",7.3,7.2,"サカキ",37.7,37.7,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,10,"YA203","WA17",3.6,1.2,"ユズリハ",19.5,20.7,NA,NA,NA,"番号張替","20080225",20141122,0,0,0,0,0,0
0,10,"WA19","WA19",1.4,1.4,"サカキ",49.1,50.6,NA,NA,NA,NA,"20080225",20141122,0,0,0,0,0,0
0,10,"WA13","WA13",5.4,2.4,"サカキ",86.9,87,NA,"03:2本合体幹","XY座標修正済","座標変更","20080225",20141122,0,0,0,0,0,0
