#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,
#/doc,DATA CREATER,データ作成者,西村尚之,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Mt. Daisetsu (TA-EC1）. ,,,,,,,,,
#,SITE NAME,サイト名,大雪山（東大雪原生林1ha試験区）,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,
#,PLOT CODE,調査区コード,TA-EC1,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,
#,,note,備考,,,,,,,,,
#,,s_data,調査日,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#/data,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh13","note08","note13","s_date08","s_date13","dl08","dl13","rec08","rec13","error08","error13"
90,0,"nWG145","nWG145",5.8,6.3,"エゾマツ",181.6,184.8,NA,NA,20080911,20130829,0,0,0,0,0,0
90,0,"nWG147","nWG147",5.3,9.2,"エゾマツ",195,197.6,NA,NA,20080911,20130829,0,0,0,0,0,0
90,0,"nWG146","nWG146",5.2,5.9,"トドマツ",27.3,30.8,NA,NA,20080911,20130829,0,0,0,0,0,0
90,0,"nWG148","nWG148",4.5,9.1,"エゾマツ",96.4,97,NA,NA,20080911,20130829,0,0,0,0,0,0
90,0,"nWG149","nWG149",4.2,9.4,"トドマツ",28.4,31,NA,NA,20080911,20130829,0,0,0,0,0,0
90,0,"nWG150","nWG150",3.6,8,"エゾマツ",169.2,170.2,NA,NA,20080911,20130829,0,0,0,0,0,0
90,0,"nWG151","nWG151",3.3,7.5,"トドマツ",20.1,21.3,NA,NA,20080911,20130829,0,0,0,0,0,0
80,0,"nWG152","nWG152",9.5,7.7,"トドマツ",16.7,19.2,NA,NA,20080911,20130829,0,0,0,0,0,0
80,0,"nWG154","nWG154",7.2,0.3,"エゾマツ",45.7,45.7,NA,"G08記載ミス修正済",20080911,20130829,0,0,0,0,0,0
80,0,"nWG153","nWG153",6.7,1,"エゾマツ",165.2,168.4,NA,NA,20080911,20130829,0,0,0,0,0,0
80,0,"nYJ464","nYJ464",5.5,2.8,"エゾマツ",26,NA,"衰退","立枯",20080911,20120926,0,1,0,0,0,0
80,0,"nWG155","nWG155",5.5,0.8,"エゾマツ",101,101.2,NA,NA,20080911,20130829,0,0,0,0,0,0
80,0,"nWG157","nWG157",1.2,9.7,"トドマツ",16,19.4,NA,NA,20080911,20130829,0,0,0,0,0,0
70,0,"nWG159","nWG159",7.5,5,"エゾマツ",88.8,88.6,NA,NA,20080911,20130829,0,0,0,0,0,0
70,0,"nWG158","nWG158",7.3,5,"エゾマツ",185.2,189.4,NA,NA,20080911,20130829,0,0,0,0,0,0
70,0,"nWG161","nWG161",2,3.8,"エゾマツ",177.3,180.7,NA,NA,20080911,20130829,0,0,0,0,0,0
70,0,"nWG162","nWG162",1.6,4.3,"エゾマツ",102.8,106.3,NA,NA,20080911,20130829,0,0,0,0,0,0
60,0,"nWG166","nWG166",3.1,0.7,"エゾマツ",50.7,53.2,NA,NA,20080911,20130829,0,0,0,0,0,0
60,0,"nWG167","nWG167",2.8,0.8,"エゾマツ",112.6,116.3,NA,NA,20080911,20130829,0,0,0,0,0,0
50,0,"nWG165","nWG165",8.2,3,"アカエゾマツ",87.6,90.4,NA,NA,20080911,20130829,0,0,0,0,0,0
50,0,"nWG168","nWG168",6.4,0.6,"トドマツ",95.6,98.2,NA,NA,20080911,20130829,0,0,0,0,0,0
50,0,"nWG169","nWG169",5.4,1,"アカエゾマツ",29.8,30.2,NA,NA,20080911,20130829,0,0,0,0,0,0
50,0,"nWG170","nWG170",1.6,4.4,"エゾマツ",164.4,169.5,NA,NA,20080911,20130829,0,0,0,0,0,0
40,0,"nWG171","nWG171",7.5,4,"ダケカンバ",53,52.9,NA,NA,20080911,20130829,0,0,0,0,0,0
40,0,"nWG172","nWG172",5.3,5.4,"トドマツ",113.8,116.4,NA,NA,20080911,20130829,0,0,0,0,0,0
40,0,"nWG173","nWG173",0.8,8.4,"トドマツ",82.4,87.6,NA,NA,20080911,20130829,0,0,0,0,0,0
40,0,"nWG174","nWG174",0.3,8.6,"トドマツ",77.9,80.6,NA,NA,20080911,20130829,0,0,0,0,0,0
40,0,"nWG175","nWG175",0,3.7,"トドマツ",119.1,123.1,NA,NA,20080911,20130829,0,0,0,0,0,0
30,0,"nWG176","nWG176",8.7,9,"トドマツ",106.3,112.4,NA,NA,20080911,20130829,0,0,0,0,0,0
30,0,"nWG184","nWG184",5.1,1.4,"トドマツ",136.3,140.2,NA,NA,20080911,20130829,0,0,0,0,0,0
30,0,"nWG177","nWG177",5,7.5,"トドマツ",23.3,25.9,NA,NA,20080911,20130829,0,0,0,0,0,0
30,0,"nWG179","nWG179",3.3,5.1,"トドマツ",18,20.9,NA,NA,20080911,20130829,0,0,0,0,0,0
30,0,"nWG182","nWG182",2.7,9.4,"トドマツ",175,179.5,NA,NA,20080911,20130829,0,0,0,0,0,0
30,0,"nWG183","nWG183",0.5,9.2,"トドマツ",18.7,20.7,NA,NA,20080911,20130829,0,0,0,0,0,0
30,0,"nWG186","nWG186",0,6.1,"トドマツ",23.2,26.7,NA,NA,20080911,20130829,0,0,0,0,0,0
20,0,"nWG190","nWG190",8.4,0.6,"エゾマツ",57.9,59.9,NA,NA,20080911,20130830,0,0,0,0,0,0
20,0,"nWG189","nWG189",6.8,4,"トドマツ",25,26.7,NA,NA,20080911,20130830,0,0,0,0,0,0
20,0,"nWG188","nWG188",6.6,8,"トドマツ",41.3,44.4,NA,NA,20080911,20130830,0,0,0,0,0,0
