#/log,DATA CREATED,デndタ作成日,180320,,,,,,,,,
#/doc,DATA CREATER,デndタ作成者,田中信行,,,,,,,,,
#,DATA TITLE,デndタ名,Temporal Change in Tree Girth at Breast Height at筑波山,,,,,,,,,
#,SITE NAME,サイト名,筑波山,,,,,,,,,
#,PLOT NAME,調査区名,-,,,,,,,,,
#,PLOT CODE,調査区コndド,TB-DB1,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,
#,,note,備考,,,,,,,,,
#,,s_data,調査日,,,,,,,,,
#/note,2007-2008年にかけて毎木を実施、2008年デndタとして記録,,,,,,,,,,,
#/log,20101111,デndタ成形（鈴木智之）,,,,,,,,,,
#,,P-206の座標欠損,,,,,,,,,,
#,,？つき種名はndとして備考に記入,,,,,,,,,,
#,,イボタ->イボタノキ,,,,,,,,,,
#,,indv_no=P-281-1とP281-2は共にP-281として、備考に同株と記入,,,,,,,,,,
#,, P-10   P-131  P-135  P-139  P-127  P-101  P-102  P-103  P-104  P-147  P-148  P-149  P-178  P-140  P-141 P-143  P-146  P-142  P-145  P-144  P-266  R-169  P-676  P-599  P-598  P-396 が重複 -> P-10-1などとした,,,,,,,,,,
#,,初期枯死木は除外（元データ参照）,,,,,,,,,,
#,20171022,公開データのためのチェック（日野）,,,,,,,,,,
#,,2013に枯死していて、gbh13に「nd」が入力もしくは空白の個体は、「d」を入力,,,,,,,,,,
#,,"tag_no,indv_noに「—」が入力されている個体はモニ1000入力規則に従い「nd」を入力",,,,,,,,,,
#/data,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh13","note08","note13","s_date08","s_date13","dl08","dl13","rec08","rec13","error08","error13"
0,0,"P-874","P-874","1","0.1","ウリハダカエデ",76,76.5,"P-875,874同株","","20081016",20130902,0,0,0,0,0,0
0,0,"P-875","P-874","1","0.1","ウリハダカエデ",57.9,62.3,"P-875,874同株","","20081016",20130902,0,0,0,0,0,0
0,0,"P-901","P-901","5","0.5","アカガシ",19.6,23.5,"","","20081016",20130902,0,0,0,0,0,0
0,0,"P-902","P-902","4","1","クマシデ",15.3,15.1,"","樹種要チェック","20081016",20130902,0,0,-1,-1,0,0
0,0,"P-866","P-866","3","1.5","リョウブ",39.5,39.4,"","","20081016",20130902,0,0,0,0,0,0
0,0,"P-863","P-863","9.5","2","クマシデ",23.5,24.5,"","","20081016",20130902,0,0,0,0,0,0
0,0,"P-864","P-864","7","2","アオハダ",25.3,26,"","","20081016",20130902,0,0,0,0,0,0
0,0,"P-865","P-865","6.5","2","リョウブ",23.4,22.1,"","","20081016",20130902,0,0,0,0,0,0
0,0,"P-867","P-867","5","2","ヤマツツジ",18.4,18.2,"","","20081016",20130902,0,0,0,0,0,0
0,0,"P-862","P-862","8","2.5","シキミ",20.6,21,"","","20081016",20130902,0,0,0,0,0,0
0,0,"P-871","P-871","4","2.5","シキミ",18.8,21,"","","20081016",20130902,0,0,0,0,0,0
0,0,"P-872","P-872","2.5","2.5","エゴノキ",26,25.9,"","シキミを訂正","20081016",20130902,0,0,0,0,0,0
0,0,"P-861","P-861","8","3","ミズナラ",144,148.2,"ツルアジサイ込み","ツル込み","20081016",20130902,0,0,0,0,0,0
0,0,"P-868","P-868","5.5","3","シキミ",25.8,26.2,"","","20081016",20130902,0,0,0,0,0,0
0,0,"P-860","P-860","8.5","3.5","クマシデ",33.5,NA,"","枯死","20081016",20130902,0,1,0,0,0,0
0,0,"P-869","P-869","6","3.5","アカガシ",30.3,34,"","","20081016",20130902,0,0,0,0,0,0
0,0,"P-873","P-873","0.8","3.5","シキミ",26.9,28,"","","20081016",20130902,0,0,0,0,0,0
0,0,"P-886","P-886","9.5","4","リョウブ",22.7,23.6,"","","20081016",20130902,0,0,0,0,0,0
0,0,"P-882","P-882","7","4","シキミ",17.6,20,"","","20081016",20130902,0,0,0,0,0,0
0,0,"1102","1102","1.5","4","ブナ",87,NA,"横に寝ている","枯死","20081016",20130902,0,1,0,0,0,0
0,0,"P-870","P-870","3.5","4.5","シキミ",16.1,16.4,"","","20081016",20130902,0,0,0,0,0,0
0,0,"P-893","P-893","8","5.5","アカシデ",62.2,64.6,"黄テndプ　２３９","","20081016",20130902,0,0,0,0,0,0
0,0,"P-892","P-892","9.5","6","アオダモ",41.9,43.1,"","","20081016",20130902,0,0,0,0,0,0
0,0,"P-878","P-878","6","6","イヌシデ",83,84.3,"黄テndプ135","","20081016",20130902,0,0,0,0,0,0
0,0,"P-895","P-895","2.5","6","シキミ",18.3,18.8,"","","20081016",20130902,0,0,0,0,0,0
0,0,"P-881","P-881","2","6.5","シキミ",27,27.4,"","","20081016",20130902,0,0,0,0,0,0
0,0,"P-880","P-880","9","7","アオダモ",59.1,59.5,"H50cm位置測定","H50cmで計測","20081016",20130902,0,0,0,0,0,0
0,0,"1103","1103","4.8","7","ブナ",46.4,45.3,"","健康度1","20081016",20130902,0,0,0,0,0,0
0,0,"P-883","P-883","0.2","7","シキミ",19.8,20.1,"","二股の片方つけね","20081016",20130902,0,0,0,0,0,0
0,0,"P-889","P-889","4","8.5","シキミ",23.5,23.7,"","","20081016",20130902,0,0,0,0,0,0
0,0,"P-890","P-890","6.5","9","シキミ",27.9,29,"","","20081016",20130902,0,0,0,0,0,0
0,0,"P-884","P-884","5.1","9","シキミ",35,37,"","","20081016",20130902,0,0,0,0,0,0
0,0,"P-888","P-888","3","9","シキミ",33,34.9,"","","20081016",20130902,0,0,0,0,0,0
0,0,"P-887","P-887","1.5","9.8","シキミ",37.2,35.4,"","","20081016",20130902,0,0,0,0,0,0
0,0,"P-896","P-896","7","10","イヌシデ",34.8,34.6,"黄テndプ番号なし","","20081016",20130902,0,0,0,0,0,0
0,10,"6056","6056","8","0","アカガシ",NA,28,"","タグのすぐ","20081016",20130902,0,0,-1,1,0,0
0,10,"P-648","P-648","9.5","0.2","シキミ",29.6,30.9,"","","20081016",20130902,0,0,0,0,0,0
0,10,"P-851","P-851","7.5","0.2","リョウブ",27.1,27,"","","20081016",20130902,0,0,0,0,0,0
0,10,"P-858","P-858","4.5","0.5","アオダモ",37.5,37.8,"","","20081016",20130902,0,0,0,0,0,0
0,10,"6057","6057","8","0.5","シキミ",NA,NA,"","枯死","20081016",20130902,1,2,-1,-1,0,0
0,10,"6059","6059","7.8","0.7","シキミ",NA,25.7,"","","20081016",20130902,0,0,-1,1,0,0
0,10,"P-857","P-857","5","1","シキミ",25.2,27,"","","20081016",20130902,0,0,0,0,0,0
0,10,"6058","6058","7.5","1","シキミ",NA,17.8,"","","20081016",20130902,0,0,-1,1,0,0
