#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,
#/doc,DATA CREATER,データ作成者,大久保達弘,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Takaharayama (TK-DB1).,,,,,,,,,
#,SITE NAME,サイト名,高原山,,,,,,,,,
#,PLOT NAME,調査地名,-,,,,,,,,,
#,PLOT CODE,調査区コード,TK-DB1,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,
#,,note,備考,,,,,,,,,
#,,s_data,調査日,,,,,,,,,
#/note,20090420,データ成形（石原）,,,,,,,,,,
#,,胸高直径5cm以上を調査している,,,,,,,,,,
#,,tag_no=975-->979,,,,,,,,,,
#,20090511,アカヤシオツツジ-->アカヤシオ,,,,,,,,,,
#,,シロヤシオツツジ-->シロヤシオ,,,,,,,,,,
#,,tag_no=630のmesh_ycordが空欄だったが、30と推定されたので、代入,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#/data,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh13","note08","note13","s_date08","s_date13","dl08","dl13","rec08","rec13","error08","error13"
10,0,13713,13713,2,4.9,"クマシデ",NA,18.2,"","新規加入幹",NA,20130913,0,0,-1,1,0,0
10,0,1,1,9,1.8,"サワシバ",25.8,26.9,NA,"",20080811,20130913,0,0,0,0,0,0
10,0,2,2,7.8,5,"アワブキ",23,24.3,NA,"",20080811,20130913,0,0,0,0,0,0
10,0,3,3,1.2,9.4,"イヌブナ",180.7,181,NA,"",20080811,20130913,0,0,0,0,0,0
10,0,4,3,1.5,9,"イヌブナ",59.3,60,NA,"",20080811,20130913,0,0,0,0,0,0
10,0,5,3,2.5,8.9,"イヌブナ",20.5,22.5,NA,"",20080811,20130913,0,0,0,0,0,0
10,0,6,3,1.8,8.4,"イヌブナ",26.3,36.2,NA,"",20080811,20130913,0,0,0,0,0,0
10,0,7,3,1.6,8.4,"イヌブナ",133.7,134.1,"4mの位置で幹折れ(生存)","",20080811,20130913,0,0,0,0,0,0
10,0,8,3,1.6,7.8,"イヌブナ",38,41.3,NA,"",20080811,20130913,0,0,0,0,0,0
10,0,13715,3,1.6,7.8,"イヌブナ",NA,17.6,"","新規加入幹",NA,20130913,0,0,-1,1,0,0
10,0,9,3,1.4,8.2,"イヌブナ",145.1,152.4,NA,"",20080811,20130913,0,0,0,0,0,0
10,0,13716,3,1.4,8.2,"イヌブナ",NA,16.4,"","新規加入幹",NA,20130913,0,0,-1,1,0,0
10,0,10,3,0.9,7.6,"イヌブナ",21.2,23.2,"測定位置1.40m","測定位置1.40m",20080811,20130913,0,0,0,0,0,0
10,0,11,3,1.2,9.4,"イヌブナ",24.2,27.2,NA,"",20080811,20130913,0,0,0,0,0,0
10,0,12,3,0.4,8,"イヌブナ",235,252.3,NA,"",20080811,20130913,0,0,0,0,0,0
10,0,13,3,0.5,9.6,"イヌブナ",137.7,148.4,"測定位置1.40m","測定位置1.40m",20080811,20130913,0,0,0,0,0,0
