#/log,DATA CREATED,データ作成日,20180306,,,,,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,日浦勉,,,,,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Tomakomai (TM-AT1),,,,,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,苫小牧,,,,,,,,,,,,,,,,,,,
#,PLOT NAME,調査地名,苫小牧アカエゾマツ人工林,,,,,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,TM-AT1,,,,,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,0.2ha,,,,,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,,,,,,,
#,,2007年まで周囲長30cm以下は対象外,,,,,,,,,,,,,,,,,,,,
#,,20080811,データ成形（石原）,,,,,,,,,,,,,,,,,,,
#,,20080903,面積訂正0.5-→0.2,,,,,,,,,,,,,,,,,,,
#,,20111007,2008年データを追加。,,,,,,,,,,,,,,,,,,,
#,,,タグで識別していないため、種名とgbhから個体を判断,,,,,,,,,,,,,,,,,,,
#,,,2007にいて、2008年に対応する個体がいない場合は、死亡とみなした,,,,,,,,,,,,,,,,,,,
#,,20130123,2012年度調査データ追加（鷹西・佐伯）,,,,,,,,,,,,,,,,,,,
#,,20130219,2008年度に枯死していた個体のtag_noおよびindv_noを、2012年度新規個体（132-137）と分けられるよう、ふりなおす（佐伯）。,,,,,,,,,,,,,,,,,,,
#,,,"X, Y座標を挿入（鷹西・佐伯）。　tag_no 164,165は樹種、gbhともにまだ測定値なし。",,,,,,,,,,,,,,,,,,,
#,,20171018,no60を金版脱落のためno166に変更,,,,,,,,,,,,,,,,,,,
#,,,no144を金版脱落のためno167に変更,,,,,,,,,,,,,,,,,,,
#,,,no121を金版脱落のためno172に変更,,,,,,,,,,,,,,,,,,,
#,,,no124を金版脱落のためno173に変更,,,,,,,,,,,,,,,,,,,
#,,,no2 2012調査時に以前の計測位置より下で測った可能性有。,,,,,,,,,,,,,,,,,,,
#,,,no106　2012.2017年とも成長量が多いが野帳入力ミスは無し,,,,,,,,,,,,,,,,,,,
#,,,no107　2012.2017年とも2008年の値を下回る。2012調査時に測定位置を高いところで測った可能性有。その位置にマークをつけたため2017数値も2008数値を下回る。,,,,,,,,,,,,,,,,,,,
#,,,no126　2012調査時に測定位置を間違えた可能性有。,,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh07","gbh08","gbh12","gbh17","note07","note08","note12","note17","s_date07","s_date08","s_date12","s_date17","tag_no07","tag.no08","tag.no12","tag.no17","dl07","dl08","dl12","dl17","rec07","rec08","rec12","rec17","error07","error08","error12","error17"
NA,NA,"1","1","1.438","0.774","アカエゾマツ",108.6,108.8,114,115.6,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","52","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"2","2","4.868","4.672","アカエゾマツ",103.7,105.3,120,125.2,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","101","","",NA,0,0,0,0,0,0,0,0,0,0,2,0
NA,NA,"3","3","10","1.5","アカエゾマツ",94.1,96.2,101.9,110.2,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","70","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"4","4","10.296","4.84","アカエゾマツ",80.7,81.8,85.3,90.4,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","50","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"5","5","7.752","9.093","アカエゾマツ",107.4,106.1,113.2,120.1,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","98","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"6","6","1.869","6.929","アカエゾマツ",100.8,101.4,105.5,111.6,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","116","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"7","7","2.274","15.366","アカエゾマツ",152,154.2,162.6,172.8,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","115","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"8","8","7.36","15.851","アカエゾマツ",124.2,125.1,132.2,140,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","80","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"9","9","11.176","17.727","アカエゾマツ",101.1,102.5,106.9,112.2,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","61","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"10","10","2.396","19.592","アカエゾマツ",111.8,111.3,115.6,120,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","71","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"11","11","2.951","24.116","アカエゾマツ",114.7,116.3,121.8,129.4,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","113","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"12","12","8.499","23.259","アカエゾマツ",91.1,92.4,97.5,103.5,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","57","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"13","13","8.6","28.957","アカエゾマツ",95.6,97,101.5,106.1,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","56","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"14","14","4.835","28.078","アカエゾマツ",115.2,116.5,124,132.5,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","112","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"15","15","4.235","32.726","エゾマツ",105.2,105.5,108.6,112,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","111","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"16","16","11.725","29.355","アカエゾマツ",122.4,123,127.9,134.2,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","53","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"17","17","9.443","36.342","アカエゾマツ",141.8,144.5,154,165.8,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","51","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"18","18","1.602","34.821","エゾマツ",96.4,98.1,102.8,109.4,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","110","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"19","19","3.352","37.66","アカエゾマツ",47.8,48.2,52.7,59.8,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","37","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"20","20","12.239","38.321","アカエゾマツ",93.8,95.5,99.1,104.2,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","49","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"21","21","12.187","45.202","アサダ",76.8,78.3,82,87.5,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","47","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"22","22","9.48","43.519","アカエゾマツ",30.1,30,30,30.3,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","108","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"23","23","8.99","43.059","ハリギリ",49.9,51,50.5,NA,NA,NA,NA,"d","20071105",NA,"20121016","20171018","106","","",NA,0,0,0,1,0,0,0,0,0,0,0,0
NA,NA,"24","24","8.109","44.601","ハリギリ",91.1,91.9,97.4,104.5,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","104","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"25","25","4.713","44.516","ミヤマザクラ",NA,71.6,72.3,74,NA,NA,"エゾヤマ→ミヤマ","",NA,NA,"20121016","20171018",NA,"","",NA,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,"26","26","0.929","43.846","アカエゾマツ",43.4,44.2,44,43,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","107","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"27","27","1.579","48.046","アカエゾマツ",107.3,105.7,117.5,130,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","118","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"28","28","5.355","46.985","ホオノキ",77,77.3,79,82.3,"ツル込み","ツル込","ツル込",NA,"20071105",NA,"20121016","20171018","103","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"29","29","7.753","47.703","ミズナラ",36.5,36.8,37.7,38.3,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","100","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"30","30","8.281","46.781","アズキナシ",50.5,51.5,54.5,58.2,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","102","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"31","31","11.519","49.122","エゾマツ",84.1,85,87.2,90.2,"傾斜",NA,NA,NA,"20071105",NA,"20121016","20171018","44","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"32","32","7.186","52.6","アカエゾマツ",108.6,110,119.8,133.2,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","114","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"33","33","1.954","51.293","アカエゾマツ",93.8,95.8,103,110.1,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","99","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"34","34","0.859","51.545","アサダ",NA,29.5,31.8,33.4,NA,NA,NA,NA,NA,NA,"20121016","20171018",NA,"","",NA,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,"35","35","2.258","54.518","ミズナラ",30.1,27,28.1,28.9,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","35","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"36","36","5.122","55.64","アカエゾマツ",76.1,77.8,84.5,91.5,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","97","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"37","37","9.5","55.5","シナノキ",30.5,30.7,30.4,NA,NA,"クサレ","クサレ","d","20071105",NA,"20121016","20171018","96","","",NA,0,0,0,1,0,0,0,0,0,0,0,0
NA,NA,"38","38","11.129","55.223","キハダ",34,35,37.7,41.6,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","38","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"39","39","11.927","54.229","ミズナラ",34.4,35.7,39.8,43.4,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","40","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"40","40","15.057","53.039","アズキナシ",35.6,36.3,37.8,40,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","39","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"41","41","14.071","57.884","アカエゾマツ",46.8,48,NA,NA,NA,NA,NA,"d","20071105",NA,"20121016","20171018","109","","",NA,0,0,0,1,0,0,0,0,0,0,1,0
NA,NA,"42","42","13.808","59.237","ホオノキ",57.1,58.6,65,73.1,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","33","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"43","43","12.198","57.728","ヤマモミジ",30.6,31.2,32,34.3,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","36","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"44","44","12.195","59.768","ヤマモミジ",40.4,41.4,43.1,44.1,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","31","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"45","45","6.46","58.444","シナノキ",62.5,63,65.3,69,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","94","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"46","46","3.969","61.07","シナノキ",60.5,61.2,63.1,66,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","95","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"47","47","3.515","62.034","イタヤカエデ",75.8,76.8,77.3,78.3,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","93","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"48","48","0.894","62.468","イタヤカエデ",71.1,72.3,79,85.6,NA,"同株1","同株1",NA,"20071105",NA,"20121016","20171018","90","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"49","48","0.894","63","イタヤカエデ",NA,28.9,29.1,29.8,NA,"同株1","同株1",NA,NA,NA,"20121016","20171018",NA,"","",NA,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,"50","50","1.138","66.332","ミズナラ",53.9,54.2,54.6,53.9,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","88","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"51","51","5.634","64.958","エゾマツ",NA,35.5,36.3,37.8,NA,NA,NA,NA,NA,NA,"20121016","20171018",NA,"","",NA,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,"52","52","7.416","61.948","シナノキ",45.7,46.2,46.7,50,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","92","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"53","53","9.888","63.983","ミズナラ",47.8,48,49.6,52.6,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","3","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"54","54","8.618","66.171","エゾヤマザクラ",35.2,39.5,NA,NA,NA,NA,NA,"d","20071105",NA,"20121016","20171018","45","","",NA,0,0,0,1,0,0,0,0,0,0,1,0
NA,NA,"55","55","6.864","66.271","イタヤカエデ",33,33.5,34.8,36.1,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","85","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"56","56","3.85","68.138","ミズナラ",80.2,81.2,85.8,90,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","86","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"57","57","2.599","69.671","ミズナラ",NA,17.6,27.5,27.2,NA,NA,NA,NA,NA,NA,"20121016","20171018",NA,"","",NA,0,0,0,0,-1,1,0,0,0,0,0,0
NA,NA,"58","58","2.025","74.014","アカエゾマツ",75.3,76.8,82.1,90.8,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","81","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"59","59","5.385","71.579","アカエゾマツ",64,64.6,69,76.3,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","83","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"166","60","10.523","70.083","ミズナラ",90.5,90.6,96,100.6,NA,NA,NA,"金版欠落のため60→166","20071105",NA,"20121016","20171018","78","","",166,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"61","61","11.62","66.915","アカエゾマツ",44.5,45.5,46.7,47.3,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","24","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"62","62","12.31","64.45","エゾヤマザクラ",53.6,54.6,57.5,60.8,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","26","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"63","63","13.427","64.226","アズキナシ",57.3,57.7,59.7,62.3,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","27","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"64","64","13.488","66.084","シナノキ",47.4,49,NA,NA,NA,"クサレ","クサレ","d","20071105",NA,"20121016","20171018","25","","",NA,0,0,0,1,0,0,0,0,0,0,1,0
NA,NA,"65","65","14.506","70.022","アカエゾマツ",88.1,89.6,93.5,98.7,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","23","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"66","66","15.627","71.562","ミズナラ",NA,18,NA,NA,NA,"半枯","半枯","d",NA,NA,"20121016","20171018",NA,"","",NA,0,0,0,1,-1,1,0,0,0,0,1,0
NA,NA,"67","67","11.594","72.206","アカエゾマツ",42,43,44.2,55.8,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","22","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"68","68","12.057","73.804","アカエゾマツ",72.8,74.3,79.2,86.3,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","17","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"69","69","9.958","73.761","ミズナラ",84.1,84.7,88.5,93.2,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","82","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"70","70","5.126","76.322","アカエゾマツ",124.3,125.7,134.5,147.1,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","63","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"71","71","8.615","79.125","アカエゾマツ",49.8,50.2,52.5,54.8,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","79","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"72","72","12.642","80.493","キハダ",NA,57.8,60.2,62.3,NA,NA,NA,NA,NA,NA,"20121016","20171018",NA,"","",NA,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,"73","73","13.572","79.342","アズキナシ",35.3,34.8,NA,NA,NA,"半枯","半枯","d","20071105",NA,"20121016","20171018","14","","",NA,0,0,0,1,0,0,0,0,0,0,1,0
NA,NA,"74","74","14.686","78.114","アズキナシ",34.1,34.3,34.3,34.7,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","12","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"75","75","13.63","82.521","ミヤマザクラ",39.4,40,39.8,40.5,NA,NA,NA,NA,"20071105",NA,"20121016","20171018","13","","",NA,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"76","76","13.088","83.612","ホオノキ",NA,29.2,29.2,30.1,NA,NA,NA,NA,NA,NA,"20121016","20171018",NA,"","",NA,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,"77","77","10.503","84.234","チョウセンゴヨウ",NA,24.7,28.6,33.6,NA,NA,NA,NA,NA,NA,"20121016","20171018",NA,"","",NA,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,"78","78","8.132","82.345","ヤマモミジ",NA,26,28.3,30.8,NA,NA,NA,NA,NA,NA,"20121016","20171018",NA,"","",NA,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,"79","79","7.551","82.634","ミズナラ",NA,91.5,96,100,NA,NA,NA,NA,NA,NA,"20121016","20171018",NA,"","",NA,0,0,0,0,0,0,0,0,1,0,0,0
