#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,日浦勉,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Tomakomai (TM-AT2）.,,,,,,,,,,,,,,
#,SITE NAME,サイト名,苫小牧,,,,,,,,,,,,,,
#,PLOT NAME,調査地名,苫小牧カラマツ人工林,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,TM-AT2,,,,,,,,,,,,,,
#,PLOT SIZE,面積,0.2ha,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,
#/note,20110113,"2008,2010データで新たにファイルを生成",,,,,,,,,,,,,,,
#,,2005年ではtagがないため、比較不可能、2005年はTM-AT2-2005-ver2.xlsを参照,,,,,,,,,,,,,,,
#,,1 tag_no= 618 のgbhは測定間違いの可能性あり-->08をnd（要確認）,,,,,,,,,,,,,,,
#,,2 tag_no= 655 のgbhは測定間違いの可能性あり-->08をnd（要確認）,,,,,,,,,,,,,,,
#,,3 tag_no= 656 のgbhは測定間違いの可能性あり-->08をnd（要確認）,,,,,,,,,,,,,,,
#,,4 tag_no= 673 のgbhは測定間違いの可能性あり-->10をnd（要確認）,,,,,,,,,,,,,,,
#,20110212,座標データを追加,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,20180322,データを修正　五十嵐,,,,,,,,,,,,,,,
#,,tag no=834 gbh15は前回より計測値が大きく下回る。測定間違い、書き間違いの可能性有。15をndとする,,,,,,,,,,,,,,,
#,,tag ne=872 gbh15は前回より計測値が大きく下回る。測定間違い、書き間違いの可能性有。15をndとする,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh10","gbh15","note08","note10","note15","s_date05","s_date10","s_date15","tag_no_2010","indv_no_2010","dl08","dl10","dl15","rec08","rec10","rec15","error08","error10","error15"
"0","0",889,NA,"0.26","0.138","エゾイタヤ",33.4,34.2,38.8,NA,NA,"",20080000,20101013,20151015,601,601,0,0,0,0,0,0,0,0,0
"0","0",888,NA,"1.258","3.733","カラマツ",77.3,78.3,80.3,NA,NA,"",20080000,20101013,20151015,602,602,0,0,0,0,0,0,0,0,0
"0","0",887,NA,"3.295","6.438","カラマツ",123.4,126.7,133.5,NA,NA,"",20080000,20101013,20151015,603,603,0,0,0,0,0,0,0,0,0
"0","0",886,NA,"3.09","8.615","アオダモ",21.2,22,23.8,NA,"イタヤ→アオダモ","シカ食害",20080000,20101013,20151015,604,604,0,0,0,0,0,0,0,0,0
"0","0",885,NA,"4.396","8.366","コシアブラ",21.8,24.7,32,"同株1","同株1","同株25",20080000,20101013,20151015,605,605,0,0,0,0,0,0,0,0,0
"0","0",884,NA,"4.396","8.366","コシアブラ",16,17.8,22.4,"同株1","同株1","同株25",20080000,20101013,20151015,606,605,0,0,0,0,0,0,0,0,0
"0","0",883,NA,"6.006","9.34","エゾヤマザクラ",18.8,18.8,19.2,NA,NA,"",20080000,20101013,20151015,607,607,0,0,0,0,0,0,0,0,0
"0","0",882,NA,"8.381","8.638","カラマツ",83.6,85,87.2,NA,NA,"",20080000,20101013,20151015,608,608,0,0,0,0,0,0,0,0,0
"0","0",881,NA,"8.48","6.026","エゾイタヤ",19.4,20.4,23.3,NA,NA,"",20080000,20101013,20151015,609,609,0,0,0,0,0,0,0,0,0
"0","0",880,NA,"9.145","4.539","カラマツ",103.9,105.9,110.2,NA,NA,"",20080000,20101013,20151015,610,610,0,0,0,0,0,0,0,0,0
"0","0",879,NA,"6.716","3.265","ヤマウルシ",16,16.8,17.8,NA,NA,"マタタビ→ヤマウルシ",20080000,20101013,20151015,611,611,0,0,0,0,0,0,0,0,0
"0","0",878,NA,"7.766","1.708","カラマツ",97.2,99.2,101.5,"傾","傾","傾斜木",20080000,20101013,20151015,612,612,0,0,0,0,0,0,0,0,0
"10","0",877,NA,"2.003","2.333","エゾイタヤ",17.7,18.2,20.1,NA,NA,"",20080000,20101013,20151015,613,613,0,0,0,0,0,0,0,0,0
"10","0",876,NA,"2.901","4.714","カラマツ",87.4,89,94.2,NA,NA,"",20080000,20101013,20151015,614,614,0,0,0,0,0,0,0,0,0
"10","0",875,NA,"4.62","7.076","カラマツ",75.5,77.2,80.8,"傾","傾","傾斜木",20080000,20101013,20151015,615,615,0,0,0,0,0,0,0,0,0
"0","0",874,NA,"9.119","9.371","ミヤマザクラ",24.8,25.2,NA,NA,NA,"2015枯",20080000,20101013,20151015,616,616,0,0,1,0,0,0,0,0,0
"10","10",873,NA,"2.228","0.834","アズキナシ",18,19.2,23.3,NA,NA,"",20080000,20101013,20151015,617,617,0,0,0,0,0,0,0,0,0
"10","0",872,NA,"5.842","9.851","カラマツ",76.7,89.2,83.8,NA,NA,"",20080000,20101013,20151015,618,618,0,0,0,0,0,0,1,0,1
"10","0",871,NA,"7.222","5.74","キハダ",24.4,24.7,26.4,NA,NA,"",20080000,20101013,20151015,619,619,0,0,0,0,0,0,0,0,0
"10","0",870,NA,"5.195","2.492","カラマツ",104.4,107.3,114.3,NA,NA,"",20080000,20101013,20151015,620,620,0,0,0,0,0,0,0,0,0
"10","0",869,NA,"6.984","1.729","ヤマグワ",26.3,27.7,31.8,NA,NA,"同株23",20080000,20101013,20151015,621,621,0,0,0,0,0,0,0,0,0
"20","0",868,NA,"2.093","0.711","カラマツ",91.1,92.5,95.8,"傾","傾","傾斜木",20080000,20101013,20151015,622,622,0,0,0,0,0,0,0,0,0
"20","0",867,NA,"0.538","5.446","ミズナラ",19.8,20.5,22.1,NA,NA,"",20080000,20101013,20151015,623,623,0,0,0,0,0,0,0,0,0
"20","0",866,NA,"3.391","5.049","アズキナシ",28.8,30.2,34.1,NA,NA,"",20080000,20101013,20151015,624,624,0,0,0,0,0,0,0,0,0
"10","0",865,NA,"9.69","8.271","カラマツ",97.3,99.3,104,NA,NA,"",20080000,20101013,20151015,625,625,0,0,0,0,0,0,0,0,0
"20","0",864,NA,"6.029","8.022","ミヤマザクラ",24,25.8,28.1,NA,NA,"",20080000,20101013,20151015,626,626,0,0,0,0,0,0,0,0,0
"20","0",863,NA,"6.68","9.149","カラマツ",90.2,90.7,92.2,NA,NA,"",20080000,20101013,20151015,627,627,0,0,0,0,0,0,0,0,0
"20","0",862,NA,"5.151","9.803","コシアブラ",17.5,19.5,27,"同株2","同株2","同株22",20080000,20101013,20151015,628,628,0,0,0,0,0,0,0,0,0
"20","0",861,NA,"5.151","9.803","コシアブラ",17.5,19.8,27,"同株2","同株2","同株22",20080000,20101013,20151015,629,628,0,0,0,0,0,0,0,0,0
"20","0",860,NA,"6.386","1.215","カラマツ",91.8,92.8,96,"同株3",NA,"",20080000,20101013,20151015,630,630,0,0,0,0,0,0,0,0,0
"20","0",859,NA,"8.059","0.498","ミヤマザクラ",29.3,30.3,35.5,NA,NA,"",20080000,20101013,20151015,631,631,0,0,0,0,0,0,0,0,0
"20","0",858,NA,"9.512","3.184","ミヤマザクラ",18.7,19.2,19.5,NA,NA,"",20080000,20101013,20151015,632,632,0,0,0,0,0,0,0,0,0
"30","0",857,NA,"0.02","9.434","カラマツ",105.8,107.2,109.8,NA,NA,"",20080000,20101013,20151015,633,633,0,0,0,0,0,0,0,0,0
"30","10",856,NA,"1.262","0.715","コシアブラ",18.8,20.9,27,NA,NA,"",20080000,20101013,20151015,634,634,0,0,0,0,0,0,0,0,0
"30","0",855,NA,"4.132","9.959","コシアブラ",18.2,21,30,NA,NA,"",20080000,20101013,20151015,635,635,0,0,0,0,0,0,0,0,0
"30","0",854,NA,"3.593","8.505","ミヤマザクラ",23.7,26.8,30.3,"同株3","同株3","同株21",20080000,20101013,20151015,636,636,0,0,0,0,0,0,0,0,0
"30","0",853,NA,"3.593","8.505","ミヤマザクラ",17.4,17.8,18,"同株3","同株3","同株21",20080000,20101013,20151015,637,636,0,0,0,0,0,0,0,0,0
"30","0",852,NA,"3.593","8.505","ミヤマザクラ",19.1,21.5,27.1,"同株3","同株3","同株21",20080000,20101013,20151015,638,636,0,0,0,0,0,0,0,0,0
"30","0",851,NA,"1.986","2.204","ミヤマザクラ",15.2,15.5,17.4,"同株4","同株12","同株20",20080000,20101013,20151015,639,639,0,0,0,-1,-1,1,0,0,0
"30","0",850,NA,"1.986","2.204","ミヤマザクラ",16.1,16.5,17.9,NA,"同株12","同株20",20080000,20101013,20151015,640,639,0,0,0,0,0,0,0,0,0
"30","0",849,NA,"4.454","2.679","カラマツ",108.1,110.3,115.3,NA,NA,"T23号根返り",20080000,20101013,20151015,641,641,0,0,0,0,0,0,0,0,0
"30","0",848,NA,"6.54","4.445","アズキナシ",22,23.5,28,NA,NA,"",20080000,20101013,20151015,642,642,0,0,0,0,0,0,0,0,0
