#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,日浦勉,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Tomakomai (TM-AT3）.,,,,,,,,,,,,,
#,SITE NAME,サイト名,苫小牧,,,,,,,,,,,,,
#,PLOT NAME,調査地名,苫小牧トドマツ人工林,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,TM-AT3,,,,,,,,,,,,,
#,PLOT SIZE,面積,0.225ha,50×45,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,
#,,stem_id,幹ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,
#,,indv_id,個体ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,,
#,,2007年まで周囲長30cm以下は対象外,,,,,,,,,,,,,,
#/log,20120124,2011年データを追加,,,,,,,,,,,,,,
#,,幹座標を追加（元データのXとYは入れ替えた）,,,,,,,,,,,,,,
#,,tag_no = 325 475 516 測定間違いの可能性あり　-> 入力間違いではない　gbh11をnd,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#/data,,20110809,2008年データからデータ作成（2006年データはタグがなかったため別シートに）,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh11","note08","note11","s_date08","s_date11","stem_id","indv_id","sort","code","dl08","dl11","rec08","rec11","error08","error11"
NA,NA,201,201,-16.612,43.937,"トドマツ",92,95.6,NA,NA,NA,NA,"2008_201","2008_201",1,2,0,0,0,0,0,0
NA,NA,202,202,-15.61,41.831,"トドマツ",61.1,61.5,NA,NA,NA,NA,"2008_202","2008_202",2,2,0,0,0,0,0,0
NA,NA,203,203,-14.081,38.376,"トドマツ",71.2,74.4,NA,NA,NA,NA,"2008_203","2008_203",3,2,0,0,0,0,0,0
NA,NA,204,204,-12.038,38.677,"トドマツ",72.5,74.9,NA,NA,NA,NA,"2008_204","2008_204",4,2,0,0,0,0,0,0
NA,NA,205,205,-13.013,40.982,"トドマツ",77.1,80.6,NA,NA,NA,NA,"2008_205","2008_205",5,2,0,0,0,0,0,0
NA,NA,206,206,-14.627,44.294,"トドマツ",45.7,47.2,NA,NA,NA,NA,"2008_206","2008_206",6,2,0,0,0,0,0,0
NA,NA,207,207,-12.181,43.67,"トドマツ",51.6,51.8,NA,NA,NA,NA,"2008_207","2008_207",7,2,0,0,0,0,0,0
NA,NA,208,208,-10.701,40.364,"トドマツ",42.8,NA,NA,NA,NA,NA,"2008_208","2008_208",8,2,0,1,0,0,0,0
NA,NA,209,209,-9.149,41.873,"トドマツ",67,69.3,NA,NA,NA,NA,"2008_209","2008_209",9,2,0,0,0,0,0,0
NA,NA,210,210,-10.046,43.912,"トドマツ",80,82.4,NA,NA,NA,NA,"2008_210","2008_210",10,2,0,0,0,0,0,0
NA,NA,211,211,-7.135,42.168,"トドマツ",64.2,65.5,NA,NA,NA,NA,"2008_211","2008_211",11,2,0,0,0,0,0,0
NA,NA,212,212,-5.221,42.142,"トドマツ",63.1,66.3,NA,NA,NA,NA,"2008_212","2008_212",12,2,0,0,0,0,0,0
NA,NA,213,213,-3.745,44.077,"トドマツ",56,58.5,NA,NA,NA,NA,"2008_213","2008_213",13,2,0,0,0,0,0,0
NA,NA,214,214,-2.693,41.884,"トドマツ",60.2,61.5,NA,NA,NA,NA,"2008_214","2008_214",14,2,0,0,0,0,0,0
NA,NA,215,215,-3.53,38.852,"トドマツ",73.2,77,NA,NA,NA,NA,"2008_215","2008_215",15,2,0,0,0,0,0,0
NA,NA,216,216,-6.068,39.702,"トドマツ",69.7,72.7,NA,NA,NA,NA,"2008_216","2008_216",16,2,0,0,0,0,0,0
NA,NA,217,217,-7.882,39.544,"トドマツ",79,81.1,NA,NA,NA,NA,"2008_217","2008_217",17,2,0,0,0,0,0,0
NA,NA,218,218,-9.577,38.265,"トドマツ",63.2,62.8,NA,NA,NA,NA,"2008_218","2008_218",18,2,0,0,0,0,0,0
NA,NA,219,219,-1.736,39.253,"トドマツ",41.7,42,NA,NA,NA,NA,"2008_219","2008_219",19,2,0,0,0,0,0,0
NA,NA,220,220,-0.357,41.995,"トドマツ",65.7,69.5,NA,NA,NA,NA,"2008_220","2008_220",20,2,0,0,0,0,0,0
NA,NA,221,221,0.012,39.901,"トドマツ",36.7,36.8,NA,NA,NA,NA,"2008_221","2008_221",21,2,0,0,0,0,0,0
NA,NA,222,222,1.263,41.919,"トドマツ",55.5,57.7,NA,NA,NA,NA,"2008_222","2008_222",22,2,0,0,0,0,0,0
NA,NA,223,223,0.11,43.416,"ホオノキ",28.6,29.1,NA,NA,NA,NA,"2008_223","2008_223",23,35,0,0,0,0,0,0
NA,NA,224,224,2.774,43.53,"トドマツ",62.2,63.1,NA,NA,NA,NA,"2008_224","2008_224",24,2,0,0,0,0,0,0
NA,NA,225,225,2.988,43.09,"ホオノキ",36.2,37.2,NA,NA,NA,NA,"2008_225","2008_225",25,35,0,0,0,0,0,0
NA,NA,226,226,1.996,39.732,"トドマツ",56.6,59.1,NA,NA,NA,NA,"2008_226","2008_226",26,2,0,0,0,0,0,0
NA,NA,227,227,4.303,40.327,"トドマツ",81.3,86.5,NA,NA,NA,NA,"2008_227","2008_227",27,2,0,0,0,0,0,0
NA,NA,228,228,6.595,40.628,"バッコヤナギ",39.2,39.6,NA,NA,NA,NA,"2008_228","2008_228",28,21,0,0,0,0,0,0
NA,NA,229,229,5.408,42.861,"トドマツ",57.8,59.4,NA,NA,NA,NA,"2008_229","2008_229",29,2,0,0,0,0,0,0
NA,NA,230,230,7.143,43.188,"トドマツ",83,87.3,NA,NA,NA,NA,"2008_230","2008_230",30,2,0,0,0,0,0,0
NA,NA,231,231,9.468,43.015,"トドマツ",58.5,59.3,NA,NA,NA,NA,"2008_231","2008_231",31,2,0,0,0,0,0,0
NA,NA,232,232,10.345,41.049,"トドマツ",54.3,55.8,NA,NA,NA,NA,"2008_232","2008_232",32,2,0,0,0,0,0,0
NA,NA,233,233,12.624,40.274,"トドマツ",43,43.6,NA,NA,NA,NA,"2008_233","2008_233",33,2,0,0,0,0,0,0
NA,NA,234,234,13.569,42.857,"トドマツ",68.5,72,NA,NA,NA,NA,"2008_234","2008_234",34,2,0,0,0,0,0,0
NA,NA,235,235,14.52,40.302,"トドマツ",50.2,52.5,NA,NA,NA,NA,"2008_235","2008_235",35,2,0,0,0,0,0,0
NA,NA,236,236,16.656,40.847,"トドマツ",77.8,82.6,NA,NA,NA,NA,"2008_236","2008_236",36,2,0,0,0,0,0,0
NA,NA,237,237,18.247,41.961,"トドマツ",72.5,75.3,NA,NA,NA,NA,"2008_237","2008_237",37,2,0,0,0,0,0,0
NA,NA,238,238,20.801,40.532,"トドマツ",71.2,75.2,NA,NA,NA,NA,"2008_238","2008_238",38,2,0,0,0,0,0,0
NA,NA,239,239,22.552,41.043,"ホオノキ",45.2,44.5,NA,NA,NA,NA,"2008_239","2008_239",39,35,0,0,0,0,0,0
NA,NA,240,240,22.965,41.983,"ホオノキ",27.5,27.3,NA,NA,NA,NA,"2008_240","2008_240",40,35,0,0,0,0,0,0
NA,NA,241,241,24.861,41.561,"トドマツ",69.2,69.6,NA,NA,NA,NA,"2008_241","2008_241",41,2,0,0,0,0,0,0
NA,NA,567,567,24.311,40.054,"ホオノキ",NA,NA,NA,NA,NA,NA,"2011_567","2011_567",42,35,2,2,0,0,0,0
NA,NA,242,242,26.338,41.362,"トドマツ",49.6,51.7,NA,NA,NA,NA,"2008_242","2008_242",43,2,0,0,0,0,0,0
NA,NA,243,243,28.335,42.776,"ホオノキ",26.5,26.5,NA,NA,NA,NA,"2008_243","2008_243",44,35,0,0,0,0,0,0
NA,NA,244,244,28.319,40.396,"ホオノキ",32.6,34.9,"同株1","同株１",NA,NA,"2008_244","2008_244",45,35,0,0,0,0,0,0
NA,NA,245,244,NA,NA,"ホオノキ",15.8,25.6,"同株1","同株１",NA,NA,"2008_245","2008_244",46,35,0,0,0,0,0,0
NA,NA,246,246,29.48,39.652,"トドマツ",58,62,NA,NA,NA,NA,"2008_246","2008_246",47,2,0,0,0,0,0,0
NA,NA,247,247,31.44,39.34,"トドマツ",65.1,68.8,NA,NA,NA,NA,"2008_247","2008_247",48,2,0,0,0,0,0,0
NA,NA,248,248,32.452,37.237,"トドマツ",40.7,42.4,NA,NA,NA,NA,"2008_248","2008_248",49,2,0,0,0,0,0,0
NA,NA,249,249,31.014,36.299,"トドマツ",69.9,73.6,NA,NA,NA,NA,"2008_249","2008_249",50,2,0,0,0,0,0,0
