#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,日浦勉,,,,,,,,,,,,
#/doc,DATA TITLE,Temporal Change in Tree Girth at Breast Height at Tomakomai (TM-DB3). ,,,,,,,,,,,,,
#,SITE NAME,サイト名,苫小牧,,,,,,,,,,,,
#,PLOT NAME,調査区名,苫小牧二次林308林班,,,,,,,,,,,,
#,PLOT CODE,調査区コード,TM-DB3,,,,,,,,,,,,
#,PLOT SIZE,面積,0.81ha,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,
#/note,,gbh（t+1）-gbh(t)>6　もしくは<−3は測定間違いとする,,,,,,,,,,,,,
#,20100310,データ成形（石原正恵）,,,,,,,,,,,,,
#,,樹木位置は2010年度に計測予定,,,,,,,,,,,,,
#,,"note09.1, note09.2 and note09.3 referes to color, alphabet, number of old tag.",,,,,,,,,,,,,
#,20101102,mesh番号をmesh_originalに,,,,,,,,,,,,,
#,20110212,座標データを追加,,,,,,,,,,,,,
#,20150201,"stem_xcord_original, stem_ycord_originalが0未満、90以上のデータを削除。",,,,,,,,,,,,,
#,,"tag no=1006,1007統合のため　1006のgbh14にcdを入力し、1007に「nd」を入力",,,,,,,,,,,,,
#,20180322,データ修正　五十嵐,,,,,,,,,,,,,
#,,"tag no=1006,1007統合のため　1006のgbh14にcdを入力し、1007に「nd」を入力",,,,,,,,,,,,,
#,,tag no=1299 gbh14が前回の計測値を大きく下回る。計測間違いまたは、記入間違いが考えられる。14をndとする,,,,,,,,,,,,,
#,,tag no=1599 gbh14が前回の計測値を大きく下回る。計測間違いまたは、記入間違いが考えられる。14をndとする,,,,,,,,,,,,,
#,,tag no=1619 gbh14が前回の計測値を大きく下回る。計測間違いまたは、記入間違いが考えられる。14をndとする,,,,,,,,,,,,,
#,,tag no=1673 gbh14が前回の計測値を大きく下回る。計測間違いまたは、記入間違いが考えられる。14をndとする,,,,,,,,,,,,,
#,,tag no=1728 gbh14が前回の計測値を大きく下回る。計測間違いまたは、記入間違いが考えられる。14をndとする,,,,,,,,,,,,,
#,,tag no=765 gbh14が前回の計測値を大きく下回る。計測間違いまたは、記入間違いが考えられる。14をndとする,,,,,,,,,,,,,
#,,tag no=85 半枯損のため樹皮がはがれたのではないかと思われる。14をndとする,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh09","gbh14","s_date09","s_date14","note09","note14","mesh_original","stem_xcord_original","stem_ycord_original","dl09","dl14","rec09","rec14","error09","error14"
"0","0",14,14,"8.864","0.215","ミズナラ",71.3,80,20091014,20141028,NA,NA,"A",8.864,0.215,0,0,0,0,0,0
"0","0",12,12,"6.233","2.677","ミズナラ",98.5,103.8,20091014,20141028,NA,NA,"A",6.233,2.677,0,0,0,0,0,0
"0","0",13,13,"6.233","2.677","ヤマモミジ",32.2,33.8,20091014,20141028,NA,NA,"A",6.233,2.677,0,0,0,0,0,0
"0","0",3,3,"2.69","3.618","ミズナラ",110.2,117.3,20091014,20141028,NA,NA,"A",2.69,3.618,0,0,0,0,0,0
"0","0",11,11,"4.389","4.103","コシアブラ",18.7,21,20091014,20141028,NA,NA,"A",4.389,4.103,0,0,0,0,0,0
"0","0",16,16,"8.66","4.672","イタヤカエデ",27,26.9,20091014,20141028,NA,NA,"A",8.66,4.672,0,0,0,0,0,0
"0","0",17,17,"9.071","5.424","ミズナラ",74.3,83.3,20091014,20141028,NA,NA,"A",9.071,5.424,0,0,0,0,0,0
"0","0",9,9,"4.211","8.456","ホオノキ",17.2,18.9,20091014,20141028,NA,NA,"A",4.211,8.456,0,0,0,0,0,0
"0","0",1,1,"0.805","2.44","エゾヤマザクラ",43.5,NA,20091014,20141028,"角杭1","枯死","A",0.805,2.44,0,1,0,0,0,0
"0","0",2,2,"0.25","4.303","アオダモ",52.2,NA,20091014,20141028,NA,"枯死","A",0.25,4.303,0,1,0,0,0,0
"0","0",18,18,"9.766","6.831","エゾヤマザクラ",30.4,NA,20091014,20141028,NA,"枯死","A",9.766,6.831,0,1,0,0,0,0
"0","0",19,19,"8.906","8.454","ミズナラ",23.3,NA,20091014,20141028,NA,"枯死","A",8.906,8.454,0,1,0,0,0,0
"0","0",10,10,"6.155","8.541","ヤマグワ",17.3,NA,20091014,20141028,NA,"枯死","A",6.155,8.541,0,1,0,0,0,0
"0","10",4,4,"1.71","0.595","エゾヤマザクラ",54.7,57.3,20091014,20141028,NA,NA,"A",1.71,10.595,0,0,0,0,0,0
"0","10",8,8,"3.318","1.259","ホオノキ",85.5,88.6,20091014,20141028,NA,NA,"A",3.318,11.259,0,0,0,0,0,0
"0","10",5,5,"0.25","1.598","ヤマモミジ",20,20.7,20091014,20141028,NA,NA,"A",0.25,11.598,0,0,0,0,0,0
"0","10",6,6,"1.335","3.826","ミズキ",35.2,34.3,20091014,20141028,NA,NA,"A",1.335,13.826,0,0,0,0,0,0
"0","10",7,7,"3.94","4.42","エゾヤマザクラ",45.8,46.4,20091014,20141028,NA,NA,"A",3.94,14.42,0,0,0,0,0,0
"0","10",22,22,"5.99","4.688","ミズナラ",51.1,55.4,20091014,20141028,NA,NA,"A",5.99,14.688,0,0,0,0,0,0
"0","10",23,23,"4.47","5.116","ヤマモミジ",33,32.7,20091014,20141028,NA,NA,"A",4.47,15.116,0,0,0,0,0,0
"0","10",25,25,"1.371","6.249","エゾヤマザクラ",31.6,31.7,20091014,20141028,NA,NA,"A",1.371,16.249,0,0,0,0,0,0
"0","10",31,31,"9.234","7.391","ミズナラ",50.2,53.2,20091014,20141028,NA,NA,"A",9.234,17.391,0,0,0,0,0,0
"0","10",200,200,"2.747","8.414","ミズナラ",70.3,75.2,20091014,20141028,NA,NA,"A",2.747,18.414,0,0,0,0,0,0
"0","10",28,28,"0.65","9.795","エゾヤマザクラ",46,46.1,20091014,20141028,NA,NA,"A",0.65,19.795,0,0,0,0,0,0
"0","10",26,26,"1.507","6.447","アオダモ",18.2,NA,20091014,20141028,NA,"枯死","A",1.507,16.447,0,1,0,0,0,0
"0","10",24,24,"3.813","6.966","マユミ",16.7,NA,20091014,20141028,NA,"枯死","A",3.813,16.966,0,1,0,0,0,0
"0","10",30,30,"5.661","9.261","シナノキ",15.5,NA,20091014,20141028,NA,"枯死","A",5.661,19.261,0,1,-1,-1,0,0
"0","10",311,311,"5.1","1","アズキナシ",NA,15.9,20091014,20141028,NA,"新規","A",5.1,11,0,0,-1,1,0,0
"0","10",20,20,"7.503","0.32","エゾヤマザクラ",57.2,57.4,20091014,20141028,"同株","同株","A",7.503,10.32,0,0,0,0,0,0
"0","10",21,20,"7.503","0.32","エゾヤマザクラ",63.5,63.8,20091014,20141028,"同株","同株","A",7.503,10.32,0,0,0,0,0,0
"0","10",33,33,"9.025","3.52","ホオノキ",19,20.3,20091014,20141028,NA,"同株","A",9.025,13.52,0,0,0,0,0,0
"0","10",34,34,"9.025","3.52","ホオノキ",28.2,28.5,20091014,20141028,NA,"同株","A",9.025,13.52,0,0,0,0,0,0
"0","10",35,35,"8.187","3.623","ミズナラ",54.1,56.3,20091014,20141028,NA,"同株","A",8.187,13.623,0,0,0,0,0,0
"0","10",36,36,"8.187","3.623","ミズナラ",52,53.3,20091014,20141028,NA,"同株","A",8.187,13.623,0,0,0,0,0,0
"0","20",63,63,"9.101","0.015","シラカンバ",69.7,74.3,20091014,20141028,NA,NA,"A",9.101,20.015,0,0,0,0,0,0
"0","20",199,199,"6.829","1.173","ヤマモミジ",16.4,19.2,20091014,20141028,NA,NA,"A",6.829,21.173,0,0,0,0,0,0
"0","20",198,198,"5.771","1.927","イタヤカエデ",65.4,66.9,20091014,20141028,"同株",NA,"A",5.771,21.927,0,0,0,0,0,0
"0","20",205,205,"0.195","3.686","アオダモ",17.9,17.5,20091014,20141028,NA,NA,"A",0.195,23.686,0,0,0,0,0,0
"0","20",196,196,"8.02","5.607","アズキナシ",16.2,19.1,20091014,20141028,NA,NA,"A",8.02,25.607,0,0,0,0,0,0
