#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,日浦勉,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Tomakomai (TM-DB4).,,,,,,,,,,,,,
#,SITE NAME,サイト名,苫小牧,,,,,,,,,,,,,
#,PLOT NAME,調査地名,苫小牧二次林208林班,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,TM-DB4,,,,,,,,,,,,,
#,PLOT SIZE,面積,0.45ha,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,
#/note,20070426,Data of 2006 was arranged.mesh cordinates are wrong.,,,,,,,,,,,,,,
#,20080716,エゾヤマザクラ＞オオヤマザクラ、ベニイタヤ＞アカイタヤ,,,,,,,,,,,,,,
#,20090522,オオヤマザクラ-->エゾヤマザクラ、アカイタヤ-->ベニイタヤ,,,,,,,,,,,,,,
#,20101102,meshを座標系に変換、originalのmesh番号を別の列に,,,,,,,,,,,,,,
#,20110113,2010年データと差し替え,,,,,,,,,,,,,,
#,,区画間でtag重複多数->(mesh_xcord)-(mesh_ycord)-(tag_no),,,,,,,,,,,,,,
#,20110127,"新タグnaは""05-(旧タグ)""とした",,,,,,,,,,,,,,
#,,1 tag_no= B4-512 のgbhは測定間違いの可能性あり-->gbh10をndに（要確認）,,,,,,,,,,,,,,
#,,4  tag_no= C7-10 のgbhは測定間違いの可能性あり-->gbh10をndに（要確認）,,,,,,,,,,,,,,
#,,5 tag_no= D0-809 のgbhは測定間違いの可能性あり-->gbh10をndに（要確認）,,,,,,,,,,,,,,
#,,6 tag_no= E8-455 のgbhは測定間違いの可能性あり-->gbh10をndに（要確認）,,,,,,,,,,,,,,
#,20110126,幹座標データ追加、タグ番号の修正、stem_idの作成,,,,,,,,,,,,,,
#,20170622,tag_noがNAの個体はデータの整理上、temp1-17を付与した（日野）,,,,,,,,,,,,,,
#,,gbh10で死亡した個体でindv_noが欠測のtemp1~17は、追跡不可能なためtag_noをそのまま入力,,,,,,,,,,,,,,
#,20180322,データ修正　五十嵐,,,,,,,,,,,,,,
#,,"tag.no=1097 gbh15, セルの中身が空白→過去の野帳を確認したところ、1097は存在しない。501は同樹種、同サイズなので座標を確認したところ同位置だった。入力ミスと思われる。Tagno501に変更",,,,,,,,,,,,,,
#,,"tag.no=1190 , タグ番号の重複→野帳を確認したところヤマモミジ「gbh15 18.6」はtag no=1191だった。修正した",,,,,,,,,,,,,,
#,,"tag.no=1401 gbh15, セルの中身が空白→2010年に1401→1151に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=1402 gbh15, セルの中身が空白→2010年に1402→1152に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=1403 gbh15, セルの中身が空白→2010年に1403→1153に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=1404 gbh15, セルの中身が空白→2010年に1404→1154に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=1405 gbh15, セルの中身が空白→2010年に1405→1155に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=1406 gbh15, セルの中身が空白→2010年に1406→1156に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=1407 gbh15, セルの中身が空白→2010年に1407→1157に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=1408 gbh15, セルの中身が空白→2010年に1408→1158に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=1409 gbh15, セルの中身が空白→2010年に1409→1159に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=1410 gbh15, セルの中身が空白→2010年に1410→1160に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=1411 gbh15, セルの中身が空白→2010年に1411→1161に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=1412 gbh15, セルの中身が空白→2010年に1412→1162に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=1413 gbh15, セルの中身が空白→2010年に1413→1163に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=1414 gbh15, セルの中身が空白→2010年に1414→1164に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=1415 gbh15, セルの中身が空白→2010年に1415→1165に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=1416 gbh15, セルの中身が空白→2010年に1416→1167に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=1417 gbh15, セルの中身が空白→2010年に1417→1168に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=1418 gbh15, セルの中身が空白→2010年に1418→1166に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=1419 gbh15, セルの中身が空白→2010年に1419→1169に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=1420 gbh15, セルの中身が空白→2010年に1420→1170に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=1421 gbh15, セルの中身が空白→2010年に1421→1171に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=1422 gbh15, セルの中身が空白→2010年に1422→1172に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=1423 gbh15, セルの中身が空白→2010年に1423→1173に変更していた。Tagnoを修正するとともにgbh15を入力した",,,,,,,,,,,,,,
#,,"tag.no=253と255 キタコブシ と ミズナラ, 同株だが樹種が異なる→tagno 252.253が同株だったのでindvno を252とした。Tagno254.255が同株だったのでindvnoを254にした。",,,,,,,,,,,,,,
#,,"tag.no=671と680 シラカンバ と バッコヤナギ, 同株だが樹種が異なる→tagno 679.680が同株だったのでindvnoを679にした。",,,,,,,,,,,,,,
#,,"tag.no=682と684と685と689と690と693と694と695 シラカンバ と ミヤマザクラ, 同株だが樹種が異なる→tagno684.685が683と同株なのでをindvno683にした。Tagno689.690が688の同株なのでinvnno688にした。Tagno693.694.695が692と同株なのでindvno692にした。",,,,,,,,,,,,,,
#,,"tag.no=temp2 gbh15, セルの中身が空白→野帳を確認したところ15年に枯れていた。「ｄ」とする",,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh05","gbh10","gbh15","note05","note10","note15","s_date05","s_date10","s_date15","mesh_original","dl05","dl10","dl15","rec05","rec10","rec15","error05","error10","error15"
0,0,"201","201","2.769","0.913","シラカンバ",37.2,41.4,44.4,"同株1","同株1","","20050915",20101013,20151101,"A0",0,0,0,0,0,0,0,0,0
0,0,"202","201","2.769","0.913","シラカンバ",17.9,18.8,NA,"同株1","同株1","2015枯　","20050915",20101013,20151101,"A0",0,0,1,0,0,0,0,0,0
0,0,"190","190","4.85","0.056","キハダ",NA,15.2,15.8,NA,"new","",NA,20101013,20151101,"A0",0,0,0,-1,-1,1,0,0,0
0,0,"191","191","4.204","2.353","キハダ",NA,16.2,17.4,NA,"new","",NA,20101013,20151101,"A0",0,0,0,-1,1,0,0,0,0
0,0,"203","203","7.036","1.928","シラカンバ",38.6,43.6,47.7,NA,NA,"","20050915",20101013,20151101,"A0",0,0,0,0,0,0,0,0,0
0,0,"204","204","8.795","1.233","ミヤマザクラ",30.6,35,38.6,"同株2","エゾヤマ→ミヤマ","同株1 二又","20050915",20101013,20151101,"A0",0,0,0,0,0,0,0,0,0
0,0,"205","204","8.795","1.233","ミヤマザクラ",28.5,34.6,38,"同株2","エゾヤマ→ミヤマ","同株1 二又","20050915",20101013,20151101,"A0",0,0,0,0,0,0,0,0,0
0,0,"206","206","6.344","4.115","キハダ",18.7,23.7,28.2,NA,NA,"","20050915",20101013,20151101,"A0",0,0,0,0,0,0,0,0,0
0,0,"207","207","7.765","5.04","ミズナラ",27.6,34,39,NA,NA,"","20050915",20101013,20151101,"A0",0,0,0,0,0,0,0,0,0
0,0,"208","208","8.675","5.18","エゾイタヤ",16.8,17,17,NA,NA,"","20050915",20101013,20151101,"A0",0,0,0,0,0,0,0,0,0
0,0,"209","209","9.053","5.541","ヤチダモ",54.4,60.6,66.2,NA,NA,"","20050915",20101013,20151101,"A0",0,0,0,0,0,0,0,0,0
0,0,"210","210","9.612","5.597","エゾイタヤ",16.6,18,18.5,NA,NA,"","20050915",20101013,20151101,"A0",0,0,0,0,0,0,0,0,0
0,0,"211","211","8.415","6.25","エゾイタヤ",16.7,17.2,17.4,NA,NA,"","20050915",20101013,20151101,"A0",0,0,0,0,0,0,0,0,0
0,0,"212","212","9.288","7.61","アズキナシ",28.6,30.5,32.6,NA,NA,"","20050915",20101013,20151101,"A0",0,0,0,0,0,0,0,0,0
0,0,"213","213","8.194","8.387","エゾイタヤ",20.9,23.5,26.6,NA,NA,"","20050915",20101013,20151101,"A0",0,0,0,0,0,0,0,0,0
0,0,"214","214","6.677","7.442","エゾイタヤ",20.4,22.9,25.8,NA,NA,"","20050915",20101013,20151101,"A0",0,0,0,0,0,0,0,0,0
0,0,"215","215","6.153","7.52","シナノキ",29.2,29.7,30.2,"同株3","同株3","同株2","20050915",20101013,20151101,"A0",0,0,0,0,0,0,0,0,0
0,0,"216","215","6.153","7.52","シナノキ",31.6,32.3,36.1,"同株3","同株3","同株2","20050915",20101013,20151101,"A0",0,0,0,0,0,0,0,0,0
0,0,"217","215","6.153","7.52","シナノキ",29,30.4,33.3,"同株3","同株3","同株2","20050915",20101013,20151101,"A0",0,0,0,0,0,0,0,0,0
0,0,"75","75","0.788","3.781","シラカンバ",20,22.4,22.8,NA,NA,"","20050915",20101013,20151101,"A0",0,0,0,0,0,0,0,0,0
0,0,"76","76","2.9","7.7","シラカンバ",18.2,NA,NA,NA,NA,"","20050915",20101013,20151101,"A0",0,1,2,0,0,0,0,0,0
0,10,"218","218","0.364","0.232","シラカンバ",28.8,31.5,31.7,NA,NA,"","20050915",20101013,20151101,"A1",0,0,0,0,0,0,0,0,0
0,10,"219","219","1.064","0.131","シラカンバ",20.8,22.1,22.2,NA,NA,"","20050915",20101013,20151101,"A1",0,0,0,0,0,0,0,0,0
0,10,"220","192","0.434","0.947","アズキナシ",23,25.4,27.8,NA,NA,"同株3","20050915",20101013,20151101,"A1",0,0,0,0,0,0,0,0,0
0,10,"192","192","0.434","0.947","アズキナシ",NA,15.9,16.5,NA,"new","同株3",NA,20101013,20151101,"A1",0,0,0,-1,1,0,0,0,0
0,10,"221","221","0.466","2.769","シナノキ",16.2,15.9,16.2,NA,NA,"","20050915",20101013,20151101,"A1",0,0,0,0,0,0,0,0,0
0,10,"222","222","1.289","3.257","ミズナラ",54.6,60.1,67.5,"同株4","同株4","同株4","20050915",20101013,20151101,"A1",0,0,0,0,0,0,0,0,0
0,10,"223","222","1.289","3.257","ミズナラ",47,48.8,49.7,"同株4","同株4","同株4","20050915",20101013,20151101,"A1",0,0,0,0,0,0,0,0,0
0,10,"224","222","1.289","3.257","ミズナラ",83,92.6,101.2,"同株4","同株4","同株4","20050915",20101013,20151101,"A1",0,0,0,0,0,0,0,0,0
0,10,"225","225","2.751","3.013","シラカンバ",32,32.1,NA,NA,NA,"2015枯　","20050915",20101013,20151101,"A1",0,0,1,0,0,0,0,0,0
0,10,"226","226","6.986","3.844","ミズナラ",29.2,29,29.6,NA,NA,"","20050915",20101013,20151101,"A1",0,0,0,0,0,0,0,0,0
0,10,"227","227","4.85","0.174","エゾヤマザクラ",26.5,33.3,39.6,NA,"エゾヤマ→ミヤマ","","20050915",20101013,20151101,"A1",0,0,0,0,0,0,0,0,0
0,10,"228","228","5.825","0.633","エゾイタヤ",17.5,17.5,17.7,"同株5","同株5","同株5","20050915",20101013,20151101,"A1",0,0,0,0,0,0,0,0,0
0,10,"229","228","5.825","0.633","エゾイタヤ",22,22.7,22.7,"同株5","同株5","同株5","20050915",20101013,20151101,"A1",0,0,0,0,0,0,0,0,0
0,10,"230","230","8.788","0.115","ハシドイ",16.2,16.7,NA,"同株6","同株6","2015枯　","20050915",20101013,20151101,"A1",0,0,1,0,0,0,0,0,0
0,10,"231","231","8.788","0.115","ハシドイ",28.5,29.2,29.4,"同株6","同株6","同株6","20050915",20101013,20151101,"A1",0,0,0,0,0,0,0,0,0
0,10,"232","231","8.788","0.115","ハシドイ",31.8,32.4,32.6,"同株6","同株6","同株6","20050915",20101013,20151101,"A1",0,0,0,0,0,0,0,0,0
0,10,"233","233","9.772","2.479","ヤチダモ",26.9,27.4,28.1,NA,NA,"","20050915",20101013,20151101,"A1",0,0,0,0,0,0,0,0,0
0,10,"234","234","9.549","3.372","ヤマモミジ",22.4,24.2,26.8,NA,NA,"","20050915",20101013,20151101,"A1",0,0,0,0,0,0,0,0,0
0,10,"235","235","8.744","3.54","ハシドイ",15.2,NA,NA,"同株7","同株7","同株","20050915",20101013,20151101,"A1",0,1,2,-1,-1,-1,0,0,0
0,10,"236","235","8.744","3.54","ハシドイ",23.6,24.1,24.9,"同株7","同株7","同株","20050915",20101013,20151101,"A1",0,0,0,0,0,0,0,0,0
0,10,"237","237","7.75","2.706","エゾヤマザクラ",31.8,33,33.4,NA,NA,"","20050915",20101013,20151101,"A1",0,0,0,0,0,0,0,0,0
0,10,"238","238","6.191","5.946","ハシドイ",20.6,19.9,20.4,NA,NA,"","20050915",20101013,20151101,"A1",0,0,0,0,0,0,0,0,0
0,10,"239","239","5.847","7.067","ヤマモミジ",20.8,23.7,27.2,NA,NA,"","20050915",20101013,20151101,"A1",0,0,0,0,0,0,0,0,0
0,10,"240","240","5.144","7.475","シナノキ",21,21.8,21.8,NA,NA,"","20050915",20101013,20151101,"A1",0,0,0,0,0,0,0,0,0
0,10,"241","241","4.776","7.234","ハリギリ",104,114.8,124.3,NA,NA,"","20050915",20101013,20151101,"A1",0,0,0,0,0,0,0,0,0
0,10,"242","242","1.423","7.017","エゾイタヤ",19.9,21,23,NA,NA,"","20050915",20101013,20151101,"A1",0,0,0,0,0,0,0,0,0
