#/log,DATA CREATED,データ作成日,20180306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,高木正博,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Tano (TN-EB1). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,田野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT NAME,調査区名,田野二次林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,TN-EB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,stem_id,幹ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,indv_id,個体ごとの識別番号。タグを付け替えても変えない。[最初に番号をつけた年]_[そのときのタグ番号],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/note,20090324,データ成形（石原正恵）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,," [1] ""tag_no= 1115 のgbhは測定間違いの可能性あり""-->ツル込みと抜き",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,," [2] ""tag_no= 1298 のgbhは測定間違いの可能性あり""-→測定ミス",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,," [3] ""tag_no= 1456 のgbhは測定間違いの可能性あり""-→測定ミス",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,," [4] ""tag_no= 1761 のgbhは測定間違いの可能性あり""37.7-→27.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,," [5] ""tag_no= 1766 のgbhは測定間違いの可能性あり""-→測定ミス",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,," [6] ""tag_no= 1990 のgbhは測定間違いの可能性あり""→測定ミス",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,," [7] ""tag_no= 1855 のgbhは測定間違いの可能性あり""→測定ミス",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,," [8] ""tag_no= 2207 のgbhは測定間違いの可能性あり""→測定ミス",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,," [9] ""tag_no= 2759 のgbhは測定間違いの可能性あり""→測定ミス",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"[10] ""tag_no= 2571 のgbhは測定間違いの可能性あり""→測定ミス",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"[11] ""tag_no= 2994 のgbhは測定間違いの可能性あり""→測定ミス",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"[12] ""tag_no= 1566 のgbhは測定間違いの可能性あり""→測定ミス",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"[1] ""tag_no= 2587 のgbhは測定間違いの可能性あり-->2007年に測定位置変更",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20090325,1761の2004年を37.7-→27.7に訂正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20090522,"tag_no= 1115のgbh05が""vn141.6""→""141.6""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20090909,"tag_no= 3381のgbh08=""d""→""na""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag_no= 1494のgbh08=""na""→""d""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20100320,"新規加入木の訂正（tag_no=3510, 3557, 3551）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,20100419,tag_no=3616 種名 イヌビワ？→nd　（備考にイヌビワ？）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"[1] ""tag_no= 2210 のgbh08かgbh09は測定間違いの可能性あり TN-EB1->09に枯死",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20100209,1 tag_no= 1124 のgbhは測定間違いの可能性あり->測定位置変更による->gbh10をcdに,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,2 tag_no= 1260 のgbhは測定間違いの可能性あり->腐れによる->gbh10をndに,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,3 tag_no= 2318 のgbhは測定間違いの可能性あり->測定位置にふくらみ->gbh10をcdに,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,4 tag_no= 2549 のgbhは測定間違いの可能性あり->腐れによる->gbh10をndに,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,5 tag_no= 2851 のgbhは測定間違いの可能性あり->幹割れ->gbh10をnd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20120131,2011年データ成形（鈴木智之）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,2010年までのハイノキは全てクロバイかヤブニッケイ（1本）（1本はすでに枯死していてわからない）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20170711,過去データをチェック（日野貴文）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag.no=1660,noteを見るとgbh13から測定位置変更のためgbh13にcdを入力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag.no=1863,noteを見るとgbh12から測定位置変更のためgbh12にcdを入力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag.no=2316,noteを見るとgbh12から測定位置変更のためgbh12にcdを入力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag.no=2318,noteを見るとgbh11から測定位置変更のためgbh11にcdを入力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20171031,2016年のデータチェック（日野貴文）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,d(###)と入力されていた個体をモニ１０００入力フォーマット、d###に修正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20171120,サイトから頂いた情報をもとに修正(日野),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=1371 gbh16, 基準値より大きい→計測ミス -> 139.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=1879 gbh16, 基準値より小さい→20cm上で測定",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=1938 gbh16, 基準値より小さい→入力ミス -> 59.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,"tag.no=2589, 3356の gbh16, 前年まで生存だが、当年はnaの個体、枯死「d」？→dを入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20180222,入力データ確認（高木）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag.no=3789,タグ喪失付け替え，元2689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20180302,2017年のデータチェック（日野貴文）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,d(###)と入力されていた個体をモニ１０００入力フォーマット、d###に修正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,tag_no=3757 ne→naに修正,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh04","gbh05","gbh06","gbh07","gbh08","gbh09","gbh10","gbh11","gbh12","gbh13","gbh14","gbh15","gbh16","gbh17","note04","note05","note06","note07","note08","note09","note10","note11","note12","note13","note14","note15","note16","note17","s_date04","s_date05","s_date06","s_date07","s_date08","s_date09","s_date10","s_date11","s_date12","s_date13","s_date14","s_date15","s_date16","s_date17","stem_id","indv_id","dl04","dl05","dl06","dl07","dl08","dl09","dl10","dl11","dl12","dl13","dl14","dl15","dl16","dl17","rec04","rec05","rec06","rec07","rec08","rec09","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","error04","error05","error06","error07","error08","error09","error10","error11","error12","error13","error14","error15","error16","error17"
0,0,1101,1101,0,4,"ホソバタブ",15.1,16,17.2,17.5,18,18.6,18.6,18.7,18.9,19.1,19.3,20.3,21.3,21.8,NA,"苔剥ぎ",NA,NA,NA,NA,"タブノキ→ホソバタブに種名訂正",NA,NA,NA,NA,NA,NA,"","20041129","20060123","20070124","20080221","20090126","20100106","20110106","20120106","20130110","20140109","20150128","20160104","20170106",20180116,"2004_1101","2004_1101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3500,3500,5,9,"タニワタリノキ",NA,17.1,17.5,17.7,17.8,18.1,18.3,18.6,18.6,18.9,19,19.4,19.7,19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"20060123","20070124","20080221","20090126","20100106","20110106","20120106","20130110","20140109","20150128","20160104","20170106",20180116,"2005_3500","2005_3500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3540,3540,5,6,"タニワタリノキ",NA,NA,15.5,16.6,17.3,18.3,19.2,19.9,20.5,21.5,22.3,23.1,23.8,24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"20070124","20080221","20090126","20100106","20110106","20120106","20130110","20140109","20150128","20160104","20170106",20180116,"2006_3540","2006_3540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3723,3723,0,2,"アオキ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15.3,14.3,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"幹折れ測定位置変更","測定箇所幹さけ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20150128","20160104","20170106",20180116,"2014_3723","2014_3723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3737,3737,1,3,"ホソバタブ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,16.3,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20160104","20170106",20180116,"2015_3737","2015_3737",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3771,3771,8,1,"イヌビワ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20180116,"2017_3771","2017_3771",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,1102,1102,9,4,"サカキ",16.9,18.1,18.7,19,19.8,20.3,20.6,21,21.5,22,22.2,22.7,23.1,23.8,NA,NA,NA,"イスノキ→サカキに種名訂正、幹のXを7→9に訂正",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","20041129","20060123","20070124","20080221","20090126","20100106","20110106","20120106","20130110","20140109","20150128","20160104","20170106",20180116,"2004_1102","2004_1102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,1103,1103,9,9,"サカキ",18.1,18.7,19,19.4,19.9,20,20,20.1,20.4,20.6,21,21.5,22.4,23.3,NA,NA,NA,"イスノキ→サカキに種名訂正",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","20041129","20060123","20070124","20080221","20090126","20100106","20110106","20120106","20130110","20140109","20150128","20160104","20170106",20180116,"2004_1103","2004_1103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,1104,1104,9.5,9.5,"ツブラジイ",97.5,97.7,96.7,97.2,97.2,98.1,98.2,98.2,98.3,98.5,NA,NA,NA,NA,NA,NA,"前回測定ミス？",NA,NA,NA,NA,NA,NA,NA,"2mで幹折れ、枯死（幹折れ）、測定値98.8","根本は生きている",NA,"","20041129","20060123","20070124","20080221","20090126","20100106","20110106","20120106","20130110","20140109","20150128","20160104","20170106",20180116,"2004_1104","2004_1104",0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,3501,3501,6,1,"スダジイ",NA,15.7,17.3,18,18,19,19,19.4,19.6,19.8,19.9,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"葉無し、枯死か、絹皮病？","枯死","枯死",NA,"20060123","20070124","20080221","20090126","20100106","20110106","20120106","20130110","20140109","20150128","20160104","20170106",20180116,"2005_3501","2005_3501",0,0,0,0,0,0,0,0,0,0,0,0,1,2,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,3566,3566,3,3,"イスノキ",NA,NA,NA,15.1,15.5,15.6,15.9,16,16.4,16.7,17,17,17.4,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"20080221","20090126","20100106","20110106","20120106","20130110","20140109","20150128","20160104","20170106",20180116,"2007_3566","2007_3566",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,3770,3770,2,1,"イヌビワ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20180116,"2017_3770","2017_3770",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,1105,1105,8,0,"ヤマビワ",39.1,39.3,39.9,40.3,40.7,41,41.2,41.6,42,42.1,42.9,43.4,44.4,45.9,NA,"苔剥ぎ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","20041129","20060123","20070124","20080221","20090126","20100106","20110106","20120106","20130110","20140109","20150128","20160104","20170106",20180116,"2004_1105","2004_1105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,1107,1107,7,5,"ハナガガシ",41.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"枯死（10ｍで先折れ、立ち枯れ）41","枯死",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","20041129","20060123","20070124","20080221","20090126","20100106","20110106","20120106","20130110","20140109","20150128","20160104","20170106",20180116,"2004_1107","2004_1107",0,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,1108,1108,5,0,"ハナガガシ",62.5,63.5,63.7,64.5,65,65.9,66.2,66.4,67.1,67.4,67.8,67.8,67.9,67.8,NA,"1.5ｍに菌",NA,NA,"菌見あたらず",NA,NA,NA,NA,NA,"根返り、10mで先枯れ、胴吹き","胴吹き、根返り",NA,"根返り、滑落、胴吹き","20041129","20060123","20070124","20080221","20090126","20100106","20110106","20120106","20130110","20140109","20150128","20160104","20170106",20180116,"2004_1108","2004_1108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,3567,3567,9,8,"ハナガガシ",26.7,27.3,27.4,27.4,27.5,27.9,28,28,28,28.2,28.2,28.3,29,29.9,NA,NA,NA,"Noプレートを1106→3567に付け替え",NA,NA,NA,NA,NA,NA,"8mで幹折れ",NA,NA,"","20041129","20060207","20070124","20080221","20090126","20100106","20110106","20120106","20130110","20140109","20150128","20160104","20170106",20180116,"2004_1106","2004_1106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,1109,1109,7,10,"ハナガガシ",70,70.9,71.6,73.4,74.1,75.6,76.4,77,78.2,80.4,82.8,85.7,90,93.3,"細いツル込み","4ｍに菌",NA,NA,NA,NA,"4mと6mに菌",NA,NA,NA,NA,NA,NA,"","20041129","20060123","20070124","20080221","20090126","20100106","20110106","20120106","20130110","20140109","20150128","20160104","20170106",20180116,"2004_1109","2004_1109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,1110,1110,9,8.5,"イスノキ",22.9,23.1,23.2,23.2,23.3,23.4,23.4,23.4,23.7,23.9,24.1,24.4,25.3,26,NA,"2ｍに菌、5ｍで主幹折れ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","20041129","20060123","20070124","20080221","20090126","20100106","20110106","20120106","20130110","20140109","20150128","20160104","20170106",20180116,"2004_1110","2004_1110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,1111,1111,9,5,"ハナガガシ",184,185.3,187.9,190.6,192.8,195.7,199.1,199.7,200.4,200.5,200.5,200.5,200.7,200.7,NA,NA,NA,NA,NA,NA,NA,NA,"葉が少な目、胴吹き",NA,NA,NA,"葉無し、胴吹き","葉なし","20041129","20060123","20070124","20080221","20090126","20100106","20110106","20120106","20130110","20140109","20150128","20160104","20170106",20180116,"2004_1111","2004_1111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
