#/log,DATA CREATED,データ作成日,20180306,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,西村尚之,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Tsushima-Mt. Tatera　(TT-EB1).,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,対馬龍良山,,,,,,,,,,,,,,,
#,PLOT NAME,調査地名,-,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,TT-EB1,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,
#,20080702,データ成形（石原正恵）,,,,,,,,,,,,,,,,
#,20080715,シイノキ＞スダジイへ,,,,,,,,,,,,,,,,
#,20101116,tag重複多数->セルx座標-セルy座標-tagNoにした,,,,,,,,,,,,,,,,
#,,"セル(50,90)内でW150重複-> -1 -2をつけた",,,,,,,,,,,,,,,,
#,20130108,データ成形（佐伯）,,,,,,,,,,,,,,,,
#,20180202,データ成形（日野）,,,,,,,,,,,,,,,,
#,,new_tag_naに値のある幹は、tag_noにその内容を移動させ、tag_noに入っていたタグ番号はold_tag_noに移動,,,,,,,,,,,,,,,,
#,,スダシイ→スダジイに修正,,,,,,,,,,,,,,,,
#,,new_tag_naにnWC368が二つあったので、この2個体についてはタグ番号の更新をせず、サイトに問い合わせして修正,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,
"tag_no","indv_no","mesh_xcord","mesh_ycord","stem_xcord","stem_ycord","spc_japan","gbh07","gbh12","gbh17","note07","note12","note17","s_date07","s_date12","s_date17","memo_20180201","old_tag_no","new_tag_na","dl07","dl12","dl17","rec07","rec12","rec17","error07","error12","error17"
"dY_1002","dY_1002",0,0,3.7,1,"ネズミモチ",14.7,15.2,15.9,"先折れ？","稚樹データから移行","",NA,"20121113","20171009","","","",0,0,0,-1,-1,1,0,0,0
"nWA723","nWA723",0,0,9.6,0.9,"クロバイ",23.5,27,30.4,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nWA725","nWA725",0,0,7.5,1.9,"ネズミモチ",18.2,20.2,20.4,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nWC571","nWA733",0,0,7.8,4.3,"イスノキ",114.9,114.6,115.3,"","前回の測定ミスのためG減少","","20071122","20121111","20171009","","nWA733","nWC571",0,0,0,0,0,0,0,0,0
"nWA734","nWA734",0,0,9.2,8,"イスノキ",155.3,156.4,159,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nWA735","nWA735",0,0,8.2,7.1,"イスノキ",36.8,38.9,42.5,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nWA737","nWA737",0,0,8.9,9.4,"イスノキ",45.9,46.5,48.1,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nWA738","nWA738",0,0,5.2,9,"イスノキ",45.9,45.9,47,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA105","nYA105",0,0,4,7.6,"イスノキ",121.9,122.3,122.5,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nWC572","nYA106",0,0,1.1,8,"イスノキ",215.4,220.3,222.7,"","","","20071122","20121111","20171009","","nYA106","nWC572",0,0,0,0,0,0,0,0,0
"nYA107","nYA107",0,0,2.3,0.4,"イスノキ",56,56.1,57,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA108","nYA108",0,0,1.3,6.6,"イスノキ",41.8,42.1,42,"","","縮む","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA109","nYA109",0,0,2,0,"イヌガシ",17.8,17.8,18.2,"","","","20071122","20121111","20171009","","","",0,0,0,0,0,0,0,0,0
"nYA113","nYA113",0,0,3.4,6.6,"タブノキ",15.3,15.7,16.1,"","","","20071122","20121111","20171009","","","",0,0,0,-1,1,0,0,0,0
