#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,金子信博,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Nishi Tanzawa (TZ-DB1). ,,,,,,,,,,,
#,SITE NAME,サイト名,丹沢,,,,,,,,,,,
#,PLOT NAME,調査区名,,,,,,,,,,,,
#,PLOT CODE,調査区コード,TZ-DB1,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,
#/note,20090324,データ成形（石原正恵）,,,,,,,,,,,,
#,,タグ重複：466、467、345、346がそれぞれ重複-→20090409段階では不明のため現状維持（仮番号をつけた),,,,,,,,,,,,
#,,１）478     178　　−−＞個体番号478に訂正,,,,,,,,,,,,
#,,２） 124     123     −−＞個体番号124に訂正,,,,,,,,,,,,
#,,３） 644     643     −−＞個体番号644に訂正,,,,,,,,,,,,
#,,マメツツジ？-->ndに,,,,,,,,,,,,
#,20091020,"mesh_xcord,mesh_ycord　をモニ1000フォーマットに変更",,,,,,,,,,,,
#,20171018,データ確認（日野貴文）,,,,,,,,,,,,
#,,新規個体の前年までのセルが空白→「na」を入力,,,,,,,,,,,,
#,,種名がイタヤカエデ？などのように「？」がついている個体はモニ1000仕様に合わせをndにして、noteに転記,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,
#VALUE!,#VALUE!,C184,C184,？,？,ブナ,35.7 ,nd,倒木（生きている）＊座標忘れ；原点座標は暫定,行方不明,,na,na,B2
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh08","gbh13","note08","note13","note13_2","s_date08","s_date13","mesh_site_original","dl08","dl13","rec08","rec13","error08","error13"
"7.4 ",5.2,"346","346",7.4,5.2,"ブナ",22.1,22.1,"","","",NA,NA,"A0",0,0,0,0,0,0
"6.4 ",4,"349","349",6.4,4,"ブナ",87.1,90,"","","",NA,NA,"A0",0,0,0,0,0,0
"4.1 ",3,"352","352",4.1,3,"ヤマザクラ",141.9,142.2,"","ツル込み","",NA,NA,"A0",0,0,0,0,0,0
"4.5 ",5.8,"353","353",4.5,5.8,"ブナ",23.7,23.8,"","","",NA,NA,"A0",0,0,0,0,0,0
"8.5 ",0.7,"355","355",8.5,0.7,"イタヤカエデ",124.7,128.1,"","","",NA,NA,"A0",0,0,0,0,0,0
"4.0 ",8.8,"560","560",4,8.8,"イトマキイタヤ",79.3,83.7,"","","",NA,NA,"A0",0,0,0,0,0,0
"1.9 ",7.7,"577","577",1.9,7.7,"ブナ",206,209.7,"","","",NA,NA,"A0",0,0,0,0,0,0
"1.5 ",6.8,"578","578",1.5,6.8,"ホオノキ",103.4,104.1,"","","",NA,NA,"A0",0,0,0,0,0,0
"1.3 ",7,"576","578",1.3,7,"ホオノキ",19.6,19.4,"","","",NA,NA,"A0",0,0,0,0,0,0
"2.7 ",5.8,"579","579",2.7,5.8,"タンナサワフタギ",24.3,23.9,"","","",NA,NA,"A0",0,0,0,0,0,0
"7.4 ",7.1,"345","345",7.4,7.1,"ブナ",21,21.6,"","345?→345タグ変更","",NA,NA,"A0",0,0,0,0,0,0
"7.8 ",19.8,"C23","C23",7.8,9.8,"ブナ",28.1,31.1,"","高さ変更釘打ち直し、GBH27.2cm（変更後）に次回から変更","",NA,NA,"A1",0,0,0,0,0,0
"7.8 ",19.8,"301","C23",7.8,9.8,"ブナ",NA,16.7,"","枝","",NA,NA,"A1",0,0,-1,1,0,0
"5.6 ",16.6,"C24","C24",5.6,6.6,"ブナ",120.2,122.2,"","","",NA,NA,"A1",0,0,0,0,0,0
"2.0 ",11.2,"C25","C25",2,1.2,"コミネカエデ",77.3,78,"","","",NA,NA,"A1",0,0,0,0,0,0
"1.9 ",12.5,"C26","C26",1.9,2.5,"サラサドウダン",27.8,28.1,"","","",NA,NA,"A1",0,0,0,0,0,0
"1.8 ",14.5,"C27","C27",1.8,4.5,"ブナ",22.3,23.3,"伏状更新1","","",NA,NA,"A1",0,0,0,0,0,0
