#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,新山馨,,,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Yakushima-shoyojyurin (YK-EB1）.,,,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,屋久島 照葉樹林,,,,,,,,,,,,,,,,,
#,PLOT NAME,調査地名,-,,,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,YK-EB1,,,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,,,
#/note,20090516,gbh06にvi（ツル込み）が入っていたものは数値に戻した（石原）。,,,,,,,,,,,,,,,,,,
#,,tag_no=M427 アカソガシワ-->アカメガシワ,,,,,,,,,,,,,,,,,,
#,,tag_no=R913 イヌガシ？-→イヌガシ,,,,,,,,,,,,,,,,,,
#,,note06.1 is a block number.->mesh_original(20101116),,,,,,,,,,,,,,,,,,
#,,同株とコメントにある場合は、indv_noを同株個体のものを入力した,,,,,,,,,,,,,,,,,,
#,20091022,データ作成者に問い合わせて下記を修正,,,,,,,,,,,,,,,,,,
#,,H724幹のY座標を56.0から5.6に変更,,,,,,,,,,,,,,,,,,
#,,1.タグ番号Q608　X座標＝121→84.1,,,,,,,,,,,,,,,,,,
#,,2.タグ番号L929　X座標＝145→77.5,,,,,,,,,,,,,,,,,,
#,,3.タグ番号Q128　X座標＝153→69.3,,,,,,,,,,,,,,,,,,
#,,4.タグ番号H469　X座標＝121→48.1,,,,,,,,,,,,,,,,,,
#,20091029,"タグ番号N416,417　シャシャンポ-->シャシャンボ",,,,,,,,,,,,,,,,,,
#,20100806,座標をメッシュ内座標に変換,,,,,,,,,,,,,,,,,,
#,20101116,"tag=R655重複。同一幹？ -> -1 -2をつけ、-2の方に行頭に#をつけた（110112)->-2の方を削除し""-1""をとった",,,,,,,,,,,,,,,,,,
#,,"tag=H434重複。同一幹？ -> -1 -2をつけ、-2の方に行頭に#をつけた（110112)->-2の方を削除し""-1""をとった",,,,,,,,,,,,,,,,,,
#,,同株異種 P192 P195 -> P192を別個体とした　　,,,,,,,,,,,,,,,,,,
#,20110216,2010年データの追加,,,,,,,,,,,,,,,,,,
#,,1   tag_no= H57　H295 H435 R487 R486 H909 P986 W732N248 のgbhは測定間違いの可能性あり-->gbh06をnd,,,,,,,,,,,,,,,,,,
#,,2  tag_no= H199 のgbhは測定間違いの可能性あり-->gbh06をnd,,,,,,,,,,,,,,,,,,
#,,9  tag_no= M962 のgbhは測定間違いの可能性あり-->gbh10をnd,,,,,,,,,,,,,,,,,,
#,,11 tag_no= W360 のgbhは測定間違いの可能性あり-->gbh10をcd,,,,,,,,,,,,,,,,,,
#,20170706,過去データをサイトからのデータと見比べてチェック（日野貴文）,,,,,,,,,,,,,,,,,,
#,,タグ番号W931が重複。過去のデータによりgbh10に枯死した幹をN491に修正,,,,,,,,,,,,,,,,,,
#,,G943　ヤマモモが抜けていたので追加,,,,,,,,,,,,,,,,,,
#,,過去データでは2006年当時枯死していた個体は、モニ1000データから除かれていたので、サイトデータから復元,,,,,,,,,,,,,,,,,,
#,,サイトデータのうち、タグ番号がなく2006年より前にすで枯死していたと思われる個体の行は除いた。,,,,,,,,,,,,,,,,,,
#,,"タグ番号H911,L936,964はgbh06の欄が「?」になっており、その後計測されずかつnote欄から枯死だと思われる→dを入力",,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh06","gbh10","gbh13","note06","note10","note13","s_date06","s_date10","s_date13","mesh_original","tag_no_2010","tag_no_old","indv_no_old","tag_no_new","dl06","dl10","dl13","rec06","rec10","rec13","error06","error10","error13"
0,0,"H8","H8","0","4","イヌビワ",22.6,22.6,22.8,NA,NA,NA,"20070306",20101026,20131101,"Aa1","H8","H8","H8","H8",0,0,0,0,0,0,0,0,0
0,0,"H7","H7","1","4","モクタチバナ",62.4,62.5,62.5,NA,NA,NA,"20070306",20101026,20131101,"Aa1","H7","H7","H7","H7",0,0,0,0,0,0,0,0,0
0,0,"H5","H5","1","7","モクタチバナ",30,30.2,30.3,NA,NA,NA,"20070306",20101026,20131101,"Aa1","H5","H5","H5","H5",0,0,0,0,0,0,0,0,0
0,0,"H6","H6","2","5","モクタチバナ",77.5,79.7,78.9,NA,NA,"コブあり","20070306",20101026,20131101,"Aa1","H6","H6","H6","H6",0,0,0,0,0,0,0,0,0
0,0,"H4","H4","2.5","8","モクタチバナ",64,64.1,64,NA,NA,NA,"20070306",20101026,20131101,"Aa1","H4","H4","H4","H4",0,0,0,0,0,0,0,0,0
0,0,"H2","H2","3","8","モクタチバナ",60,60,60,NA,NA,NA,"20070306",20101026,20131101,"Aa1","H2","H2","H2","H2",0,0,0,0,0,0,0,0,0
0,0,"H3","H3","3.3","8","フカノキ",92.5,98.5,102.3,NA,NA,NA,"20070306",20101026,20131101,"Aa1","H3","H3","H3","H3",0,0,0,0,0,0,0,0,0
0,0,"H11","H11","4","8","モクタチバナ",29.5,29.5,NA,NA,NA,"立枯","20070306",20101026,20131101,"Aa1","H11","H11","H11","H11",0,0,1,0,0,0,0,0,0
0,0,"H10","H10","5","8","モクタチバナ",41,41,41,NA,NA,NA,"20070306",20101026,20131101,"Aa1","H10","H10","H10","H10",0,0,0,0,0,0,0,0,0
0,0,"H9","H9","5","9","モクタチバナ",68,68.2,67.9,NA,NA,NA,"20070306",20101026,20131101,"Aa1","H9","H9","H9","H9",0,0,0,0,0,0,0,0,0
0,0,"H1","H1","7","0","サザンカ",33.6,34,33.5,NA,NA,"前回あまい","20070306",20101026,20131101,"Aa1","H1","H1","H1","H1",0,0,0,0,0,0,0,0,0
0,0,"W902","W902",NA,NA,"ヒサカキ",NA,15.8,15.8,NA,NA,NA,NA,20101026,20131101,"Aa1","W902","W902",NA,"W902",0,0,0,-1,1,0,0,0,0
0,0,"P843","P843",NA,NA,"モクタチバナ",18,NA,NA,NA,"消失　枯死",NA,"20070306",20101026,20131101,"Aa1","P843","P843","P843","P843",0,1,2,0,0,0,0,0,0
0,0,"H13","H13","8","6","モクタチバナ",73.5,NA,NA,NA,"根返り、枯死",NA,"20070306",20101026,20131101,"Aa1","H13","H13","H13","H13",0,1,2,0,0,0,0,0,0
0,0,"P844","P844",NA,NA,"モクタチバナ",15.7,15.7,15.5,NA,NA,NA,"20070306",20101026,20131101,"Aa1","P844","P844","P844","P844",0,0,0,0,0,0,0,0,0
0,0,"H12","H12","9","4","バリバリノキ",27,28.2,28.4,NA,NA,NA,"20070306",20101026,20131101,"Aa1","H12","H12","H12","H12",0,0,0,0,0,0,0,0,0
0,0,"H14","H14","10","6","モクタチバナ",108.1,108,107,NA,NA,"正しい","20070306",20101026,20131101,"Aa1","H14","H14","H14","H14",0,0,0,0,0,0,0,0,0
10,0,"H23","H23","0","7.5","サクラツツジ",43.5,43.7,43.5,NA,NA,NA,"20070306",20101026,20131101,"Aa2","H23","H23","H23","H23",0,0,0,0,0,0,0,0,0
10,0,"H36","H36","0.5","0.5","モクタチバナ",50.5,50.5,50,NA,NA,NA,"20070306",20101026,20131101,"Aa2","H36","H36","H36","H36",0,0,0,0,0,0,0,0,0
10,0,"H25","H25","1","2.5","バリバリノキ",60,65.4,71,NA,NA,NA,"20070306",20101026,20131101,"Aa2","H25","H25","H25","H25",0,0,0,0,0,0,0,0,0
10,0,"H24","H24","1","3","バリバリノキ",68.6,71.6,73.3,NA,NA,NA,"20070306",20101026,20131101,"Aa2","H24","H24","H24","H24",0,0,0,0,0,0,0,0,0
10,0,"H22","H22","1","5","モクタチバナ",70.9,71,70.5,NA,NA,NA,"20070306",20101026,20131101,"Aa2","H22","H22","H22","H22",0,0,0,0,0,0,0,0,0
10,0,"H21","H21","2","7","モクタチバナ",28.8,28.8,28.8,NA,NA,NA,"20070306",20101026,20131101,"Aa2","H21","H21","H21","H21",0,0,0,0,0,0,0,0,0
10,0,"H26","H26","3","2","イヌガシ",24.8,24.6,24.3,NA,NA,NA,"20070306",20101026,20131101,"Aa2","H26","H26","H26","H26",0,0,0,0,0,0,0,0,0
10,0,"H27","H27","3","2.3","バリバリノキ",22.7,23.3,23.4,NA,NA,NA,"20070306",20101026,20131101,"Aa2","H27","H27","H27","H27",0,0,0,0,0,0,0,0,0
