#/log,DATA CREATED,データ作成日,20180320,,,,,,,,,,,,,,,
#/doc,DATA CREATER,データ作成者,高嶋敦史,,,,,,,,,,,,,,,
#,DATA TITLE,データ名,Temporal Change in Tree Girth at Breast Height at Yakushima-sugirin (YS-EC1).,,,,,,,,,,,,,,,
#,SITE NAME,サイト名,屋久島スギ林(天文の森),,,,,,,,,,,,,,,
#,PLOT NAME,調査地名,-,,,,,,,,,,,,,,,
#,PLOT CODE,調査区コード,YS-EC1,,,,,,,,,,,,,,,
#,PLOT SIZE,面積,1ha,,,,,,,,,,,,,,,
#,PRAMETER DEFINITIONS,mesh_xcord,10ｍ方形区ｘ座標,,,,,,,,,,,,,,,
#,,mesh_ｙcord,10ｍ方形区ｙ座標,,,,,,,,,,,,,,,
#,,tag_no,幹タグ番号,,,,,,,,,,,,,,,
#,,indv_no,個体タグ番号,,,,,,,,,,,,,,,
#,,stem_xcord,幹のx座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,stem_ycord,幹のｙ座標（10m方形区内での座標）,,,,,,,,,,,,,,,
#,,spc_japan,種名,,,,,,,,,,,,,,,
#,,gbh,胸高周囲長〔cm〕,,,,,,,,,,,,,,,
#,,note,備考,,,,,,,,,,,,,,,
#,,s_data,調査日,,,,,,,,,,,,,,,
#/note,,"基準XYは２０ｍごとの２０ｍ方形区の座標で、幹のX,Yはそれぞれの基準XYからの幹の根元位置の座標です。->10m meshに",,,,,,,,,,,,,,,,
#,20080702,データ成形（石原正恵）、メッシュ記号の行は削除した,,,,,,,,,,,,,,,,
#,20080710,tag_no=W44 種名空欄-->サクラツツジへ。おそらく（石原・新山）,,,,,,,,,,,,,,,,
#,20090919,tag_no= F92とW157は樹種が異なるのに同じindv_no-->別個体へ（石原）,,,,,,,,,,,,,,,,
#,,W157のnote07に「F92と162007同株（4個体同株）」とあり、位置も同じなので、F92と162007は同株、W156とW157が同株に修正（石原）,,,,,,,,,,,,,,,,
#,20100810,"mesh,stemのXY座標を10m-meshに変換、originalを別の列に残す(鈴木）",,,,,,,,,,,,,,,,
#,20101116,E369はmesh内座標がnaのため、10m-meshはとりあえずひとつ上のデータと同じにした,,,,,,,,,,,,,,,,
#,,tag=W123重複-> -1 -2をつけた,,,,,,,,,,,,,,,,
#,20130208,データチェック（佐伯）,,,,,,,,,,,,,,,,
#,,*　（アスタリスク）をNCのデータ整理上、ndとする。,,,,,,,,,,,,,,,,
#,,tag_no=R59が重複。片方をR59-2とする。,,,,,,,,,,,,,,,,
#,20130301,"tag_no=60029, 60039, 20041, 90022, 120001, 100021, 100037, 110016, 130005, 182004, 150034, 180011, R168は、前回測定値とやや値が異なるので、次回調査時に再度確認されたい。（佐伯）",,,,,,,,,,,,,,,,
#,20171111,データ確認（日野貴文）,,,,,,,,,,,,,,,,
#,,gbhのセルに大文字のNA→モニ1000フォーマットに従い小文字のnaに,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
#/data,,,,,,,,,,,,,,,,,,
"mesh_xcord","mesh_ycord","tag_no","indv_no","stem_xcord","stem_ycord","spc_japan","gbh07","gbh12","note07","note12","s_date07","s_date12","mesh_xcord_original","mesh_ycord_original","stem_xcord_original","stem_ycord_original","tag_no_2012","indv_no_2012","dl07","dl12","rec07","rec12","error07","error12"
"0","0","10004","10004","6.0 ","0.5 ","サカキ",35,35.2,NA,NA,"20070916",20120905,0,0,"6.0 ","0.5 ","10004","10004",0,0,0,0,0,0
"0","0","10005","10005","4.0 ","5.6 ","ヒメシャラ",150.5,153.2,NA,NA,"20070916",20120905,0,0,"4.0 ","5.6 ","10005","10005",0,0,0,0,0,0
"0","0","10006","10006","7.0 ","4.5 ","サクラツツジ",57.8,58.4,NA,"先折","20070916",20120905,0,0,"7.0 ","4.5 ","10006","10006",0,0,0,0,0,0
"0","0","10007","10007","9.9 ","8.0 ","サカキ",64.4,65,NA,NA,"20070916",20120905,0,0,"9.9 ","8.0 ","10007","10007",0,0,0,0,0,0
"10","0","10008","10008","1.0 ","4.1 ","サクラツツジ",31.4,32,NA,NA,"20070916",20120905,0,0,"11.0 ","4.1 ","10008","10008",0,0,0,0,0,0
"0","0","10009","10009","10.0 ","4.5 ","スギ",184.5,187,NA,NA,"20070916",20120905,0,0,"10.0 ","4.5 ","10009","10009",0,0,0,0,0,0
"10","0","10010","10010","0.8 ","4.0 ","シキミ",35.2,35.6,NA,NA,"20070916",20120905,0,0,"10.8 ","4.0 ","10010","10010",0,0,0,0,0,0
"10","0","10013","10013","6.0 ","1.7 ","サクラツツジ",28,27,NA,NA,"20070916",20120905,0,0,"16.0 ","1.7 ","10013","10013",0,0,0,0,0,0
"10","0","10014","10014","6.0 ","2.6 ","サクラツツジ",45.5,46,NA,NA,"20070916",20120905,0,0,"16.0 ","2.6 ","10014","10014",0,0,0,0,0,0
"10","0","10015","10015","5.9 ","6.8 ","サカキ",82.3,80.7,NA,NA,"20070916",20120905,0,0,"15.9 ","6.8 ","10015","10015",0,0,0,0,0,0
"10","0","10016","10016","6.1 ","6.8 ","シキミ",31.6,31.5,NA,NA,"20070916",20120905,0,0,"16.1 ","6.8 ","10016","10016",0,0,0,0,0,0
"10","0","10017","10017","7.0 ","4.2 ","スギ",255,251.1,"樹皮剥",NA,"20070916",20120905,0,0,"17.0 ","4.2 ","10017","10017",0,0,0,0,0,0
"10","0","10018","10018","7.8 ","3.8 ","サカキ",40,39.8,NA,"先折","20070916",20120905,0,0,"17.8 ","3.8 ","10018","10018",0,0,0,0,0,0
"10","0","10021","10021","1.0 ","10.0 ","シキミ",80.2,81.8,NA,NA,"20070916",20120905,0,0,"11.0 ","10.0 ","10021","10021",0,0,0,0,0,0
"0","0","10022","10022","10.0 ","9.9 ","サカキ",63,61.4,NA,NA,"20070916",20120905,0,0,"10.0 ","9.9 ","10022","10022",0,0,0,0,0,0
"0","10","10026","10026","3.9 ","3.3 ","サクラツツジ",26.3,32,NA,NA,"20070916",20120905,0,0,"3.9 ","13.3 ","10026","10026",0,0,0,0,0,0
"0","10","10027","10027","2.6 ","4.0 ","ウラジロガシ",98.5,105.4,NA,"樹種訂正","20070916",20120905,0,0,"2.6 ","14.0 ","10027","10027",0,0,0,0,0,0
"0","10","10028","10028","1.4 ","4.0 ","シキミ",33.5,34.1,NA,NA,"20070916",20120905,0,0,"1.4 ","14.0 ","10028","10028",0,0,0,0,0,0
"0","10","10029","10030","1.1 ","3.0 ","サクラツツジ",35.5,36,NA,NA,"20070916",20120905,0,0,"1.1 ","13.0 ","10029","10030",0,0,0,0,0,0
"0","10","10030","10030","1.1 ","3.0 ","サクラツツジ",46,51,NA,NA,"20070916",20120905,0,0,"1.1 ","13.0 ","10030","10030",0,0,0,0,0,0
"0","10","10031","10031","2.7 ","5.0 ","シキミ",26.5,26.3,"旧プレート31付","旧プレート31付","20070916",20120905,0,0,"2.7 ","15.0 ","10031","10031",0,0,0,0,0,0
"0","10","10032","10032","2.9 ","7.0 ","シキミ",49.3,49.4,NA,"傾","20070916",20120905,0,0,"2.9 ","17.0 ","10032","10032",0,0,0,0,0,0
"0","10","10033","10033","4.6 ","6.8 ","シキミ",42.5,42.2,NA,NA,"20070916",20120905,0,0,"4.6 ","16.8 ","10033","10033",0,0,0,0,0,0
"0","10","10035","10035","4.9 ","9.0 ","シキミ",39.2,39.8,NA,NA,"20070916",20120905,0,0,"4.9 ","19.0 ","10035","10035",0,0,0,0,0,0
"0","10","10036","10036","5.8 ","9.0 ","ツガ",329,339.9,NA,NA,"20070916",20120905,0,0,"5.8 ","19.0 ","10036","10036",0,0,0,0,0,0
"0","10","10037","10037","9.6 ","9.0 ","サクラツツジ",37.4,37.3,NA,NA,"20070916",20120905,0,0,"9.6 ","19.0 ","10037","10037",0,0,0,0,0,0
"10","0","10039","10039","9.9 ","10.0 ","シキミ",45,47.4,NA,NA,"20070916",20120905,0,0,"19.9 ","10.0 ","10039","10039",0,0,0,0,0,0
"0","10","10041","10041","9.7 ","8.0 ","サクラツツジ",39.7,41,NA,NA,"20070916",20120905,0,0,"9.7 ","18.0 ","10041","10041",0,0,0,0,0,0
"10","10","10043","10043","4.5 ","7.5 ","ツガ",574,574,NA,"R102と同一，樹勢低下","20070916",20120905,0,0,"14.5 ","17.5 ","10043","10043",0,0,0,0,0,0
"10","10","10048","10048","1.0 ","5.3 ","サクラツツジ",41,40.2,NA,NA,"20070916",20120905,0,0,"11.0 ","15.3 ","10048","10048",0,0,0,0,0,0
"10","10","10049","10048","1.0 ","5.3 ","サクラツツジ",35.8,35.3,NA,NA,"20070916",20120905,0,0,"11.0 ","15.3 ","10049","10048",0,0,0,0,0,0
